candidate	collection	pathway	candidate_is_member	candidate_is_leading_edge_datasets	interactor_genes_in_pathway	resistance_consensus_class	gse118713_NES	gse118713_FDR	gse240112_NES	gse240112_FDR	gse111151_NES	gse111151_FDR	gse245601_NES	gse245601_FDR
USP34	go_bp	GOBP_SEX_DIFFERENTIATION	False		UBB	MIXED	-1.16366264435566	0.3850190738394684	1.276284397877086	0.1414289417450491	0.9531871242780652	0.7227804205752901	-1.2683872442076425	0.2093975137766016
USP34	go_bp	GOBP_SKELETAL_SYSTEM_DEVELOPMENT	False		ASH1L	STRONG_CONSENSUS	1.80104892827474	0.0003556971045393	1.6137534458187353	0.0003481733584573	1.8895671629272628	1.9629027907194837e-08	-1.185925056604336	0.2264747620737779
USP34	go_bp	GOBP_SKIN_DEVELOPMENT	False		ASH1L	DIRECTIONAL_CONSENSUS	1.335628682839573	0.141692180100549	1.2707985095959875	0.1439733442407306	1.371571323635516	0.0596062122779576	-1.58973515333263	0.0036120348691854
USP34	go_bp	GOBP_SPERM_MOTILITY	False		ASH1L	SINGLE_DATASET	-0.8441356582282268	0.86892885939665	-1.220145207197751	0.3501823672112236	-1.5740458770472274	0.0183526746994806	-1.1008242555072818	0.5704220390333262
USP34	go_bp	GOBP_TOR_SIGNALING	False		USP9X	LOW_EVIDENCE	1.1441986469195766	0.4257948757814596	1.052502840726895	0.5750710961737332	0.7708179073637647	0.9758548307271474	1.4442594319251194	0.0793492626696891
USP34	go_bp	GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	False		USP9X	STRONG_CONSENSUS	1.7026944788017062	0.0089331717758046	1.4747544924386202	0.0493169747489459	1.6857962196559189	0.0009006827493459	0.9934362991294672	0.7192608386638236
USP34	go_bp	GOBP_WNT_SIGNALING_PATHWAY	True	gse118713,gse111151		STRONG_CONSENSUS	1.37591407331501	0.0748148836804059	1.746762587576816	2.3749886687128217e-05	1.7733591866175549	2.2179939521325398e-06	-1.01525483810121	0.6940183232129541
VEZF1	hallmark	HALLMARK_HEME_METABOLISM	True	gse240112		STRONG_CONSENSUS	1.2681667590709091	0.1277777777777778	1.6305954220582812	0.0022032391836467	1.4673377502021034	0.0106279104071557	1.9041077946411116	1.3361613405488134e-05
VEZF1	go_bp	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_BLOOD_VESSEL_MORPHOGENESIS	True	gse240112		STRONG_CONSENSUS	1.5811351196046093	0.003713889196295	1.67732927193419	3.38126514620497e-05				
VEZF1	go_bp	GOBP_CELLULAR_DEFENSE_RESPONSE	True			MIXED	1.4402928763553704	0.2752759737355303	-1.2030547335229074	0.472375568391299	0.8155508573959804	0.8392050587172538	-1.0076031913762111	0.6989299649285284
VEZF1	go_bp	GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_DEFENSE_RESPONSE	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	True			MIXED	0.9514892309980724	0.7156760769357283	-1.0884257111823004	0.5563539574927031	1.297221432103609	0.2427665681360579	-1.25102147267722	0.4102473793964417
VEZF1	go_bp	GOBP_ENDOTHELIUM_DEVELOPMENT	True			SINGLE_DATASET	1.1193916709508265	0.511934263727664	1.1051906081179963	0.4919563398016039	1.673703811521842	0.0062514073230235	-1.0776495598853344	0.5987183030470531
VEZF1	go_bp	GOBP_EPITHELIAL_CELL_DEVELOPMENT	True			SINGLE_DATASET	1.233050134567869	0.3089840255591054	1.2495807045326492	0.227905029308901	1.5130361311753786	0.0122841279720381	-1.5331739129451076	0.0224717301159287
VEZF1	go_bp	GOBP_EPITHELIAL_CELL_DIFFERENTIATION	True	gse240112		DIRECTIONAL_CONSENSUS	1.3428395858723654	0.0504086063601814	1.600263391539185	0.0001327916917432				
VEZF1	go_bp	GOBP_EPITHELIUM_DEVELOPMENT	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	True			MIXED	1.4606969043191924	0.233732283312496	1.0556128528084527	0.6116988770911312	-1.031050912720205	0.5426698549998993	-1.0661543917972325	0.642676342560304
VEZF1	go_bp	GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_REGULATION_OF_CELL_DIFFERENTIATION	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION	True	gse240112		DIRECTIONAL_CONSENSUS	1.258865051652193	0.4273026786993267	1.57854951432975	0.1154313250394076	1.687295259980054	0.0291406303437967	-1.1017463122861455	0.5716975802655118
VEZF1	go_bp	GOBP_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	True	gse240112		DIRECTIONAL_CONSENSUS	1.4408765629341094	0.1052266077101776	1.6346812155948705	0.0107030404801373	1.1133480780329406	0.4163691607706407	-1.340999621635814	0.1868443834371132
VEZF1	go_bp	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_TUBE_DEVELOPMENT	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_TUBE_MORPHOGENESIS	True			not_in_resistance_consensus_table								
VEZF1	go_bp	GOBP_VASCULATURE_DEVELOPMENT	True			SINGLE_DATASET	1.5650588973250878	0.0030994318218088						
CITED2	hallmark	HALLMARK_ALLOGRAFT_REJECTION	False		HIF1A	MIXED	1.342438128802658	0.1053420195439739	-1.2523879396785913	0.1583710407239819	1.6279160130678574	0.0019715374374113	-1.19207070624498	0.1635220125786163
CITED2	hallmark	HALLMARK_APOPTOSIS	False		CREBBP	DIRECTIONAL_CONSENSUS	1.486887535333331	0.024284162437178	1.37784962420357	0.0702608600357681	1.0560027606922648	0.4217791411042945	0.9655139161043348	0.6016042780748664
CITED2	hallmark	HALLMARK_E2F_TARGETS	False		TP53	STRONG_CONSENSUS	-2.156077441969795	2.0536625741332033e-09	-1.4148071212260809	0.0246659429710491	-1.7992564691348998	1.5323818830438525e-05	-1.57537210276035	0.0030596050869608
CITED2	hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY	False		TFAP2C	STRONG_CONSENSUS	-2.881806898734365	6.656153027393346e-27	-2.43147440064335	8.452697212421241e-16	-1.8446613569843024	2.43293794273065e-05	-2.070303953078644	1.0573417266834834e-08
CITED2	hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE	False		TFAP2C	STRONG_CONSENSUS	-2.6700182522451352	4.778122405006868e-19	-2.0873776713734533	5.819649955024572e-09	-1.6233711906993151	0.000519635737069	-1.6038661471078015	0.0010637243595374
CITED2	hallmark	HALLMARK_G2M_CHECKPOINT	False		HIF1A	STRONG_CONSENSUS	-1.9252830299616253	2.003764262913621e-06	-0.9677934708371052	0.7133790302107135	-1.4728575376849924	0.0027462607786466	-1.2557824920016445	0.1119405826761165
CITED2	hallmark	HALLMARK_GLYCOLYSIS	True	gse111151,gse245601		DIRECTIONAL_CONSENSUS	1.3218542815825869	0.0915750915750915	1.1724847686227806	0.1928254384050061	1.4525835154472633	0.0104146743187527	1.443593059956482	0.0153316548308294
CITED2	hallmark	HALLMARK_HEME_METABOLISM	False		FOXO3	STRONG_CONSENSUS	1.2681667590709091	0.1277777777777778	1.6305954220582812	0.0022032391836467	1.4673377502021034	0.0106279104071557	1.9041077946411116	1.3361613405488134e-05
CITED2	hallmark	HALLMARK_HYPOXIA	True	gse111151,gse245601	FOXO3	SINGLE_DATASET	1.2440249218281394	0.153360421699978	1.1569480643223709	0.2142004354238359	1.6989583385989184	0.0004739692504287	1.7361630915505288	0.0001150500989363
CITED2	hallmark	HALLMARK_INFLAMMATORY_RESPONSE	False		HIF1A	STRONG_CONSENSUS	1.8649064512731608	0.0002854784550987	1.3317864054906794	0.069269861642767	1.6096659225520882	0.0027462607786466	-1.0666639118156207	0.3998703123311358
CITED2	hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE	False		HIF1A	MIXED	-1.3976459346361438	0.0339054313096055	-2.50623630105524	3.4701581166699915e-16	1.7064055212866915	0.0003458189447789	0.8290655970964408	0.9310009718172984
CITED2	hallmark	HALLMARK_KRAS_SIGNALING_DN	False		TFAP2B	MIXED	-1.20172094736421	0.2049400252525252	-1.2352749358941597	0.1583710407239819	1.2149301095591831	0.1800411522633745	-1.4349998239427015	0.0243080744737726
CITED2	hallmark	HALLMARK_P53_PATHWAY	False		FOXO3;TP53	STRONG_CONSENSUS	1.3735082397578076	0.0339054313096055	1.1255619204988074	0.2882703777335983	1.560369233505743	0.0027462607786466	1.5716469830604358	0.0032813996355039
