gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
CCDC63	9.43073032763168	9.02614169425176	3.7091096507189603e-10	1.71743527749721e-06	sign(log2fc)*-log10(p_value)
MEIS2	9.370779555808625	9.14557249280681	4.2581449811126003e-10	1.71743527749721e-06	sign(log2fc)*-log10(p_value)
NR2F1	9.102451658105434	9.86992399817877	7.89856764510469e-10	1.71743527749721e-06	sign(log2fc)*-log10(p_value)
ZNF229	8.982897012423658	9.26741258554587	1.04016679930363e-09	1.71743527749721e-06	sign(log2fc)*-log10(p_value)
GUCY1A1	8.977664092532498	9.39517306926855	1.05277583428957e-09	1.71743527749721e-06	sign(log2fc)*-log10(p_value)
ZNF625	8.951416578121927	9.75732298779841	1.1183646261106201e-09	1.71743527749721e-06	sign(log2fc)*-log10(p_value)
LDHB	8.776338530052154	13.3463818678887	1.6736377764076901e-09	1.92761230897756e-06	sign(log2fc)*-log10(p_value)
NCF2	8.733853953431893	6.39928872729772	1.84563597388074e-09	2.00066939568673e-06	sign(log2fc)*-log10(p_value)
DCBLD2	8.49635461859735	6.22291035372543	3.1889329020574903e-09	2.39444560882377e-06	sign(log2fc)*-log10(p_value)
EPB41L2	8.488333218660898	8.51228851982431	3.2483796516493504e-09	2.39444560882377e-06	sign(log2fc)*-log10(p_value)
CRYBG3	8.323464970813168	9.17212443290134	4.748265878097061e-09	3.02304606892318e-06	sign(log2fc)*-log10(p_value)
AC027031.2	8.296972351800731	9.8836964669015	5.046934265010331e-09	3.10016348785368e-06	sign(log2fc)*-log10(p_value)
SPRY4	8.18979263438974	7.05023058575436	6.45962587666287e-09	3.67892643880068e-06	sign(log2fc)*-log10(p_value)
CA2	8.18124315962872	10.8140526145149	6.58804929891592e-09	3.67892643880068e-06	sign(log2fc)*-log10(p_value)
LYN	8.153610599087083	6.43817930113175	7.0208452544781705e-09	3.79815317685443e-06	sign(log2fc)*-log10(p_value)
DPYD	8.116936266942307	7.67435663944045	7.6394788530658e-09	3.79815317685443e-06	sign(log2fc)*-log10(p_value)
GPC6	8.106122131417708	8.40688073885893	7.832093592384871e-09	3.79815317685443e-06	sign(log2fc)*-log10(p_value)
