gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
INSIG1	6.169522946590768	1.6061850064302	6.76826030871404e-07	0.0060870349086419	sign(log2fc)*-log10(p_value)
ACAT2	5.911931559389024	0.709469234261815	1.22480920214403e-06	0.0062330601884525	sign(log2fc)*-log10(p_value)
DHCR7	5.8581974227291465	1.06252481988546	1.38612557701729e-06	0.0062330601884525	sign(log2fc)*-log10(p_value)
SCD	5.736754149932587	1.70292102237331	1.83335197217175e-06	0.0065953003846906	sign(log2fc)*-log10(p_value)
UCP1	5.559612147970742	3.15099847695965	2.75668949981979e-06	0.007981825407395	sign(log2fc)*-log10(p_value)
MVD	5.470711301122372	1.0719645758343	3.38289640779065e-06	0.007981825407395	sign(log2fc)*-log10(p_value)
AP002387.2	5.349033049329195	0.895705654690312	4.47679234985981e-06	0.007981825407395	sign(log2fc)*-log10(p_value)
MVK	5.31146382560489	1.08286641483184	4.88130758221745e-06	0.007981825407395	sign(log2fc)*-log10(p_value)
RRAGD	5.164250387733744	0.820805444591755	6.8509312961808e-06	0.0091712694789418	sign(log2fc)*-log10(p_value)
IDI1	5.116438021116399	1.02244492285888	7.64824830066865e-06	0.0091712694789418	sign(log2fc)*-log10(p_value)
LDLR	5.052414593307275	0.808499018938211	8.86309504761508e-06	0.0092712225249108	sign(log2fc)*-log10(p_value)
FDFT1	5.024501822244095	0.708906435046083	9.45144426727289e-06	0.0092712225249108	sign(log2fc)*-log10(p_value)
NAIF1	5.009068128706583	0.851695998555267	9.79336342765921e-06	0.0092712225249108	sign(log2fc)*-log10(p_value)
EBP	4.8578690277586	0.580594325568022	1.38717410245465e-05	0.0118814764670723	sign(log2fc)*-log10(p_value)
FDPS	4.783063369533426	0.827816648764079	1.64792191952637e-05	0.013473259802964	sign(log2fc)*-log10(p_value)
SREBF2	4.728321553713435	0.617027086666141	1.86929759098058e-05	0.0146187198995512	sign(log2fc)*-log10(p_value)
DDIT4	4.608496273361573	1.18521968519083	2.46322297481964e-05	0.0159989004639993	sign(log2fc)*-log10(p_value)
HRK	4.60411349213348	1.48158258333664	2.48820700188593e-05	0.0159989004639993	sign(log2fc)*-log10(p_value)
SQLE	4.588088766231188	0.959704066833991	2.58173245175896e-05	0.0159989004639993	sign(log2fc)*-log10(p_value)
