dataset	collection	pathway	NES	nom_pvalue	fdr	gene_set_size_in_data	n_leading_edge	leading_edge_genes
gse111151	hallmark	HALLMARK_ANGIOGENESIS	2.2186306656390538	2.203761448113104e-07	3.6729357468551732e-06	28	15	OLR1;TNFRSF21;ITGAV;FGFR1;JAG1;LRPAP1;S100A4;JAG2;LPL;VTN;SLCO2A1;NRP1;THBD;KCNJ8;PDGFA
gse111151	hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.16611543772747	5.037115305140084e-11	2.518557652570042e-09	160	72	LRP1;LAMC1;TNC;APLP1;DKK1;TNFRSF11B;CDH11;QSOX1;FZD8;BMP1;HTRA1;COL6A2;TGFBR3;LAMA3;ITGAV;TPM2;GPC1;FERMT2;MATN3;PLOD2;FSTL3;IGFBP3;FUCA1;GJA1;FLNA;P3H1;ITGB1;PLOD1;LRRC15;SFRP1;COL1A1;PTHLH;DPYSL3;SDC1;ITGA5;ECM1;SERPINH1;SLIT2;SPOCK1;PPIB;FBLN2;CD59;CDH2;TNFRSF12A;MYL9;SERPINE2;JUN;GAS1;PRRX1;CD44;NOTCH2;COL7A1;COLGALT1;ENO2;ITGB5;FN1;TGM2;PMP22;COL5A1;TNFAIP3;LOX;CADM1;EMP3;LOXL1;SNTB1;GEM;PCOLCE2;GADD45A;LAMC2;TPM1;FBLN1;COL16A1
gse111151	hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2.0042405924820406	3.4016088591053487e-06	2.8346740492544574e-05	70	32	GNAI1;TM7SF2;CXCL16;SEMA3B;FADS2;JAG1;ALCAM;LPL;CYP51A1;ANTXR2;LDLR;LGALS3;TNFRSF12A;LGMN;PNRC1;CPEB2;ALDOC;FBXO6;DHCR7;PPARG;CBS;GLDC;PLSCR1;TMEM97;GPX8;ACSS2;CTNNB1;CLU;TP53INP1;LSS;SQLE;SC5D
gse111151	hallmark	HALLMARK_MYC_TARGETS_V1	-1.9243683277096817	4.071725880689741e-08	1.0179314701724352e-06	193	103	RPS3;CUL1;NME1;HNRNPA2B1;PCBP1;MRPS18B;NCBP1;VBP1;HNRNPA3;PRPS2;HNRNPA1;SNRPA1;PABPC1;PSMA4;CSTF2;SNRPD1;EIF3B;EIF1AX;TXNL4A;SNRPD3;SSBP1;PRDX3;CTPS1;COX5A;PTGES3;YWHAE;MCM7;PSMB3;YWHAQ;EIF3J;FBL;TCP1;RPS2;PSMD8;RPLP0;TARDBP;PSMB2;CCT2;CBX3;AIMP2;FAM120A;NOLC1;RPS10;PPIA;CDC20;SRSF3;COPS5;CCT3;CCT4;CDK2;HDAC2;KPNA2;HPRT1;SF3A1;SMARCC1;EIF4H;PA2G4;RAD23B;PSMA2;POLE3;HSP90AB1;HNRNPD;TRA2B;SERBP1;NHP2;U2AF1;RPL6;CCT7;VDAC1;SRSF1;UBE2L3;MRPL23;SET;SNRPA;LSM2;MRPL9;ACP1;PABPC4;HNRNPR;PCNA;XRCC6;PSMD3;HSPD1;ETF1;RPL34;EIF3D;SRPK1;CCT5;ILF2;NOP16;XPO1;EIF4E;CCNA2;GSPT1;NDUFAB1;CLNS1A;IFRD1;DUT;SYNCRIP;RPL22;TYMS;SRSF2;PPM1G
gse111151	hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY	-1.8446613569843022	2.43293794273065e-06	2.43293794273065e-05	191	59	GFRA1;PGR;CISH;AREG;EGR3;IGFBP4;CYP26B1;UGCG;RASGRP1;MPPED2;MYB;TOB1;GREB1;SIAH2;FKBP4;ELOVL2;MYOF;FARP1;KCNK5;NPY1R;MED13L;PTGES;ALDH3B1;PEX11A;ARL3;WWC1;TFAP2C;GLA;IGF1R;BCL2;SNX24;RARA;P2RY2;PDLIM3;CALCR;SCNN1A;FKBP5;TGIF2;MREG;SLC22A5;JAK2;TMPRSS3;CXCL12;TFF3;ZNF185;CBFA2T3;MYBL1;NRIP1;ABHD2;TTC39A;KRT18;KRT13;MLPH;KRT8;DEPTOR;ADD3;PDZK1;CCND1;TFF1
gse111151	hallmark	HALLMARK_E2F_TARGETS	-1.7992564691348998	1.225905506435082e-06	1.5323818830438525e-05	195	128	CBX5;PAN2;SMC1A;SHMT1;NME1;E2F8;EZH2;HMGB3;RPA3;RAD51C;NASP;GINS1;CDC25B;DDX39A;IPO7;ING3;TIPIN;RPA1;SSRP1;DONSON;CTPS1;SUV39H1;MTHFD2;NUDT21;MCM7;CDKN1B;RBBP7;TRIP13;CCNB2;DIAPH3;BRCA1;POLA2;NBN;ANP32E;KIF22;PAICS;NOLC1;MXD3;RFC2;TP53;PSMC3IP;CDC20;TIMELESS;CHEK1;CKS2;SMC3;KPNA2;PTTG1;TK1;PA2G4;DCTPP1;PPM1D;PRKDC;BUB1B;AK2;GINS4;HELLS;HNRNPD;TRA2B;KIF4A;WEE1;CTCF;CDKN2A;CKS1B;KIF18B;NUP205;KIF2C;RAD21;SRSF1;BRMS1L;PMS2;SPAG5;CDCA8;CDKN2C;AURKA;ILF3;CHEK2;POLD3;TACC3;PCNA;XRCC6;MELK;HUS1;POP7;RACGAP1;TBRG4;XPO1;CIT;DSCC1;LMNB1;HMMR;ASF1A;STMN1;PHF5A;GSPT1;PLK4;SPC25;ESPL1;BIRC5;DUT;RPA2;SNRPB;SYNCRIP;SRSF2;TOP2A;CDC25A;CENPE;RNASEH2A;AURKB;PLK1;LYAR;TMPO;TUBG1;CCP110;CENPM;DEK;RAD50;BRCA2;RAD1;MAD2L1;PPP1R8;EIF2S1;DLGAP5;POLD2;RANBP1;STAG1;RFC3;UBE2S
gse111151	hallmark	HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.766547051848122	0.0010636645323215369	0.0027462607786466007	38	18	GNAI1;DKK1;FZD8;MYC;JAG1;JAG2;NOTCH4;NCSTN;WNT5B;NKD1;LEF1;PSEN2;HEY1;CTNNB1;ADAM17;PTCH1;DVL2;FRAT1
gse111151	hallmark	HALLMARK_UV_RESPONSE_DN	1.752283694744422	6.91637889557808e-05	0.000345818944778904	128	36	SCHIP1;LAMC1;IGFBP5;MYC;LTBP1;TGFBR3;RND3;MAP1B;AMPH;NR3C1;ABCC1;GJA1;LPAR1;PHF3;NRP1;COL1A1;DBP;ID1;LDLR;ERBB2;MTA1;VLDLR;FYN;CDC42BPA;SYNE1;SLC22A18;FZD2;PEX14;ACVR2A;CELF2;PPARG;NFKB1;NOTCH2;PTPRM;PTEN;MAGI2
gse111151	hallmark	HALLMARK_IL2_STAT5_SIGNALING	1.749834413299468	3.804232196209255e-05	0.00027173087115780396	158	51	CCNE1;APLP1;AHR;MYC;PRNP;ENPP1;TNFRSF21;CKAP4;SPRY4;ITGAV;FURIN;SLC1A5;IGF2R;ALCAM;IFNGR1;COL6A1;NRP1;ITGA6;CD83;COCH;P2RX4;ECM1;WLS;GLIPR2;P4HA1;EOMES;CA2;RORA;IL10RA;SLC29A2;BMPR2;LRRC8C;PLEC;DHRS3;CD44;TNFRSF18;PLSCR1;IRF8;CDKN1C;TGM2;MAP6;SMPDL3A;IL18R1;GPX4;CSF1;ODC1;TWSG1;MXD1;SERPINB6;IL3RA;IRF6
gse111151	hallmark	HALLMARK_HEDGEHOG_SIGNALING	1.7377532638454813	0.002232065903674933	0.004852317181902029	32	17	SLIT1;AMOT;NRP1;DPYSL2;ADGRG1;UNC5C;VLDLR;TLE3;CELSR1;CRMP1;MYH9;LDB1;ETS2;HEY1;RTN1;PTCH1;ACHE
