gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
CDK18	3.483139279863537	1.51772134377785	0.0003287461838384	0.0901356286848342	sign(log2fc)*-log10(p_value)
MT-TP	3.4751084109296744	1.2269386043389	0.0003348818337147	0.0903361478270981	sign(log2fc)*-log10(p_value)
DOCK2	3.473574033179423	1.75964088516827	0.000336067075584	0.0903361478270981	sign(log2fc)*-log10(p_value)
WSCD1	3.422523113659575	2.30368511013646	0.0003779870198558	0.0950793404624673	sign(log2fc)*-log10(p_value)
HPN	3.4079203704167704	1.87002507419524	0.0003909125645617	0.0956710892712359	sign(log2fc)*-log10(p_value)
CCNE1	3.4076305755577616	0.758488792038767	0.0003911734986991	0.0956710892712359	sign(log2fc)*-log10(p_value)
NPNT	3.4041766099225743	2.25740386778709	0.000394296924927	0.0956710892712359	sign(log2fc)*-log10(p_value)
PLEKHD1	3.3961610257418116	1.35011610957702	0.0004016418642857	0.0959856957450478	sign(log2fc)*-log10(p_value)
IGF2	3.3907486159477687	2.6105157677389	0.0004066786601485	0.0959856957450478	sign(log2fc)*-log10(p_value)
TRPC1	3.385064115395885	1.14600134248465	0.0004120366851553	0.0959856957450478	sign(log2fc)*-log10(p_value)
AC132217.4	3.378721380276942	2.66623224072098	0.0004180985098925	0.0959856957450478	sign(log2fc)*-log10(p_value)
GALNT16	3.3747770403379627	1.51979501922815	0.0004219130510764	0.0959856957450478	sign(log2fc)*-log10(p_value)
DCD	3.3705621448804273	6.71160506235287	0.0004260277172639	0.0959856957450478	sign(log2fc)*-log10(p_value)
ANKRD20A1	3.3694694242314873	2.18872054411449	0.000427100987705	0.0959856957450478	sign(log2fc)*-log10(p_value)
AMOT	3.357769082291831	1.02285763339487	0.0004387639299118	0.096500887317282	sign(log2fc)*-log10(p_value)
NEO1	3.3561688787834423	0.78608191639467	0.000440383583629	0.096500887317282	sign(log2fc)*-log10(p_value)
PSAP	3.351369066000156	0.96794479234262	0.0004452776879757	0.096500887317282	sign(log2fc)*-log10(p_value)
LINC00839	3.346294495783001	3.40760765615673	0.0004505111086371	0.096500887317282	sign(log2fc)*-log10(p_value)
AC005307.1	3.326483220240978	6.79248857950441	0.0004715380897182	0.0970422138348772	sign(log2fc)*-log10(p_value)
PIEZO2	3.3255290904051664	2.35275606285413	0.0004725751812718	0.0970422138348772	sign(log2fc)*-log10(p_value)
ZFP92	3.3195446851655817	5.65690715970543	0.0004791321517959	0.0970422138348772	sign(log2fc)*-log10(p_value)
KLF17	3.316940134224665	5.34346617495325	0.0004820142368005	0.0970422138348772	sign(log2fc)*-log10(p_value)
SNORD116-13	3.3153050148468517	1.62752957931558	0.0004838324417517	0.0970422138348772	sign(log2fc)*-log10(p_value)
CKB	3.3130332021237727	1.28944900742052	0.0004863700209341	0.0970422138348772	sign(log2fc)*-log10(p_value)
PNMA2	3.311507005106139	2.98052155405588	0.0004880822284895	0.0970422138348772	sign(log2fc)*-log10(p_value)
NLGN2	3.308655662035758	0.938494406084856	0.0004912972553778	0.0970422138348772	sign(log2fc)*-log10(p_value)
SCARNA6	3.3071288997845123	1.25618254768574	0.0004930274503475	0.0970422138348772	sign(log2fc)*-log10(p_value)
KCND3	3.3049470408347883	2.0382308854027	0.0004955106111635	0.0970422138348772	sign(log2fc)*-log10(p_value)
NOTCH3	3.300303993973169	0.684761354938742	0.0005008365393539	0.0973896186950864	sign(log2fc)*-log10(p_value)
CDH3	3.2959697256590696	0.885958250159263	0.000505859923888	0.097571116716061	sign(log2fc)*-log10(p_value)
EBF3	3.2883223463059092	2.16553573304893	0.0005148463684145	0.0978709821887481	sign(log2fc)*-log10(p_value)
AC079466.1	3.2860138231351517	3.47800497692118	0.0005175903573334	0.0978709821887481	sign(log2fc)*-log10(p_value)
RP11-657O9.1	3.278096955962954	1.86154774237028	0.000527112170834	0.0983153843532469	sign(log2fc)*-log10(p_value)
RP11-93H12.4	3.2691031821474046	4.20270082122707	0.0005381419125176	0.0990253352846158	sign(log2fc)*-log10(p_value)
TNC	3.261632192715361	2.10469146694423	0.0005474794310839	0.0994092121950888	sign(log2fc)*-log10(p_value)
CEACAM20	3.2510144904708187	5.89459599752482	0.0005610292566749	0.100472330923462	sign(log2fc)*-log10(p_value)
APLP1	3.2454908816002743	1.37252687168454	0.0005682103215168	0.100472330923462	sign(log2fc)*-log10(p_value)
ABCC4	3.243183270356347	2.21017381386246	0.0005712375260845	0.100472330923462	sign(log2fc)*-log10(p_value)
TPTE2P1	3.2425513789053073	1.64991563605833	0.0005720692723932	0.100472330923462	sign(log2fc)*-log10(p_value)
ZBTB16	3.237617922160892	3.99015766999747	0.0005786048608646	0.100472330923462	sign(log2fc)*-log10(p_value)
PNMA6A	3.2256505043220614	1.8935993741169	0.000594770603877	0.100472330923462	sign(log2fc)*-log10(p_value)
AL662791.1	3.2245268686585176	2.98783399408567	0.0005963114264717	0.100472330923462	sign(log2fc)*-log10(p_value)
TEX15	3.223801689830378	1.99698022030085	0.0005973079706953	0.100472330923462	sign(log2fc)*-log10(p_value)
DKK1	3.2056714591775535	1.08861164494143	0.0006227712292139	0.102736540376333	sign(log2fc)*-log10(p_value)
MUL1	3.1954742609402937	0.66040365780484	0.0006375668661923	0.102736540376333	sign(log2fc)*-log10(p_value)
AGRN	3.186318261800369	0.760349514500108	0.000651151039493	0.102736540376333	sign(log2fc)*-log10(p_value)
NDNF	3.1858134888069407	3.06681721389302	0.0006519083011177	0.102736540376333	sign(log2fc)*-log10(p_value)
ABCC3	3.1857615869186278	1.1659060026177	0.0006519862143658	0.102736540376333	sign(log2fc)*-log10(p_value)
C14orf132	3.175078166869105	1.18307245970277	0.0006682236359336	0.103761604542968	sign(log2fc)*-log10(p_value)
HCG4P11	3.1686182850779296	1.78049795545032	0.0006782373696216	0.103761604542968	sign(log2fc)*-log10(p_value)
KIAA1462	3.1667265880428053	1.90171131209514	0.0006811980749046	0.103761604542968	sign(log2fc)*-log10(p_value)
RP11-469A15.2	3.1633010886522035	4.41587621128745	0.0006865922727438	0.104005452674542	sign(log2fc)*-log10(p_value)
HS3ST5	3.1445829541681016	2.16468085043246	0.0007168314412241	0.10533670924069	sign(log2fc)*-log10(p_value)
ARAP3	3.1433282094194785	2.72601406044712	0.0007189054741406	0.10533670924069	sign(log2fc)*-log10(p_value)
HLA-DPA1	3.141298176122698	3.33809826121442	0.0007222737375902	0.10533670924069	sign(log2fc)*-log10(p_value)
MMP15	3.127629379566195	0.870961880703204	0.0007453677883243	0.107616309025257	sign(log2fc)*-log10(p_value)
