gene	leading_edge_dataset_count	max_same_pathway_dataset_count	leading_edge_datasets	pathway_count	resistance_direction	example_pathways	crispr_effect	crispr_p	crispr_fdr	crispr_direction
CLCN2	2	2	gse111151,gse118713	20	consistently_up_in_resistance_pathways	go_bp:GOBP_ALCOHOL_METABOLIC_PROCESS;go_bp:GOBP_EXOCRINE_SYSTEM_DEVELOPMENT;go_bp:GOBP_GLIAL_CELL_DIFFERENTIATION;go_bp:GOBP_GLIOGENESIS;go_bp:GOBP_OLEFINIC_COMPOUND_BIOSYNTHETIC_PROCESS;go_bp:GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS;go_bp:GOBP_OLIGODENDROCYTE_DIFFERENTIATION;go_bp:GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT;go_bp:GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS;go_bp:GOBP_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	0.3879049648657569	0.2784391941589248	0.8240460401008299	nonsignificant_tolerance_direction
LTBP3	2	2	gse111151,gse118713	20	consistently_up_in_resistance_pathways	go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_CHONDROCYTE_DIFFERENTIATION;go_bp:GOBP_CONNECTIVE_TISSUE_DEVELOPMENT;go_bp:GOBP_OSSIFICATION;go_bp:GOBP_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	0.6016514318594997	0.1176620760846504	0.7616616496167914	nonsignificant_tolerance_direction
NGFR	2	2	gse111151,gse118713	20	consistently_up_in_resistance_pathways	go_bp:GOBP_AORTA_DEVELOPMENT;go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_EPITHELIAL_CELL_PROLIFERATION;go_bp:GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM;go_bp:GOBP_NEURON_PROJECTION_GUIDANCE;go_bp:GOBP_ODONTOGENESIS	-0.2084630853063966	0.4752049502706299	0.8948710643795111	nonsignificant_sensitising_direction
PHB2	2	2	gse111151,gse240112	20	consistently_up_in_resistance_pathways	go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY;go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_EPITHELIAL_CELL_PROLIFERATION;go_bp:GOBP_EPITHELIAL_TUBE_MORPHOGENESIS;go_bp:GOBP_ERK1_AND_ERK2_CASCADE;go_bp:GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM;go_bp:GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE;go_bp:GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY;go_bp:GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	-0.4741471437454336	0.3443244667972615	0.8519142972708311	nonsignificant_sensitising_direction
SDCBP	2	2	gse118713,gse240112	20	consistently_up_in_resistance_pathways	go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION;go_bp:GOBP_MESENCHYMAL_CELL_DIFFERENTIATION;go_bp:GOBP_MESENCHYME_DEVELOPMENT;go_bp:GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS;go_bp:GOBP_POSITIVE_REGULATION_OF_LOCOMOTION;go_bp:GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE;go_bp:GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS;go_bp:GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION;go_bp:GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	-0.4232904843416625	0.2496637526936244	0.8125010146652598	nonsignificant_sensitising_direction
CD109	2	2	gse118713,gse240112	19	consistently_up_in_resistance_pathways	go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_EPITHELIAL_CELL_PROLIFERATION;go_bp:GOBP_MYELOID_CELL_DIFFERENTIATION;go_bp:GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS;go_bp:GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING;go_bp:GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS;go_bp:GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	-0.1633596234635979	0.6567677082033447	0.9417342193485448	nonsignificant_sensitising_direction
CDK5	2	2	gse118713,gse240112	19	consistently_up_in_resistance_pathways	go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_GLIAL_CELL_DIFFERENTIATION;go_bp:GOBP_GLIOGENESIS;go_bp:GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS;go_bp:GOBP_OLIGODENDROCYTE_DIFFERENTIATION;go_bp:GOBP_POSITIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	0.6477522957555912	0.0372041855967582	0.6435115709558532	nonsignificant_tolerance_direction
CDKN2B	2	2	gse118713,gse240112	19	consistently_up_in_resistance_pathways	go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_EPITHELIAL_CELL_PROLIFERATION;go_bp:GOBP_GLIOGENESIS;go_bp:GOBP_MYELOID_CELL_DIFFERENTIATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION;go_bp:GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS;go_bp:GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS;go_bp:GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	0.3640207138258171	0.1918568753091566	0.7956932679350437	nonsignificant_tolerance_direction
CEBPA	2	2	gse111151,gse118713	19	consistently_up_in_resistance_pathways	go_bp:GOBP_ALCOHOL_METABOLIC_PROCESS;go_bp:GOBP_EAR_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT;go_bp:GOBP_FAT_CELL_DIFFERENTIATION;go_bp:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT;go_bp:GOBP_MYELOID_CELL_DIFFERENTIATION;go_bp:GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT;go_bp:GOBP_NOTCH_SIGNALING_PATHWAY	-0.0259572289368872	0.9159889238471034	0.990049118900186	nonsignificant_sensitising_direction
ECM1	2	2	gse111151,gse240112	19	consistently_up_in_resistance_pathways	go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CHONDROCYTE_DIFFERENTIATION;go_bp:GOBP_CONNECTIVE_TISSUE_DEVELOPMENT;go_bp:GOBP_EPITHELIAL_CELL_PROLIFERATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY;go_bp:GOBP_OSSIFICATION;go_bp:GOBP_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	0.1614470495003663	0.5723644601805268	0.925042228162412	nonsignificant_tolerance_direction
