gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
CXCL8	40.9284386906522	4.74801435376446	1.00315222941887e-12	7.4423863900586105e-09	moderated_t
NCF2	36.328760089456	4.89173146818772	3.3910132676725498e-12	8.6203189384681e-09	moderated_t
DNM3	35.4729006852648	4.14026929801834	4.3252410862633594e-12	8.6203189384681e-09	moderated_t
LOX	35.377839908326	4.80263819051348	4.4453198836416e-12	8.6203189384681e-09	moderated_t
AASS	35.223827129039	4.72329084316331	4.6476985784974296e-12	8.6203189384681e-09	moderated_t
RND1	33.3291699708959	5.42149798511865	8.16867297209569e-12	1.21206769559956e-08	moderated_t
MALL	30.5436524761615	4.69384647100205	1.9873685385503097e-11	2.2194394603551e-08	moderated_t
ATP1B1	30.4638441873283	4.45693401288882	2.04100369767512e-11	2.2194394603551e-08	moderated_t
SLCO2A1	30.2085652264307	4.16108018097689	2.2235033638977198e-11	2.2194394603551e-08	moderated_t
SLC25A18	29.1293195763361	4.08720421364181	3.21930047055775e-11	2.65154115887905e-08	moderated_t
HEY1	28.8740888397787	4.36847814689592	3.52064748467416e-11	2.65154115887905e-08	moderated_t
PPARG	28.8314133474289	4.58426124540051	3.57398727440227e-11	2.65154115887905e-08	moderated_t
SPRY4	27.0629994883283	5.07151582384541	6.798552811071579e-11	4.06453741983047e-08	moderated_t
DOCK4	27.0436118136617	3.79314427802852	6.84818947942861e-11	4.06453741983047e-08	moderated_t
HMGA2	26.6366650920737	3.61626620843299	7.987365197035509e-11	4.55832787667742e-08	moderated_t
TPM2	25.6066406597127	5.02867692457096	1.19150770757696e-10	5.73911545940149e-08	moderated_t
GUCY1A2	25.5907388916049	4.30313701311604	1.19903342257343e-10	5.73911545940149e-08	moderated_t
ANG	25.4482398646525	3.58162668180838	1.26884639045025e-10	5.88348210671899e-08	moderated_t
EPAS1	25.2405244669339	5.9473037686576	1.3787185058895601e-10	6.14437686554197e-08	moderated_t
CHRNA9	25.074285131581	4.99668883664174	1.47417382138113e-10	6.2496546176152e-08	moderated_t
EHF	24.940243187478	4.87210349038114	1.55642225398834e-10	6.41505372352195e-08	moderated_t
GLRA3	24.8118635247339	4.01963428575892	1.63993142684245e-10	6.5765682463482e-08	moderated_t
IGF2BP2	23.4219824656127	4.48788597862747	2.93846805226279e-10	1.06343875510915e-07	moderated_t
LINC01207	22.6859822680257	2.91094428375407	4.05695523716254e-10	1.43326432878614e-07	moderated_t
KIF1A	22.4209423259228	3.4693665645769	4.56793274024735e-10	1.55341273259371e-07	moderated_t
DHRS3	22.2685096500727	3.17055739395326	4.8934655943284e-10	1.5607939994064e-07	moderated_t
PTPRB	22.2314324441755	2.70371700141993	4.976434996436061e-10	1.5607939994064e-07	moderated_t
DLX2	22.1615296456547	4.09946036442767	5.13708292620808e-10	1.5607939994064e-07	moderated_t
ITIH2	22.1541975431907	4.51901563580923	5.15425973654898e-10	1.5607939994064e-07	moderated_t
EDARADD	21.9636626385061	2.80504220724513	5.62344124363589e-10	1.66881242346139e-07	moderated_t
GPR98	21.8028204600674	3.66928275516613	6.05603328965129e-10	1.72806580676627e-07	moderated_t
NPAS2	21.607367151464	3.83563678325123	6.631456733951981e-10	1.85655764185622e-07	moderated_t
S100P	21.1885358133111	5.61858873955283	8.07696780584054e-10	2.17901906005567e-07	moderated_t
LRRC6	21.1161794031527	3.93080385736012	8.36002462569608e-10	2.19119080695398e-07	moderated_t
RP5-1059L7.1	21.0953464325419	2.8435175293396	8.44352408186299e-10	2.19119080695398e-07	moderated_t
SSTR5-AS1	21.0654116053196	3.18183499221226	8.56510761580611e-10	2.19119080695398e-07	moderated_t
BMP6	20.7727897132244	2.68069896117505	9.86001572650028e-10	2.43838188916352e-07	moderated_t
SERPINE2	20.7221921803222	4.65698980924441	1.01049410014393e-09	2.45798548490747e-07	moderated_t
CP	20.6490436974472	4.7367795260903	1.04708862656861e-09	2.48381242297022e-07	moderated_t
GOLM1	20.6343935965612	4.15056996852675	1.05459079826879e-09	2.48381242297022e-07	moderated_t
PRICKLE2-AS1	20.1900151224231	2.49364210444388	1.3126417939561e-09	2.9158397573172e-07	moderated_t
KRT81	20.1656620008936	3.9565712341099	1.3286588930098801e-09	2.9158397573172e-07	moderated_t
FGF13	20.1541883939571	2.71977870573847	1.3362791717048702e-09	2.9158397573172e-07	moderated_t
FN1	20.0652652185664	5.25040565096158	1.3969869927626401e-09	2.96121328551601e-07	moderated_t
SPTB	19.9467513649736	2.73571543285011	1.4826394649582402e-09	3.05547283070145e-07	moderated_t
MUCL1	19.8323433916176	6.3850237901373	1.57080663182716e-09	3.12768046223678e-07	moderated_t
PLEK2	19.8196787915797	3.24717806597072	1.58091410343549e-09	3.12768046223678e-07	moderated_t
EYA2	19.7379930858285	3.38813903313652	1.6478425328778702e-09	3.21719572405814e-07	moderated_t
CA9	19.2124449868858	4.22458869497868	2.1602160365941603e-09	4.00666069387301e-07	moderated_t
LINC00869	18.9508914001451	3.05843623706812	2.47833046523239e-09	4.33318684711693e-07	moderated_t
SATB1	18.8623972743059	2.48532541907014	2.5973015111103303e-09	4.4430070255109e-07	moderated_t
RNASE4	18.8567674968245	3.10897367588944	2.60507892721019e-09	4.4430070255109e-07	moderated_t
CAPN2	18.7961414024488	3.75019368302523	2.6904674485686e-09	4.53649500021147e-07	moderated_t
SOX9	18.7345355622034	2.41616777136223	2.78038478514047e-09	4.58392771576826e-07	moderated_t
CXCL17	18.4852881091353	3.32944992173526	3.1792579605541503e-09	5.12759017594592e-07	moderated_t
GLYATL1	18.3701053024752	2.43988724249139	3.38440573999309e-09	5.39976477096962e-07	moderated_t
STARD8	18.1081426815393	2.20458314954821	3.90705698793351e-09	5.91560322315892e-07	moderated_t
CSGALNACT1	18.0363144283873	4.56833161675912	4.06536273313978e-09	6.09311638730587e-07	moderated_t
CH17-472G23.2	17.9712825121282	2.698137818156	4.21475887138549e-09	6.25385921336179e-07	moderated_t
CTHRC1	17.8962099081051	3.96043598644569	4.39473567965001e-09	6.41353009259518e-07	moderated_t
LPAR1	17.8904792958681	2.15926665979879	4.408815672224751e-09	6.41353009259518e-07	moderated_t
COL4A3	17.8716382990947	3.68993984757357	4.45545670158629e-09	6.41845306195508e-07	moderated_t
GJA3	17.7009829428499	2.13544073913746	4.9033897958698106e-09	6.94032388892915e-07	moderated_t
GSTA4	17.6876174525781	2.79093699531612	4.94049811826684e-09	6.94032388892915e-07	moderated_t
TSPAN5	17.6684043057955	3.16093008215966	4.994381562778121e-09	6.94032388892915e-07	moderated_t
SEPT6	17.6435370167397	2.42609746828068	5.0650791558998e-09	6.94032388892915e-07	moderated_t
PARP8	17.6348964346685	3.45476205473726	5.08990007727714e-09	6.94032388892915e-07	moderated_t
AKR1B10	17.542768850961	3.70479667030449	5.36298246895062e-09	7.14255409201507e-07	moderated_t
CCDC68	17.4873116458135	3.12868612857365	5.53507215763774e-09	7.20433339254638e-07	moderated_t
MCTP1	17.4443043186149	3.86981701752551	5.6726894317287904e-09	7.31924919895581e-07	moderated_t
SOX21	17.3883048493437	2.3177869683052	5.8575210601337e-09	7.49257736985034e-07	moderated_t
GPSM3	17.2676728527878	2.67462013616317	6.27847209132793e-09	7.89491261789185e-07	moderated_t
ITGB6	17.155859838412	4.69730636529651	6.6983480013583e-09	8.27059531765943e-07	moderated_t
SDR16C5	17.1440514827182	2.21238059078716	6.74445365572713e-09	8.27059531765943e-07	moderated_t
ENTPD3	17.1214472970106	2.73735475052316	6.8336831489277705e-09	8.30094222127775e-07	moderated_t
RAPGEF3	17.0956664681459	2.29991646098006	6.93703218384176e-09	8.30094222127775e-07	moderated_t
RAB27B	16.9940535471131	2.66510041068495	7.3613480335039e-09	8.69314597292355e-07	moderated_t
RP11-588K22.2	16.9672964612988	2.32248935025167	7.477747981469331e-09	8.73660035819227e-07	moderated_t
GNPDA2	16.7740142301922	2.04580818063719	8.38087823494351e-09	9.63995901163502e-07	moderated_t
DLX1	16.7045610791237	3.04176220827547	8.734012907653161e-09	9.96886796336597e-07	moderated_t
BMP2	16.6179992120443	2.58015946198547	9.19710786369079e-09	1.04173043115606e-06	moderated_t
HSD17B11	16.5135678872746	2.29054555313457	9.79188693373597e-09	1.0924211903968e-06	moderated_t
QPCT	16.3026649958913	3.20265376732991	1.11255496854557e-08	1.22282152765031e-06	moderated_t
C2orf54	16.2495423088208	2.46339549636952	1.14919847635377e-08	1.25380933765715e-06	moderated_t
TIMP1	16.2251349690595	2.15773525139351	1.1664752949818e-08	1.26336937422919e-06	moderated_t
ANKRD22	16.1768911782142	2.03615272368864	1.20146664363841e-08	1.29183783031208e-06	moderated_t
GJB2	16.1623859694152	3.81456101188536	1.212210581039e-08	1.29401299291055e-06	moderated_t
SLPI	16.1060033921879	3.73157910346831	1.25498210932693e-08	1.32066840696405e-06	moderated_t
TNIK	16.0279515876354	2.37430006610614	1.31693957014035e-08	1.37610910857341e-06	moderated_t
CMTM8	15.9335581707199	2.46880334969341	1.39637740179539e-08	1.44891243970909e-06	moderated_t
LARP6	15.8322458984264	3.18867565082983	1.48751184577803e-08	1.52218625983823e-06	moderated_t
ARHGDIB	15.7951248820199	3.12988981641504	1.52251573489019e-08	1.52849418418e-06	moderated_t
ANXA2	15.7625419913078	2.12351483822672	1.55398346973331e-08	1.54751722979214e-06	moderated_t
ETV4	15.7446482333199	3.52468442425988	1.57156684300368e-08	1.55459392109924e-06	moderated_t
BCAS1	15.7153095713471	2.21263976607574	1.60086927014337e-08	1.57309259803889e-06	moderated_t
LIMCH1	15.6296669811158	3.33857936012242	1.68987859458498e-08	1.64963280174026e-06	moderated_t
RP1-78O14.1	15.5541398644109	2.24272404536223	1.77287735531194e-08	1.69613954343944e-06	moderated_t
DNAJC22	15.481277499859	2.9619539066232	1.85718878305745e-08	1.7441118457599e-06	moderated_t
GFRA3	15.4477448735069	2.02054113637722	1.89745539164138e-08	1.7616044595028e-06	moderated_t
