dataset	collection	pathway	NES	nom_pvalue	fdr	gene_set_size_in_data	n_leading_edge	leading_edge_genes
gse118713	go_bp	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION	1.0873175808727154	0.3540489642184557	0.5855373459829029	25	8	WNT5A;F2RL1;SMAD3;MYD88;AGER;CASP8;PYCARD;STAT3
gse118713	go_bp	GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1.086847458027403	0.31239092495637	0.5537381073016945	82	21	LPAR1;RAPGEF3;GABBR2;CRHR1;GPR37;EDN1;GIPR;GRM4;GPR161;AKAP13;PTGER4;PDE4D;CRTC3;GNAL;VIPR2;FLNA;PRKACB;VIPR1;PALM;PRKCA;RAPGEF2
gse118713	go_bp	GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	1.0868073067851307	0.25	0.5022851919561243	282	45	PPARG;FGF13;SPTB;LPAR1;BMP7;IQCJ-SCHIP1;ACAA2;LIF;PLEKHH2;PHLDB2;ADD3;SPTBN2;MAP1B;CIB1;DMTN;VILL;SPTBN1;TMSB15B;ODF2L;CORO1A;TMSB4X;TBC1D4;SSH2;SCIN;ERCC1;ARHGEF2;TMSB10;BOK;LIMK2;FEZ2;PRKCD;PINK1;ARHGEF18;GSN;SETMAR;SWAP70;TNKS;SRC;PARP1;RHPN2;PINX1;AVIL;GCLC;LIMA1;APC
gse118713	go_bp	GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	1.086609771985234	0.3137614678899083	0.5543791852267028	40	5	TIMP1;ARHGDIB;BMP7;WNT5A;LIF
gse118713	go_bp	GOBP_MYELIN_ASSEMBLY	1.0865666392902786	0.3452157598499062	0.579519531682862	16	6	NCMAP;UGT8;PMP22;GNPAT;MTMR2;PIKFYVE
gse118713	go_bp	GOBP_PIECEMEAL_MICROAUTOPHAGY_OF_THE_NUCLEUS	1.0865632625478363	0.34205607476635513	0.5782822775008997	17	8	ATG4B;RB1CC1;ATG9A;ATG12;ATG4A;SNX7;ATG5;SNX30
gse118713	go_bp	GOBP_PLASMA_MEMBRANE_REPAIR	1.0864645299357176	0.35195530726256985	0.5839744414850606	24	4	ANXA2;SMPD1;CHMP4C;S100A10
gse118713	go_bp	GOBP_FOREBRAIN_CELL_MIGRATION	1.0860694543114486	0.3161764705882353	0.5562613786176156	39	8	FGF13;LAMB1;EGFR;DISC1;TYRO3;COL3A1;CTNNB1;CDK5
gse118713	go_bp	GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	-1.085762327604491	0.32801822323462415	0.567108590458603	51	9	PGLYRP2;APOA1;ASCL2;CD22;BST2;HFE;CD274;CD59;CD55
gse118713	go_bp	GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	-1.0855710272885017	0.2695852534562212	0.5216094956837801	91	17	HSPB8;BAG3;CREB3L1;STC2;CAV1;AMFR;WFS1;XBP1;CTH;DNAJB12;DERL2;HDAC6;SERP1;ERMP1;HSPA1A;CCND1;PIGBOS1
gse118713	go_bp	GOBP_SYNAPTIC_VESICLE_LOCALIZATION	1.085545626596975	0.3180147058823529	0.5574133361478563	39	7	DNM3;BRSK2;CTNNB1;CDK5;PINK1;BRSK1;BLOC1S4
gse118713	go_bp	GOBP_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	-1.0845865925444584	0.3056768558951965	0.5482739518071552	45	10	ERBB4;ABCA12;RANGRF;EMP2;HFE;GPD1L;NEDD4L;NLGN2;ABCA2;GGA2
gse118713	go_bp	GOBP_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS	1.0842405658010645	0.30313588850174217	0.5462597635145565	97	24	CHRNA9;SERPINE2;COL4A3;GJB2;CABP2;MBP;DDIT3;CEMIP;GJC3;COL1A1;SPRY2;THRB;SOBP;TMEM87A;CASP3;FYN;EPS8L2;COCH;CCDC50;NPR2;HOMER2;SERPINB6;SLITRK6;ATP6V1B1
gse118713	go_bp	GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	1.084220108507176	0.2531446540880503	0.5049110251229896	209	56	CAPN2;SOCS2;ACP6;SGMS1;FABP5;PI4KAP2;SH3YL1;HTR2C;PLD1;INPP1;TMEM150A;ACSL3;SLC44A3;DGKD;ITPKB;SGMS2;IDH1;PI4KA;PIK3R3;ITPKC;SOCS6;INPP4A;GNPAT;SRD5A3;HMGCS1;MTMR2;LIPH;LPGAT1;SLC30A5;PIK3C2B;PIGH;ABHD4;LPCAT2;PIKFYVE;OCRL;MTMR6;PIK3C3;PITPNM1;FDPS;PIK3CA;PDGFA;GGPS1;IP6K2;MTMR3;PIGG;HEXB;ORMDL3;PITPNM3;CRLS1;CHKB;ORMDL1;MTMR14;BECN1;PIGF;LCLAT1;HMGCS2
