dataset	collection	pathway	NES	nom_pvalue	fdr	gene_set_size_in_data	n_leading_edge	leading_edge_genes
crispr	go_bp	GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT	1.0013611691372324	0.44170771756978655	0.7603353445975607	41	17	EGR1;CD34;IRX2;PDGFB;PDGFRB;LHX1;AGTR2;SIX2;RET;AQP1;GDNF;PAX8;GREM1;KIF26B;PDGFRA;IRX1;WNT9B
crispr	go_bp	GOBP_PROTEIN_LIPID_COMPLEX_ASSEMBLY	1.000940015543857	0.4469178082191781	0.762091550077527	29	15	MTTP;PLAGL2;ABCA1;APOA2;APOE;APOC3;PRKACG;APOB;NR1H2;ACSL3;ZDHHC8;CIDEB;APOM;APOA4;SOAT2
crispr	go_bp	GOBP_SPINDLE_ASSEMBLY	-1.0009267381950884	0.450402144772118	0.7644835737868131	126	30	CHMP5;AAAS;CHMP2B;OFD1;MYBL2;CHMP7;TUBGCP4;TUBB;CHMP6;KPNB1;TUBGCP6;SPAG5;NDC80;HAUS3;POLDIP2;CLASP2;PRC1;CEP192;AURKB;CHEK2;KIF23;HSPA1A;DRG1;NUMA1;RPS3;SASS6;SENP6;HAUS4;TUBGCP3;RACGAP1
crispr	go_bp	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	1.0005794085076334	0.4227504244482173	0.7461270478248407	33	10	KLF4;ALOX12;GRHL3;CLDN4;TMEM79;FLG;IL18;HRNR;STMN1;FLG2
crispr	go_bp	GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS	-1.0001463600498106	0.44715447154471544	0.762091550077527	123	40	GCLC;CCDC22;PSMC3;PTK2;PSMC4;GSK3B;CSNK1E;AXIN1;GSK3A;HECTD1;RCHY1;SMURF1;ZYG11B;MDM2;BCAP31;RNF185;HSPA1A;NFE2L2;VCP;WFS1;SUMO1;CDK5RAP3;CSNK1A1;ZFAND2A;TMX1;PYHIN1;TGFB1I1;UBQLN2;TRIB2;RNFT1;IKBKG;KEAP1;CTSC;DAB2;PSMC6;USP5;HSPA1B;TMTC3;DNAJB2;PSMC5
crispr	go_bp	GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-0.9998802200706235	0.44155844155844154	0.7603353445975607	59	15	HRC;VMP1;JPH2;FKBP1A;STAC2;SLN;CALM3;STIM1;HTT;STAC3;HAP1;CALM1;SRI;CALML3;CRHR1
crispr	go_bp	GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	0.9997041441071591	0.45685279187817257	0.7691999292494546	28	10	WIPI2;PHKA1;PPP1R3D;ATG12;PYGB;WDR45B;CHIA;GABARAPL1;STBD1;ADCY10
crispr	go_bp	GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.9994238322558706	0.445578231292517	0.762091550077527	31	7	BIRC2;LRCH4;YWHAE;GDI1;CACTIN;GPS2;SMPDL3B
crispr	go_bp	GOBP_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	-0.9992486421638159	0.45866666666666667	0.7702182780438127	86	21	ENTPD5;NT5C3A;NME2;CPS1;CMPK1;THTPA;UPB1;UMPS;SLC19A3;DPYSL2;NME3;TYMS;NME1;NME5;UPRT;MTOR;TYMP;RRM1;MAPK1;UPP2;APOBEC3G
crispr	go_bp	GOBP_CALCIUM_ION_HOMEOSTASIS	0.9990599809638336	0.4623188405797101	0.7724893086243763	315	91	SLC30A1;PML;FASLG;TRPC1;ABL1;SV2B;CCR5;TNNI3;TMEM203;ATP2B2;GRIA1;DRD1;CACNB2;PTPRC;YWHAE;BOK;CCL19;ZNHIT1;DRD2;CASQ2;EDN3;F2R;ATP7B;GRINA;TRPC4;FAM20A;TMBIM6;PDZD8;CAPN3;PLCB4;ATP13A2;ATP1A2;TGFB1;TRPV6;APOE;DRD4;BCL2;DIAPH1;SLC10A7;DISC1;CHRNA7;MCU;PLCH1;CXCL9;ATG5;ALPL;RMDN3;SCGN;PLN;VPS54;GRM1;DMPK;JPH1;RYR3;EDN1;CCL21;TCIRG1;GRM5;CD40;CX3CL1;ELANE;NPPC;APLNR;SLC24A2;CCR2;ATP2B3;ATP6V1B1;TRPC6;MICU3;GP9;JSRP1;KDR;ITPR2;CAV3;ANXA6;MICU1;TRPC5;CAV2;P2RY6;FGFR1;XCR1;ATP2C2;STC1;PSEN2;CALCA;BDKRB1;GPR12;SLC8A1;HTR2B;ERC2;CACNA1C
crispr	go_bp	GOBP_T_HELPER_17_CELL_LINEAGE_COMMITMENT	0.9990116524292428	0.4791666666666667	0.7799735991276233	19	5	BRD2;IL6;IL12RB1;IL12B;JAK1
crispr	go_bp	GOBP_MEMBRANE_INVAGINATION	0.9986756318430843	0.4206219312602291	0.7460371920675221	65	20	ARHGAP12;CHMP4A;BIN2;FNBP1L;MEGF10;F2RL1;ABCA1;VAMP7;GATA2;TIMD4;GULP1;FCGR2B;ELMO1;CLCN2;XKR4;C3;SH3BP1;CLCN3;ANO6;HGS
crispr	go_bp	GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	-0.9986749939081584	0.467005076142132	0.7754820609144297	55	10	CSNK1E;TNF;LYN;GSK3A;APH1B;FKBP1A;GGA3;ABCG1;PICALM;IFNGR1
crispr	go_bp	GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	0.9985606558756953	0.4605873261205564	0.7705990482840614	147	30	NF1;PTPN3;ERRFI1;ALDH1A2;MAN2A1;E2F8;UGT1A1;ASS1;LIPA;SMAD3;IL6;PHF2;HGF;SOX17;NPHP3;CSNK2A2;GATA6;CPT1A;TGFB1;NOTCH1;SRD5A1;EZH2;WNT3A;CDKN2B;TGFBR3;HNRNPD;FBXW7;CD2AP;ONECUT2;SERPINA10
crispr	go_bp	GOBP_VENTRICULAR_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS	0.9984778425888842	0.4473684210526316	0.762091550077527	47	11	TNNI1;DLL4;TNNI3;RBPJ;DSP;TGFBR1;TNNC1;TGFB1;NOTCH1;HAND1;TGFBR3
crispr	go_bp	GOBP_NAD_METABOLIC_PROCESS	-0.9982906463876577	0.44642857142857145	0.762091550077527	62	10	MDH2;ENO1;SARM1;AFMID;PFKM;NNMT;HAAO;FOXK1;PGAM2;PARP16
