collection	pathway	resistance_consensus_class	resistance_median_NES	resistance_datasets_FDR05	gse245601_NES	gse245601_fdr	crispr_NES	crispr_fdr	candidates_connected	convergence_category
go_bp	GOBP_MACROMOLECULE_METHYLATION	LOW_EVIDENCE	-0.7306486648985073	0	-1.5314879991188033	0.0421278051054322	-1.2205500192866388	0.4629797865091983		ACUTE_RESPONSE
go_bp	GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	LOW_EVIDENCE	0.8362317968123398	0	1.8862112160214024	0.0119465544174139	1.6691533185238816	0.0853259699129452		ACUTE_RESPONSE
go_bp	GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	LOW_EVIDENCE	-0.9732543249073514	0	-1.828915209562356	0.0421278051054322	-1.472066470774719	0.4124878048780488		ACUTE_RESPONSE
go_bp	GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	LOW_EVIDENCE	1.28355805484605	0	2.492345844051993	2.2698421414357272e-08	1.2388678461468026	0.5453819806841401		ACUTE_RESPONSE
go_bp	GOBP_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS	LOW_EVIDENCE	1.2586050946006675	0	2.1320885830733274	0.000510854730948	-1.093368715886168	0.6952239617658852		ACUTE_RESPONSE
reactome	REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	LOW_EVIDENCE	0.8317960801928564	0	1.7378345014360257	0.0090938425483837	-1.189444275306524	0.4042006928977976		ACUTE_RESPONSE
go_bp	GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	LOW_EVIDENCE	1.19815051269505	0	2.125971811618345	0.0004085484026395	0.5510903382057818	0.9834468425658732		ACUTE_RESPONSE
go_bp	GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS	LOW_EVIDENCE	1.036329451444039	0	2.132244904352336	0.0009703619202778	-1.286004405952867	0.5124534769833495		ACUTE_RESPONSE
go_bp	GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS	LOW_EVIDENCE	1.1046104691704657	0	2.0753718285462446	0.0015790028071538	0.6659287559599183	0.9634881247784476		ACUTE_RESPONSE
go_bp	GOBP_DNA_RECOMBINATION	LOW_EVIDENCE	-0.9801199052627494	0	-1.6781713863845835	0.0002535684045486	-1.390951788186653	0.0683928587623366		ACUTE_RESPONSE
go_bp	GOBP_ORGANELLE_DISASSEMBLY	LOW_EVIDENCE	1.1612210483380982	0	1.7637830873657496	0.0012070549644142	1.050299833267142	0.7056714752819637		ACUTE_RESPONSE
go_bp	GOBP_ER_NUCLEUS_SIGNALING_PATHWAY	LOW_EVIDENCE	0.944413247146538	0	2.155648817694773	0.0002830617620656	1.0889307122530845	0.6947615964009406		ACUTE_RESPONSE
go_bp	GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	LOW_EVIDENCE	1.0668345957740937	0	1.579026602480727	0.0001918192988422				ACUTE_RESPONSE
go_bp	GOBP_GOLGI_VESICLE_TRANSPORT	LOW_EVIDENCE	0.982075452405974	0	2.139590682483984	5.638171695109607e-10	1.0255448405228875	0.7300021407164264		ACUTE_RESPONSE
go_bp	GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	LOW_EVIDENCE	1.1810126824630656	0	-1.6853050011629245	0.020967289899871	-1.1176828726153167	0.6823714033125146		ACUTE_RESPONSE
go_bp	GOBP_PROTEIN_LOCALIZATION_TO_CELL_CELL_JUNCTION	LOW_EVIDENCE	0.9347795514574412	0	-1.923860660779847	0.0091061138731344	1.1773493359973282	0.6320964739407902		ACUTE_RESPONSE
go_bp	GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	LOW_EVIDENCE	1.0093653644382088	0	-1.8502313664039176	0.002552867110473	-1.1001326651807093	0.645654748975174		ACUTE_RESPONSE
go_bp	GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS	LOW_EVIDENCE	1.1250979939654344	0	1.6559866267459495	0.0031090884270021	0.984155228067038	0.7878260869565218		ACUTE_RESPONSE
go_bp	GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	LOW_EVIDENCE	0.9665288658040372	0	2.29554276375582	1.3136910579049768e-05	0.8698366932758624	0.8726588264891552		ACUTE_RESPONSE
go_bp	GOBP_RESPONSE_TO_TOXIC_SUBSTANCE	LOW_EVIDENCE	1.1803488239559408	0	1.5791552639819504	0.0063229238062133	0.9927703683631456	0.7774116125502095		ACUTE_RESPONSE
go_bp	GOBP_COPII_COATED_VESICLE_CARGO_LOADING	LOW_EVIDENCE	0.9936784907404344	0	2.1710156700858976	0.0003852827673755	1.7096974600290469	0.1267858399799611		ACUTE_RESPONSE
hallmark	HALLMARK_MITOTIC_SPINDLE	LOW_EVIDENCE	1.0055753468710773	0	-1.51059094417094	0.0056868353962313	1.241754789385323	0.1849512811259473		ACUTE_RESPONSE
go_bp	GOBP_VACUOLAR_TRANSPORT	LOW_EVIDENCE	0.9534515949802704	0	1.7678419780087182	0.0014040916953045	0.894103252228773	0.8816584240942431		ACUTE_RESPONSE
reactome	REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	LOW_EVIDENCE	1.0797195492393683	0	2.1244883328523194	3.761471377233436e-08	1.05857874577626	0.5638098457378158		ACUTE_RESPONSE
go_bp	GOBP_MAMMARY_GLAND_DUCT_MORPHOGENESIS	LOW_EVIDENCE	1.1548662362985402	0	-1.7239876090355557	0.0421278051054322	0.790845388106421	0.9008738156617228		ACUTE_RESPONSE
go_bp	GOBP_XENOBIOTIC_METABOLIC_PROCESS	LOW_EVIDENCE	-1.1050291237191336	0	-1.671098673339255	0.0171759212118801	0.7551198530878872	0.9690546615553824		ACUTE_RESPONSE
go_bp	GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	LOW_EVIDENCE	-1.2082771317127348	0	1.4122527606012285	0.0087463707988886				ACUTE_RESPONSE
go_bp	GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	LOW_EVIDENCE	1.084220108507176	0	1.5268358490748426	0.0092513623609099	1.0248615927699312	0.7342638451148132		ACUTE_RESPONSE
go_bp	GOBP_REGULATION_OF_AUTOPHAGOSOME_MATURATION	LOW_EVIDENCE	-0.7128057668656095	0	1.817334819663453	0.024146454494094	1.7697908307864942	0.1024907623528303		ACUTE_RESPONSE
