gene	relationship_to_candidate	network_role	CRISPR_support	RNA_resistance_support	human_support	pathway	reason_for_interest
MSX1	resistance_pathway_driver_not_candidate_connected	peripheral_connected_node	nonsignificant_sensitising_direction	consistent_up_(1/3_significant)	True	go_bp:GOBP_BODY_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	leading-edge in 41 STRONG_CONSENSUS resistance pathways
PCGF2	direct_network_neighbor_of_CITED2	peripheral_connected_node	nonsignificant_sensitising_direction	consistent_up_(1/3_significant)	False	go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT;go_bp:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	direct curated network connection to CITED2; leading-edge in 8 STRONG_CONSENSUS resistance pathways
PPARG	direct_network_neighbor_of_CITED2	peripheral_connected_node	nonsignificant_sensitising_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_CIRCULATORY_SYSTEM_PROCESS	direct curated network connection to CITED2; leading-edge in 53 STRONG_CONSENSUS resistance pathways
RPS27A	direct_network_neighbor_of_USP34	bridge_gene_high_betweenness	nonsignificant_sensitising_direction	no_significant_resistance_dataset	False	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	direct curated network connection to USP34; high network betweenness (top decile) -- potential bridge between modules
SIX2	resistance_pathway_driver_not_candidate_connected	peripheral_connected_node	nonsignificant_tolerance_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CHONDROCYTE_DIFFERENTIATION;go_bp:GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	leading-edge in 39 STRONG_CONSENSUS resistance pathways
SMAD3	direct_network_neighbor_of_CITED2	high_degree_hub	nonsignificant_tolerance_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARTILAGE_DEVELOPMENT	direct curated network connection to CITED2; leading-edge in 93 STRONG_CONSENSUS resistance pathways
SMG1	direct_network_neighbor_of_USP34	peripheral_connected_node	nonsignificant_sensitising_direction	no_significant_resistance_dataset	False		direct curated network connection to USP34
SRC	resistance_pathway_driver_not_candidate_connected	bridge_gene_high_betweenness	nonsignificant_sensitising_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	leading-edge in 65 STRONG_CONSENSUS resistance pathways; high network betweenness (top decile) -- potential bridge between modules
TFAP2A	direct_network_neighbor_of_CITED2	peripheral_connected_node	nonsignificant_tolerance_direction	no_significant_resistance_dataset	False	go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_EAR_DEVELOPMENT	direct curated network connection to CITED2; leading-edge in 26 STRONG_CONSENSUS resistance pathways
TFAP2B	direct_network_neighbor_of_CITED2	peripheral_connected_node	nonsignificant_tolerance_direction	no_significant_resistance_dataset	False		direct curated network connection to CITED2
