sample_id	patient	condition	pc	coordinate	variance_explained_fraction
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC1	-35.93721945538876	0.27643095563226966
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC2	-10.616646359242921	0.18404212207352638
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC3	-40.399649136979164	0.09843742107928984
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC4	21.06711299432247	0.0858769334995349
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC5	-14.530952228078991	0.07149985330585715
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC6	-15.818898645084248	0.06911430523598003
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC7	-15.565748310320318	0.058768003021911853
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC8	19.148262685521416	0.04432286151058951
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC9	-2.184626062483625	0.040859587808006546
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC10	-1.9708204874779611	0.024747256159159507
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC11	-4.169487037804977	0.015335122261083719
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC12	1.2809486392425358	0.007874333700359039
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC13	-2.7722266719779367	0.005533073337777701
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC14	0.6748242879767572	0.0041645278676772195
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC15	-3.5809877956437584	0.0037752758488097653
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC16	-10.063780094578464	0.002879275290069296
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC17	-2.9004126141623323	0.002495059927684848
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC18	-2.197513727064186	0.002097843106014032
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC19	-0.5014641063142129	0.0017461893343989024
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC20	4.1622267783227295e-14	3.5201964713285813e-31
Tumor_03_Control	Tumor_03	Control	PC1	-20.625624020813923	0.27643095563226966
Tumor_03_Control	Tumor_03	Control	PC2	-9.229563188191554	0.18404212207352638
Tumor_03_Control	Tumor_03	Control	PC3	28.029786797554483	0.09843742107928984
Tumor_03_Control	Tumor_03	Control	PC4	-29.002540325904267	0.0858769334995349
Tumor_03_Control	Tumor_03	Control	PC5	-17.150616653750202	0.07149985330585715
Tumor_03_Control	Tumor_03	Control	PC6	0.25347476678941194	0.06911430523598003
Tumor_03_Control	Tumor_03	Control	PC7	19.73862050336777	0.058768003021911853
Tumor_03_Control	Tumor_03	Control	PC8	23.684979624334	0.04432286151058951
Tumor_03_Control	Tumor_03	Control	PC9	-6.423914183395192	0.040859587808006546
Tumor_03_Control	Tumor_03	Control	PC10	-5.6149586074716895	0.024747256159159507
Tumor_03_Control	Tumor_03	Control	PC11	1.3447277590276079	0.015335122261083719
Tumor_03_Control	Tumor_03	Control	PC12	-1.4012468043971942	0.007874333700359039
Tumor_03_Control	Tumor_03	Control	PC13	8.641636412287632	0.005533073337777701
Tumor_03_Control	Tumor_03	Control	PC14	-0.12321014763712523	0.0041645278676772195
Tumor_03_Control	Tumor_03	Control	PC15	-9.691318357970662	0.0037752758488097653
Tumor_03_Control	Tumor_03	Control	PC16	-0.10771641016945879	0.002879275290069296
Tumor_03_Control	Tumor_03	Control	PC17	-1.0877454477710233	0.002495059927684848
Tumor_03_Control	Tumor_03	Control	PC18	4.0752535004736155	0.002097843106014032
Tumor_03_Control	Tumor_03	Control	PC19	1.2551212782721797	0.0017461893343989024
Tumor_03_Control	Tumor_03	Control	PC20	4.1622267783227346e-14	3.5201964713285813e-31
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC1	-23.033246047812625	0.27643095563226966
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC2	-9.695236719830493	0.18404212207352638
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC3	21.491168145293013	0.09843742107928984
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC4	-29.016578058078874	0.0858769334995349
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC5	-18.63567701045687	0.07149985330585715
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC6	2.005551478783575	0.06911430523598003
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC7	20.39977896680375	0.058768003021911853
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC8	22.847151605833062	0.04432286151058951
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC9	-3.84876150965204	0.040859587808006546
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC10	-7.220528771012101	0.024747256159159507
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC11	-2.9370040909945483	0.015335122261083719
