sample_id	group	n_contributing_cells	total_library_size	n_detected_genes
PT1	PT	1029	42839452	23108
PT2	PT	1975	65262261	23705
PT3	PT	1442	58695883	25049
RT1	RT	2721	61636905	22587
RT2	RT	2597	63135166	22354
RT3	RT	178	1140864	16177
