sample_id	group	n_cells	pct_expressing	mean_expression	median_expression
PT1	PT	1029	95.43245869776482	0.7262318052354455	0.72701221116185
PT2	PT	1975	91.39240506329114	0.6837669206181888	0.682458732054327
PT3	PT	1442	96.46324549237171	0.8189061967665819	0.808541822153325
RT1	RT	2721	86.03454612274899	0.7353247767984924	0.741126367719292
RT2	RT	2597	84.59761262995764	0.6634864661219348	0.660386982769797
RT3	RT	178	61.79775280898876	0.8847637717140996	0.9703410970656774
