tumor	control_n_compared	tamoxifen_n_compared	control_infercnv_malignant_pct	tamoxifen_infercnv_malignant_pct	infercnv_malignant_pct_diff_tam_minus_control	control_copykat_aneuploid_pct	tamoxifen_copykat_aneuploid_pct	copykat_aneuploid_pct_diff_tam_minus_control	control_agreement_pct	tamoxifen_agreement_pct
Tumor_01	3334	2774	0.029994001199760048	0.07209805335255948	0.04210405215279943	99.01019796040792	0.0	-99.01019796040792	1.0197960407918416	99.92790194664744
Tumor_02	355	325	37.74647887323944	56.30769230769231	18.561213434452867	46.478873239436616	62.15384615384615	15.674972914409537	86.7605633802817	94.15384615384616
Tumor_03	513	1105	53.801169590643276	52.66968325791855	-1.1314863327247267	63.74269005847953	55.56561085972851	-8.177079198751024	77.58284600389864	87.6923076923077
Tumor_04	151	70	0.0	1.4285714285714286	1.4285714285714286	100.0	100.0	0.0	0.0	1.4285714285714286
Tumor_05	2565	2795	0.8576998050682261	0.4293381037567084	-0.4283617013115177	32.358674463937625	26.547406082289804	-5.811268381647821	68.34307992202729	73.16636851520572
Tumor_06	4533	3422	0.1985440105890139	0.5552308591466978	0.3566868485576839	52.45973968674167	77.41087083576856	24.951131149026892	47.650562541363335	23.08591466978375
Tumor_07	360	446	22.22222222222222	32.73542600896861	10.513203786746388	76.94444444444444	83.6322869955157	6.687842551071256	45.27777777777778	48.20627802690583
Tumor_08	906	984	1.8763796909492274	2.540650406504065	0.6642707155548375	97.13024282560707	29.878048780487806	-67.25219404511927	4.746136865342163	69.20731707317073
Tumor_09	1853	1988	2.536427415002698	5.985915492957746	3.449488077955048	38.69400971397734	36.21730382293762	-2.476705891039714	63.84241770102536	69.76861167002012
Tumor_10	416	278	14.663461538461538	0.7194244604316546	-13.944037078029883	37.01923076923077	7.913669064748201	-29.105561704482565	75.72115384615384	91.36690647482014
