gene	n_guides	effect_size	se	t_moderated	p_value	fdr	observed_direction	sign_interpretation
PIK3CA	4	-0.5452936626423055	0.39859669468778197	-1.3680335785760347	0.1877273266549656	0.7949205310828557	depleted_under_4OHT	sensitizes (knockout needed for tamoxifen tolerance)
AKT1	4	0.43336315140092463	0.26706764231393915	1.622671873111099	0.12161609421362547	0.7667433160933622	enriched_under_4OHT	growth_advantage (knockout confers advantage under tamoxifen)
ESR1	4	-0.6020766608539798	0.58285134442505	-1.0329849396639799	0.314957216425947	0.8432554597596167	depleted_under_4OHT	sensitizes (knockout needed for tamoxifen tolerance)
MAP2K1	4	-0.05474193266326388	0.4594282360289026	-0.11915230360334246	0.9064420000320305	0.9875870615332053	depleted_under_4OHT	sensitizes (knockout needed for tamoxifen tolerance)
ERBB2	4	-0.2668258270894617	0.4010107477832104	-0.665383231158956	0.5140351178329928	0.9069837166072833	depleted_under_4OHT	sensitizes (knockout needed for tamoxifen tolerance)
RB1	4	0.10524526262481082	0.2886381269164121	0.3646270288307727	0.7195340656670395	0.9557352064638819	enriched_under_4OHT	growth_advantage (knockout confers advantage under tamoxifen)
TP53	4	0.462313385551977	0.3841095467175226	1.2035977483578821	0.24395552101941492	0.8121550190740409	enriched_under_4OHT	growth_advantage (knockout confers advantage under tamoxifen)
