sample_id	group	pc	coordinate	variance_explained_fraction
MCF7_Rep1	MCF7	PC1	-20.923424868614966	0.5976994827508031
MCF7_Rep1	MCF7	PC2	42.671456618908124	0.28761068258944406
MCF7_Rep1	MCF7	PC3	-4.835941550207871	0.033979452128401005
MCF7_Rep1	MCF7	PC4	13.948703868017821	0.022329293582224186
MCF7_Rep1	MCF7	PC5	1.4391345897808732	0.02053512616920935
MCF7_Rep1	MCF7	PC6	12.13238561846768	0.01633551296697698
MCF7_Rep1	MCF7	PC7	-0.6052978405566507	0.012101749383683717
MCF7_Rep1	MCF7	PC8	3.4375263171137953	0.009408700429257668
MCF7_Rep1	MCF7	PC9	1.85997589140196e-14	1.0302696467123946e-31
MCF7_Rep2	MCF7	PC1	-21.826869920636245	0.5976994827508031
MCF7_Rep2	MCF7	PC2	39.94921056700009	0.28761068258944406
MCF7_Rep2	MCF7	PC3	1.3306601439459795	0.033979452128401005
MCF7_Rep2	MCF7	PC4	-1.7495106131600187	0.022329293582224186
MCF7_Rep2	MCF7	PC5	9.452381140387459	0.02053512616920935
MCF7_Rep2	MCF7	PC6	-8.408717600559036	0.01633551296697698
MCF7_Rep2	MCF7	PC7	8.169545594810183	0.012101749383683717
MCF7_Rep2	MCF7	PC8	-7.596503499484185	0.009408700429257668
MCF7_Rep2	MCF7	PC9	1.8599758914019548e-14	1.0302696467123946e-31
MCF7_Rep3	MCF7	PC1	-20.053002483414755	0.5976994827508031
MCF7_Rep3	MCF7	PC2	41.63778714462552	0.28761068258944406
MCF7_Rep3	MCF7	PC3	3.8092188045362505	0.033979452128401005
MCF7_Rep3	MCF7	PC4	-11.233650716091846	0.022329293582224186
MCF7_Rep3	MCF7	PC5	-11.379350618205297	0.02053512616920935
MCF7_Rep3	MCF7	PC6	-4.983510445924466	0.01633551296697698
MCF7_Rep3	MCF7	PC7	-7.451112171003815	0.012101749383683717
MCF7_Rep3	MCF7	PC8	3.9637340727698858	0.009408700429257668
MCF7_Rep3	MCF7	PC9	1.8599758914019576e-14	1.0302696467123946e-31
TAMR_Rep1	TAMR	PC1	-44.07999594827469	0.5976994827508031
TAMR_Rep1	TAMR	PC2	-37.325352368339374	0.28761068258944406
TAMR_Rep1	TAMR	PC3	-5.769621340849136	0.033979452128401005
TAMR_Rep1	TAMR	PC4	13.21441161211274	0.022329293582224186
TAMR_Rep1	TAMR	PC5	-3.1436221187736026	0.02053512616920935
