dataset	dataset_key	alpha_name	alpha	n_candidates_tested	n_candidates_not_tested	median_mde80	min_mde80	max_mde80	n_observed_below_mde80	n_sensitive_to_observed_magnitude	post_freeze_exploratory
GSE111151	gse111151	bonferroni_13	0.0038461538461538464	12	1	0.9376776146082235	0.6347592255876077	1.1971464281665154	12	0	True
GSE118713	gse118713	bonferroni_13	0.0038461538461538464	12	1	0.7787048407958306	0.6312342327313344	1.1908744094363088	12	0	True
GSE240112	gse240112	bonferroni_13	0.0038461538461538464	12	1	1.5554363029250293	1.1942432635913771	2.2539293056100687	12	0	True
GSE111151	gse111151	nominal_0.05	0.05	12	1	0.6269175349091616	0.4243907300198003	0.8003928634303226	12	0	True
GSE118713	gse118713	nominal_0.05	0.05	12	1	0.5135663023219472	0.4163074554301635	0.7853976692192354	11	1	True
GSE240112	gse240112	nominal_0.05	0.05	12	1	1.0068680599491626	0.7730805111436948	1.4590582624847448	11	1	True
GSE111151	gse111151	observed_bh_threshold	7.52279464143052e-05	12	1	1.47954410106427	1.0015748057766725	1.8889626774614925	12	0	True
GSE118713	gse118713	observed_bh_threshold	0.01512778116206	12	1	0.6352915281689588	0.514980438451158	0.9715522285795214	11	1	True
GSE240112	gse240112	observed_bh_threshold	0.0144284705853847	12	1	1.2657843012186816	0.9718664012252752	1.834232084365288	12	0	True
