gene	condition	n_patients_compared	n_patients_malignant_higher	n_patients_nonmalignant_higher	median_malignant_minus_nonmalignant	reliable_patients_only_median
USP34	Control	9	4	5	-0.029484099103944672	-0.18444187447016436
USP34	Tamoxifen	10	5	5	-0.06828252030442705	-0.14782380553713903
VEZF1	Control	9	5	4	0.016943072209144816	0.016943072209144816
VEZF1	Tamoxifen	10	6	4	0.15186676649215913	-0.008906463310363932
EML5	Control	9	0	8	-0.39192224151016575	-0.4097677613645379
EML5	Tamoxifen	10	2	8	-0.2644246785496408	-0.24718161463154065
CITED2	Control	9	3	6	-0.1911154424199939	-0.5181056449549759
CITED2	Tamoxifen	10	4	6	-0.4694262023484872	-0.8749106605926018
