gene	feature_count_in_object	total_epithelial_cells	n_cells_detectable	pct_expressing_all_epithelial	n_malignant_cells	n_expressing_malignant	pct_expressing_malignant	n_nonmalignant_cells	n_expressing_nonmalignant	pct_expressing_nonmalignant
USP34	1	29175	18422	63.143101970865466	1739	1409	81.02357676825761	27436	17013	62.00976818778248
VEZF1	1	29175	16770	57.48071979434447	1739	1281	73.66302472685452	27436	15489	56.45502259804636
EML5	1	29175	289	0.9905741216795202	1739	28	1.6101207590569293	27436	261	0.9513048549351217
CITED2	1	29175	9391	32.188517566409594	1739	825	47.441058079355955	27436	8566	31.221752442046945
