gene	gene_id	tested	reason_not_tested	log2fc	avg_log_cpm	p_value	genomewide_fdr	candidate_set_bh_fdr	direction
USP34	ENSG00000115464	True		0.161522475648414	7.89646732238949	0.213154321288622	0.632236473760328	0.9355478495354091	up_in_resistant
CTDNEP1	ENSG00000175826	True		-0.0440235942969099	3.00848779700273	0.802268756238586	0.946275269708185	0.9355478495354091	down_in_resistant
EIF4ENIF1	ENSG00000184708	True		-0.128950200396878	4.1433412528424	0.321816876485056	0.72170580070892	0.9355478495354091	down_in_resistant
HMGB1	ENSG00000189403	True		-0.130515412318803	7.55732233799884	0.453830618697012	0.80271652586053	0.9355478495354091	down_in_resistant
KDM1A	ENSG00000004487	True		0.0713993613378379	5.85799984893404	0.68504690338252	0.905930650706976	0.9355478495354091	up_in_resistant
PET117	ENSG00000232838	True		0.0180744802898094	3.25911638092373	0.935547849535409	0.982753570306189	0.9355478495354091	up_in_resistant
TADA2B	ENSG00000173011	True		0.0560617398417958	3.54502988282996	0.728647978515586	0.922008042963833	0.9355478495354091	up_in_resistant
VEZF1	ENSG00000136451	True		-0.238235372712826	6.3797686877363	0.187611288174084	0.607594477564463	0.9355478495354091	down_in_resistant
TLK2	ENSG00000146872	True		0.0727893622757189	6.20229559154226	0.529634514645246	0.839733945674166	0.9355478495354091	up_in_resistant
ICK	ENSG00000112144	True		-0.168093978284892	5.14723134929012	0.287875096072109	0.697681709271967	0.9355478495354091	down_in_resistant
SUPT4H1	ENSG00000213246	True		0.0183645827810597	5.75078343163833	0.916047683397903	0.977955507540752	0.9355478495354091	up_in_resistant
TSR3	ENSG00000007520	True		0.0940236720029586	3.59358117159085	0.631744768066856	0.883155989074822	0.9355478495354091	up_in_resistant
USP17L29	ENSG00000231637	False	filtered out by edgeR filterByExpr (too lowly expressed to test)						not_tested
