sample_id_1	sample_id_2	correlation
MCF-7	MCF-7	1.0
MCF-7_Tam1	MCF-7	0.9268749196821549
T-47D	MCF-7	0.878658700273318
T-47D_Tam1	MCF-7	0.8692239502670701
T-47D_Tam2	MCF-7	0.8683662521029633
ZR-75-1	MCF-7	0.8662948727006338
ZR-75-1_Tam1	MCF-7	0.8708966704426875
ZR-75-1_Tam2	MCF-7	0.8668952410208746
BT-474	MCF-7	0.8671868157041543
BT-474_Tam1	MCF-7	0.8673453922082388
BT-474_Tam2	MCF-7	0.8597071847180818
MCF-7	MCF-7_Tam1	0.9268749196821549
MCF-7_Tam1	MCF-7_Tam1	1.0
T-47D	MCF-7_Tam1	0.8709907201760645
T-47D_Tam1	MCF-7_Tam1	0.8681178486260087
T-47D_Tam2	MCF-7_Tam1	0.8671784342362229
ZR-75-1	MCF-7_Tam1	0.8631172658496389
ZR-75-1_Tam1	MCF-7_Tam1	0.8645345698655796
ZR-75-1_Tam2	MCF-7_Tam1	0.8637194514249048
BT-474	MCF-7_Tam1	0.867516834567231
BT-474_Tam1	MCF-7_Tam1	0.8672146872705407
BT-474_Tam2	MCF-7_Tam1	0.8614562853627271
MCF-7	T-47D	0.878658700273318
MCF-7_Tam1	T-47D	0.8709907201760645
T-47D	T-47D	1.0
T-47D_Tam1	T-47D	0.9229507152143462
T-47D_Tam2	T-47D	0.9246977944093168
ZR-75-1	T-47D	0.8706554015737933
ZR-75-1_Tam1	T-47D	0.8686410150834074
ZR-75-1_Tam2	T-47D	0.8723530437998498
BT-474	T-47D	0.862268612741791
BT-474_Tam1	T-47D	0.8582730277583438
BT-474_Tam2	T-47D	0.8517033689061068
MCF-7	T-47D_Tam1	0.8692239502670701
MCF-7_Tam1	T-47D_Tam1	0.8681178486260087
T-47D	T-47D_Tam1	0.9229507152143462
T-47D_Tam1	T-47D_Tam1	1.0
T-47D_Tam2	T-47D_Tam1	0.9317168232307319
ZR-75-1	T-47D_Tam1	0.8711870851830282
ZR-75-1_Tam1	T-47D_Tam1	0.875517500481801
ZR-75-1_Tam2	T-47D_Tam1	0.8749435162744228
BT-474	T-47D_Tam1	0.85786957488249
BT-474_Tam1	T-47D_Tam1	0.8564809141126085
BT-474_Tam2	T-47D_Tam1	0.8499853379313654
MCF-7	T-47D_Tam2	0.8683662521029633
MCF-7_Tam1	T-47D_Tam2	0.8671784342362229
T-47D	T-47D_Tam2	0.9246977944093168
T-47D_Tam1	T-47D_Tam2	0.9317168232307319
T-47D_Tam2	T-47D_Tam2	1.0
ZR-75-1	T-47D_Tam2	0.8684098201055995
ZR-75-1_Tam1	T-47D_Tam2	0.8722567212895588
ZR-75-1_Tam2	T-47D_Tam2	0.8740075923466981
BT-474	T-47D_Tam2	0.8599996989333764
BT-474_Tam1	T-47D_Tam2	0.858642158072869
BT-474_Tam2	T-47D_Tam2	0.8527097279165123
MCF-7	ZR-75-1	0.8662948727006338
MCF-7_Tam1	ZR-75-1	0.8631172658496389
T-47D	ZR-75-1	0.8706554015737933
T-47D_Tam1	ZR-75-1	0.8711870851830282
T-47D_Tam2	ZR-75-1	0.8684098201055995
ZR-75-1	ZR-75-1	1.0
ZR-75-1_Tam1	ZR-75-1	0.9331951682443032
ZR-75-1_Tam2	ZR-75-1	0.9351858554226316
BT-474	ZR-75-1	0.8797330573301293
BT-474_Tam1	ZR-75-1	0.8718551643368662
BT-474_Tam2	ZR-75-1	0.8651813928189711
MCF-7	ZR-75-1_Tam1	0.8708966704426875
MCF-7_Tam1	ZR-75-1_Tam1	0.8645345698655796
T-47D	ZR-75-1_Tam1	0.8686410150834074
T-47D_Tam1	ZR-75-1_Tam1	0.875517500481801
T-47D_Tam2	ZR-75-1_Tam1	0.8722567212895588
ZR-75-1	ZR-75-1_Tam1	0.9331951682443032
ZR-75-1_Tam1	ZR-75-1_Tam1	1.0
ZR-75-1_Tam2	ZR-75-1_Tam1	0.9332645192359972
BT-474	ZR-75-1_Tam1	0.8745553520316514
BT-474_Tam1	ZR-75-1_Tam1	0.87073434494859
BT-474_Tam2	ZR-75-1_Tam1	0.8625895614823379
MCF-7	ZR-75-1_Tam2	0.8668952410208746
MCF-7_Tam1	ZR-75-1_Tam2	0.8637194514249048
T-47D	ZR-75-1_Tam2	0.8723530437998498
T-47D_Tam1	ZR-75-1_Tam2	0.8749435162744228
T-47D_Tam2	ZR-75-1_Tam2	0.8740075923466981
ZR-75-1	ZR-75-1_Tam2	0.9351858554226316
ZR-75-1_Tam1	ZR-75-1_Tam2	0.9332645192359972
ZR-75-1_Tam2	ZR-75-1_Tam2	1.0
BT-474	ZR-75-1_Tam2	0.8782138452896378
BT-474_Tam1	ZR-75-1_Tam2	0.8723306944806701
BT-474_Tam2	ZR-75-1_Tam2	0.8661773946080998
MCF-7	BT-474	0.8671868157041543
MCF-7_Tam1	BT-474	0.867516834567231
T-47D	BT-474	0.862268612741791
T-47D_Tam1	BT-474	0.85786957488249
T-47D_Tam2	BT-474	0.8599996989333764
ZR-75-1	BT-474	0.8797330573301293
ZR-75-1_Tam1	BT-474	0.8745553520316514
ZR-75-1_Tam2	BT-474	0.8782138452896378
BT-474	BT-474	1.0
BT-474_Tam1	BT-474	0.9415205617115607
BT-474_Tam2	BT-474	0.935525727234911
MCF-7	BT-474_Tam1	0.8673453922082388
MCF-7_Tam1	BT-474_Tam1	0.8672146872705407
T-47D	BT-474_Tam1	0.8582730277583438
T-47D_Tam1	BT-474_Tam1	0.8564809141126085
T-47D_Tam2	BT-474_Tam1	0.858642158072869
ZR-75-1	BT-474_Tam1	0.8718551643368662
ZR-75-1_Tam1	BT-474_Tam1	0.87073434494859
ZR-75-1_Tam2	BT-474_Tam1	0.8723306944806701
BT-474	BT-474_Tam1	0.9415205617115607
BT-474_Tam1	BT-474_Tam1	1.0
BT-474_Tam2	BT-474_Tam1	0.9413582972991669
MCF-7	BT-474_Tam2	0.8597071847180818
MCF-7_Tam1	BT-474_Tam2	0.8614562853627271
T-47D	BT-474_Tam2	0.8517033689061068
T-47D_Tam1	BT-474_Tam2	0.8499853379313654
T-47D_Tam2	BT-474_Tam2	0.8527097279165123
ZR-75-1	BT-474_Tam2	0.8651813928189711
ZR-75-1_Tam1	BT-474_Tam2	0.8625895614823379
ZR-75-1_Tam2	BT-474_Tam2	0.8661773946080998
BT-474	BT-474_Tam2	0.935525727234911
BT-474_Tam1	BT-474_Tam2	0.9413582972991669
BT-474_Tam2	BT-474_Tam2	1.0
