gene_symbol	arm	se_variant	n_datasets_in_arm	n_datasets_with_gene	n_datasets_used	datasets_used	datasets_missing_gene	datasets_unusable_se	any_dataset_pseudoreplicated	any_group_confounded_with_biobank	post_freeze_exploratory	exclusion_reason	pooled_effect	pooled_se	ci_low	ci_high	z	p_value	tau2_dl	tau2_pm	q	q_df	q_p	i2	pooled_effect_fixed	pooled_effect_pm	p_value_pm	direction_consistent	stouffer_z_equal	stouffer_p_equal	stouffer_z_units	stouffer_p_units	fdr	fdr_pm	stouffer_fdr_equal	stouffer_fdr_units
CTDNEP1	all3	wald	3	3	3	gse111151,gse118713,gse240112			True	True	True		-0.17948682290198184	0.13621941062738027	-0.44647196172691983	0.08749831592295618	-1.3176303000822467	0.18762743733334564	0.0	0.0	1.1055741393335883	2.0	0.5753440497874629	0.0	-0.17948682290198184	-0.17948682290198184	0.18762743733334564	True	-1.2352752781060585	0.21672807123073146	-0.8903621464365234	0.37327146114416443	0.6357466931625784	0.6625511430962521	0.4457319711267529	0.5844367372591182
EIF4ENIF1	all3	wald	3	3	3	gse111151,gse118713,gse240112			True	True	True		0.15184484994265224	0.2161126335232903	-0.27172812836710025	0.5754178282524047	0.7026190346539275	0.4822931969526779	0.10216606947803451	0.08424340666779148	7.5963222601191305	2.0	0.02241194664201171	73.67146980453889	0.1250591914629972	0.15107011725516784	0.45371101164617544	False	0.9655455598199794	0.33427162784399755	0.3206817561312598	0.7484515741934545	0.6647721230278074	0.6647721230278074	0.49207583686989625	0.7485405757863366
HMGB1	all3	wald	3	3	3	gse111151,gse118713,gse240112			True	True	True		-0.10095646436312358	0.1165774137025052	-0.32944399663086	0.1275310679046128	-0.8660036378981195	0.38648816680614706	0.0	0.0	0.05528471027862798	2.0	0.9727361986996621	0.0	-0.10095646436312358	-0.10095646436312358	0.38648816680614706	True	-0.9278134694567443	0.35350433586070373	-0.860298550852724	0.3896244915060788	0.6625511430962521	0.6625511430962521	0.49207583686989625	0.5844367372591182
ICK	all3	wald	3	3	3	gse111151,gse118713,gse240112			True	True	True		0.030680301035664746	0.12527908236072385	-0.21486218840758117	0.2762227904789107	0.24489563985889556	0.806537237805151	0.0062521161538783366	0.006546778105754058	2.278275967014114	2.0	0.3200948299463661	12.214322191126815	0.027892374946022997	0.030818143090564645	0.8064019636020091	False	0.35605471424672264	0.721799590471377	0.32056432580526123	0.7485405757863366	0.8293464053270698	0.8293464053270698	0.7874177350596839	0.7485405757863366
KDM1A	all3	wald	3	3	3	gse111151,gse118713,gse240112			True	True	True		0.1337751950390634	0.10854978265530481	-0.07897846949498466	0.34652885957311147	1.2323856553804517	0.21780505676607986	0.0	0.0	0.1498442486018603	2.0	0.9278157378143892	0.0	0.1337751950390634	0.1337751950390634	0.21780505676607986	True	1.2189425836413792	0.22286598556337645	1.0879608810115748	0.2766123774480791	0.6357466931625784	0.6625511430962521	0.4457319711267529	0.5555254820179025
PET117	all3	wald	3	3	3	gse111151,gse118713,gse240112			True	True	True		-0.0678515593184233	0.11196055630795419	-0.2872902173710823	0.15158709873423568	-0.6060309233529845	0.5444942189912552	0.0	0.0	0.42848010237193923	2.0	0.8071546033450575	0.0	-0.0678515593184233	-0.0678515593184233	0.5444942189912552	False	-0.6549276033194193	0.512514367098114	-0.6634715017757913	0.5070286254427276	0.6647721230278074	0.6647721230278074	0.6150172405177369	0.6760381672569702
SUPT4H1	all3	wald	3	3	3	gse111151,gse118713,gse240112			True	True	True		0.22270486552940735	0.2229640288999112	-0.21429660096236638	0.6597063320211811	0.9988376449251364	0.3178733465812892	0.09017141875612157	0.1995849238981232	5.398849143866673	2.0	0.06724419580660855	62.95506789123591	0.1207160281485842	0.267777358064496	0.36718550200836664	True	1.473386914388036	0.14064673669042108	1.773338367421504	0.07617265505605156	0.6357466931625784	0.6625511430962521	0.4457319711267529	0.30469062022420623
TADA2B	all3	wald	3	3	3	gse111151,gse118713,gse240112			True	True	True		0.070477616889574	0.11908793185541926	-0.16293044054040795	0.303885674319556	0.59181157814663	0.5539767691898395	0.0	0.0	1.105873531052625	2.0	0.5752579296114888	0.0	0.070477616889574	0.070477616889574	0.5539767691898395	True	0.8982413786372777	0.36905687765242223	1.0853588711318236	0.27776274100895126	0.6647721230278074	0.6647721230278074	0.49207583686989625	0.5555254820179025
TLK2	all3	wald	3	3	3	gse111151,gse118713,gse240112			True	True	True		0.023362885506845437	0.10839239152846196	-0.18908229808710447	0.23580806910079533	0.2155399025466723	0.8293464053270698	0.0	0.0	0.6870440234610653	2.0	0.7092678687593928	0.0	0.023362885506845437	0.023362885506845437	0.8293464053270698	False	0.1388922233332555	0.8895353162853099	0.36202115155940096	0.7173362243330805	0.8293464053270698	0.8293464053270698	0.8895353162853099	0.7485405757863366
TSR3	all3	wald	3	3	3	gse111151,gse118713,gse240112			True	True	True		-0.22876901293536614	0.19838594472885665	-0.6175983196428789	0.16006029377214667	-1.1531513144645174	0.24884828256807456	0.044473147230899554	0.03584004651292622	3.196033334901528	2.0	0.2022973432839022	37.42242991775237	-0.20734573671035858	-0.22597096957500373	0.23565552095719478	False	-1.3762998518368283	0.16872881877322066	-1.0868475668764253	0.27710418192699404	0.6357466931625784	0.6625511430962521	0.4457319711267529	0.5555254820179025
