stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000381577	9606.ENSP00000478771	USP34	UBB	9606	0.911	0	0	0	0	0.911	0	0
9606.ENSP00000381577	9606.ENSP00000388107	USP34	UBA52	9606	0.931	0	0	0	0	0.931	0	0
9606.ENSP00000381577	9606.ENSP00000441543	USP34	UBC	9606	0.964	0	0	0	0	0.964	0	0
9606.ENSP00000388107	9606.ENSP00000481029	UBA52	PSMC3	9606	0.835	0	0	0	0	0.835	0	0
9606.ENSP00000388107	9606.ENSP00000478771	UBA52	UBB	9606	0.994	0	0	0	0	0.948	0.9	0
9606.ENSP00000388107	9606.ENSP00000441543	UBA52	UBC	9606	0.996	0	0	0	0	0.969	0.9	0
9606.ENSP00000393312	9606.ENSP00000495360	FGFR1	CTNNB1	9606	0.782	0	0	0	0	0.657	0	0.392
9606.ENSP00000437360	9606.ENSP00000441543	ANAPC15	UBC	9606	0.895	0	0	0	0	0.8	0.5	0
9606.ENSP00000437360	9606.ENSP00000478771	ANAPC15	UBB	9606	0.895	0	0	0	0	0.8	0.5	0
9606.ENSP00000437360	9606.ENSP00000482063	ANAPC15	PCGF2	9606	0.9	0	0	0	0	0	0.9	0
9606.ENSP00000437955	9606.ENSP00000441543	HIF1A	UBC	9606	0.716	0	0	0	0	0.457	0.5	0
9606.ENSP00000437955	9606.ENSP00000444198	HIF1A	CITED2	9606	0.717	0	0	0	0	0	0	0.717
9606.ENSP00000437955	9606.ENSP00000495360	HIF1A	CTNNB1	9606	0.975	0	0	0	0	0.457	0	0.957
9606.ENSP00000441543	9606.ENSP00000481029	UBC	PSMC3	9606	0.908	0	0	0	0	0.908	0	0
9606.ENSP00000441543	9606.ENSP00000478771	UBC	UBB	9606	0.994	0	0	0	0	0.9	0.9	0.477
9606.ENSP00000444198	9606.ENSP00000501092	CITED2	TFAP2A	9606	0.964	0	0	0	0	0.457	0.7	0.799
9606.ENSP00000478771	9606.ENSP00000481029	UBB	PSMC3	9606	0.862	0	0	0	0	0.862	0	0
