sample_id	group	PC1	PC2	pc1_variance_explained_pct	pc2_variance_explained_pct
FASR_Rep1	FASR	59.56531665038159	-8.712235232152011	59.76994827508031	28.7610682589444
FASR_Rep2	FASR	66.73493331950023	-8.5719811743329	59.76994827508031	28.7610682589444
FASR_Rep3	FASR	60.2420483407221	-7.277866747492641	59.76994827508031	28.7610682589444
MCF7_Rep1	MCF7	-20.92342486861497	42.67145661890813	59.76994827508031	28.7610682589444
MCF7_Rep2	MCF7	-21.826869920636245	39.94921056700009	59.76994827508031	28.7610682589444
MCF7_Rep3	MCF7	-20.053002483414755	41.63778714462552	59.76994827508031	28.7610682589444
TAMR_Rep1	TAMR	-44.07999594827469	-37.325352368339374	59.76994827508031	28.7610682589444
TAMR_Rep2	TAMR	-40.09023389671267	-30.58162618515988	59.76994827508031	28.7610682589444
TAMR_Rep3	TAMR	-39.56877119295056	-31.789392623056884	59.76994827508031	28.7610682589444
