gene	n_datasets_testable	coverage_tier	max_evidence_percentile	max_percentile_dataset	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_evidence_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile
SERPINI2	2	D	0.9914754827471184	gse111151_evidence_percentile	0.4418385509370747				0.9914754827471184
LINC01519	1	E	0.9914384196286276	gse111151_evidence_percentile					0.9914384196286276
TRAV39	2	D	0.9914013565101367	gse111151_evidence_percentile		0.00020408163265306367			0.9914013565101367
GAREM1	2	D	0.9913713572475172	gse240112_evidence_percentile			0.4145298055848532	0.9913713572475172	
PRSS51	1	E	0.991364293391646	gse111151_evidence_percentile					0.991364293391646
AC087430.1	1	E	0.9912901671546644	gse111151_evidence_percentile					0.9912901671546644
TMPRSS6	2	D	0.9912160409176828	gse111151_evidence_percentile	0.14244581719191707				0.9912160409176828
RP11-710C12.1	1	E	0.9911789777991921	gse111151_evidence_percentile					0.9911789777991921
SCP2D1	1	E	0.9911527588734164	crispr_evidence_percentile	0.9911527588734164				
CTC-236F12.4	1	E	0.9911419146807012	gse111151_evidence_percentile					0.9911419146807012
LINC01362	2	D	0.9911048515622104	gse111151_evidence_percentile				0.8140771693710316	0.9911048515622104
LRRC4B	2	D	0.9911004083342059	crispr_evidence_percentile	0.9911004083342059			0.3988712215770337	
NPAP1	2	D	0.9910677884437197	gse111151_evidence_percentile	0.9757617003455136				0.9910677884437197
RP11-179B15.5	1	E	0.9909936622067381	gse111151_evidence_percentile					0.9909936622067381
SOX8	2	D	0.9909929945513177	gse245601_evidence_percentile	0.3189194848706942		0.9909929945513177		
RNU1-61P	1	E	0.9909565990882473	gse111151_evidence_percentile					0.9909565990882473
RP11-192H23.5	1	E	0.9908824728512657	gse111151_evidence_percentile					0.9908824728512657
AC002456.1	1	E	0.9908817969531858	gse245601_evidence_percentile			0.9908817969531858		
CTC-429P9.5	1	E	0.9908083466142841	gse111151_evidence_percentile					0.9908083466142841
AC021613.1	1	E	0.990774407119987	gse240112_evidence_percentile				0.990774407119987	
RP11-710F7.2	1	E	0.9907712834957934	gse111151_evidence_percentile					0.9907712834957934
LINC01603	1	E	0.9907342203773025	gse111151_evidence_percentile					0.9907342203773025
LINC02676	1	E	0.9906116025397514	gse240112_evidence_percentile				0.9906116025397514	
PDZPH1P	1	E	0.9905859679033394	gse111151_evidence_percentile					0.9905859679033394
ACTL7A	1	E	0.9905769029421003	crispr_evidence_percentile	0.9905769029421003				
OTOS	2	D	0.9905482041587902	gse245601_evidence_percentile	0.10255470631347507		0.9905482041587902		
XX-FW81066F1.2	1	E	0.9905118416663579	gse111151_evidence_percentile					0.9905118416663579
