gene	anon_id
FBXL18	Gene08358
SEC22B	Gene08359
LINC00174	Gene08360
RP11-339B21.10	Gene08361
SMKR1	Gene08362
AC006348.1	Gene08363
TMEM206	Gene08364
EPS8L1	Gene08365
FAM117B	Gene08366
SWAP70	Gene08367
LINC00460	Gene08368
RP11-117N2.2	Gene08369
TRDMT1	Gene08370
AL021328.1	Gene08371
STIMATE	Gene08372
ZNF557	Gene08373
FLJ35934	Gene08374
MUSTN1	Gene08375
C2	Gene08376
SUV39H1	Gene08377
RP4-756H11.3	Gene08378
KCNA6	Gene08379
HAND1	Gene08380
PREX1	Gene08381
RP11-932O9.9	Gene08382
AC083899.3	Gene08383
USP17L15	Gene08384
AL354707.1	Gene08385
FAM175B	Gene08386
AC004771.4	Gene08387
XBP1	Gene08388
PLXNA4	Gene08389
AC012073.1	Gene08390
BEX3	Gene08391
NT5E	Gene08392
RP5-1039K5.12	Gene08393
RNF11	Gene08394
PROC	Gene08395
AC079610.2	Gene08396
FOXP2	Gene08397
AC004223.4	Gene08398
AC126755.3	Gene08399
AL354710.2	Gene08400
GYLTL1B	Gene08401
KANSL2	Gene08402
CPSF7	Gene08403
BEND3P1	Gene08404
RP11-311D14.1	Gene08405
TBC1D12	Gene08406
SPTY2D1OS	Gene08407
SMARCC2	Gene08408
HMGB1P37	Gene08409
ZNF704	Gene08410
KIAA1841	Gene08411
FAM227B	Gene08412
AC017101.1	Gene08413
ZNF705D	Gene08414
RP11-44F14.7	Gene08415
TMPO	Gene08416
FRAT1	Gene08417
RP11-644F5.11	Gene08418
FAM26F	Gene08419
LBR	Gene08420
RNU7-111P	Gene08421
GREM2	Gene08422
FZD8	Gene08423
RP11-734B5.2	Gene08424
BNIP3P39	Gene08425
RP11-835E18.5	Gene08426
AC012065.5	Gene08427
HIST2H3A	Gene08428
RP11-182J1.17	Gene08429
PLEKHM1P	Gene08430
DCAF10	Gene08431
AC104655.1	Gene08432
RP11-83A16.1	Gene08433
RP11-642C5.1	Gene08434
HMGN2P5	Gene08435
STK11	Gene08436
KRT8P39	Gene08437
TTC9C	Gene08438
PDE1A	Gene08439
HMCES	Gene08440
AL163541.1	Gene08441
OR13F1	Gene08442
DLG5	Gene08443
JUN	Gene08444
KIAA1549	Gene08445
C2orf76	Gene08446
LINC00511	Gene08447
CYLC1	Gene08448
HOXA-AS3	Gene08449
TSC22D1-AS1	Gene08450
FAM105A	Gene08451
C8orf34	Gene08452
ZFP41	Gene08453
H3F3A	Gene08454
LINC01358	Gene08455
HOTAIR_2	Gene08456
AC114811.2	Gene08457
FBXO32	Gene08458
RP11-98D18.3	Gene08459
AC108134.4	Gene08460
HLA-Z	Gene08461
AC009299.4	Gene08462
RP11-278L15.2	Gene08463
DCAF12L2	Gene08464
RUBCNL	Gene08465
SLC25A37	Gene08466
SLC13A3	Gene08467
DAZ1	Gene08468
CTD-2012J19.1	Gene08469
TUBA3FP	Gene08470
RTF2	Gene08471
CHST4	Gene08472
RP11-876N24.5	Gene08473
LINC00612	Gene08474
AC099343.2	Gene08475
TSPY3	Gene08476
RP1-86D1.5	Gene08477
ASAP1-IT2	Gene08478
CA8	Gene08479
SLC16A12	Gene08480
RP5-1085F17.4	Gene08481
MYCBP	Gene08482
RP11-347C12.10	Gene08483
FAM181B	Gene08484
CCDC18	Gene08485
SFXN2	Gene08486
GTF2IRD2	Gene08487
ATP2C2	Gene08488
AL162386.2	Gene08489
RP11-96D1.5	Gene08490
ARSA	Gene08491
NUDT7	Gene08492
UCMA	Gene08493
ERVFRD-1	Gene08494
ATP6V1G1P4	Gene08495
VN1R5	Gene08496
IGFBP6	Gene08497
MAD2L1BP	Gene08498
AP000438.2	Gene08499
AL139393.3	Gene08500
GTF2IP23	Gene08501
RP11-173A16.1	Gene08502
AC000095.9	Gene08503
AL512603.2	Gene08504
ROCK2	Gene08505
ALB	Gene08506
RPL7	Gene08507
DLG1	Gene08508
AC063952.4	Gene08509
EMC9	Gene08510
LHX2	Gene08511
HIST2H2AA3	Gene08512
FAM180A	Gene08513
RRN3	Gene08514
FSHB	Gene08515
RP11-419C23.1	Gene08516
FAM117A	Gene08517
GBP5	Gene08518
AC073957.3	Gene08519
AC092910.3	Gene08520
RELA	Gene08521
AL137139.2	Gene08522
CTC-428G20.6	Gene08523
PRADC1	Gene08524
DKFZP434I0714	Gene08525
SYNJ2	Gene08526
MYL9	Gene08527
H1FX	Gene08528
RP11-6N17.9	Gene08529
RP3-510D11.2	Gene08530
INHBA	Gene08531
DGKB	Gene08532
SNTG2	Gene08533
RP11-387H17.4	Gene08534
KIR2DL4	Gene08535
AC105339.6	Gene08536
AC068137.13	Gene08537
RP11-384B12.3	Gene08538
RP11-209M4.1	Gene08539
LINC01232	Gene08540
RP11-547D23.1	Gene08541
RP11-139K1.2	Gene08542
DHX15	Gene08543
MST1L	Gene08544
MIRLET7BHG	Gene08545
ZGRF1	Gene08546
AL162231.1	Gene08547
CPN2	Gene08548
EPHA1	Gene08549
CCDC8	Gene08550
MAPK10	Gene08551
ZNF735	Gene08552
ITGB8	Gene08553
B3GALNT1	Gene08554
WDR19	Gene08555
CTD-3074O7.12	Gene08556
RP11-481J2.3	Gene08557
EBP	Gene08558
RP11-315I20.1	Gene08559
IFNA16	Gene08560
PIRT	Gene08561
PABPC1L	Gene08562
RP1-184J9.2	Gene08563
CSAG1	Gene08564
MATN3	Gene08565
RPS3AP29	Gene08566
AC008629.1	Gene08567
AC048382.5	Gene08568
HNRNPA1P50	Gene08569
BRK1	Gene08570
IRF3	Gene08571
RP11-701B16.2	Gene08572
CD2BP2	Gene08573
GPR78	Gene08574
AL356113.1	Gene08575
PJVK	Gene08576
MKRN2	Gene08577
MIR26B	Gene08578
SUMO2P8	Gene08579
RP11-373L24.1	Gene08580
RIMS4	Gene08581
OMD	Gene08582
SIAE	Gene08583
LONRF3	Gene08584
RP11-213G21.2	Gene08585
FER1L5	Gene08586
CTD-2561J22.5	Gene08587
LINC00339	Gene08588
ZNF343	Gene08589
AL359643.2	Gene08590
AL162718.1	Gene08591
EPPK1	Gene08592
OR2A9P	Gene08593
SLC35E1	Gene08594
LINC02663	Gene08595
LCP1	Gene08596
RP11-1252I4.2	Gene08597
AC005042.4	Gene08598
RP1-167G20.1	Gene08599
RN7SL242P	Gene08600
AGAP10	Gene08601
RP11-803P9.1	Gene08602
ZNF10	Gene08603
AC007966.1	Gene08604
C8A	Gene08605
ZNF253	Gene08606
ZIM2	Gene08607
NUP85	Gene08608
SOCS2-AS1	Gene08609
GCNT2	Gene08610
TDO2	Gene08611
EAF2	Gene08612
GSDME	Gene08613
GNS	Gene08614
MAPK11	Gene08615
RP11-480I12.9	Gene08616
PRKN	Gene08617
RN7SL314P	Gene08618
SLC35D2	Gene08619
RPLP0	Gene08620
MIR7851	Gene08621
KRTAP5-AS1	Gene08622
SORCS2	Gene08623
ZNF264	Gene08624
SCN3B	Gene08625
CCDC186	Gene08626
CTC-340A15.2	Gene08627
TRIM15	Gene08628
STS	Gene08629
RNPS1	Gene08630
AC013394.2	Gene08631
SETP14	Gene08632
RP11-333E13.4	Gene08633
HOXA11	Gene08634
LINC02672	Gene08635
RP5-827C21.6	Gene08636
NUFIP2	Gene08637
AL442071.1	Gene08638
CH17-140K24.5	Gene08639
AC240565.1	Gene08640
HSPA4	Gene08641
TNFSF8	Gene08642
AF129075.5	Gene08643
CCDC112	Gene08644
HNRNPA3P11	Gene08645
ZNF232	Gene08646
SLC25A41	Gene08647
MEF2C-AS2	Gene08648
AC025031.4	Gene08649
ABCD1	Gene08650
SLC6A16	Gene08651
CTSZ	Gene08652
FBXO3	Gene08653
TTC41P	Gene08654
NR0B1	Gene08655
TMEM42	Gene08656
ADAMTS7	Gene08657
RP11-110H1.4	Gene08658
LINC01088	Gene08659
RP11-36I17.2	Gene08660
ABHD14B	Gene08661
TAZ	Gene08662
AL049840.1	Gene08663
AC072062.1	Gene08664
CLCF1	Gene08665
ACOT6	Gene08666
RP11-479O9.4	Gene08667
LINC00657	Gene08668
EGR1	Gene08669
CYP2D7P	Gene08670
RBM48	Gene08671
AC008764.6	Gene08672
CTD-2653D5.1	Gene08673
IGDCC4	Gene08674
LHFPL3	Gene08675
RADX	Gene08676
AL035658.1	Gene08677
AC002553.4	Gene08678
KB-1254G8.1	Gene08679
RNY1P12	Gene08680
ACMSD	Gene08681
AC008735.1	Gene08682
SMARCAL1	Gene08683
AL031599.1	Gene08684
ATP6V1G2-DDX39B	Gene08685
AC019181.2	Gene08686
RP11-334E6.10	Gene08687
CYCSP24	Gene08688
PLAAT3	Gene08689
AC053503.2	Gene08690
SLC2A7	Gene08691
COL8A1	Gene08692
RP11-507K13.6	Gene08693
VPS8	Gene08694
MAATS1	Gene08695
AL365181.2	Gene08696
C19orf71	Gene08697
SLC22A11	Gene08698
FRG1JP	Gene08699
CCDC144NL-AS1	Gene08700
RP11-640I15.1	Gene08701
POU2F2	Gene08702
PRKAR2B	Gene08703
RP4-800M22.1	Gene08704
PAX4	Gene08705
CRNDE	Gene08706
FNBP1L	Gene08707
AC010320.4	Gene08708
AL136084.2	Gene08709
FBXO44	Gene08710
CCDC97	Gene08711
AC106802.1	Gene08712
LCE1D	Gene08713
AC090771.2	Gene08714
CEMIP	Gene08715
GFRA2	Gene08716
CTC-366B18.4	Gene08717
FOXN3-AS1	Gene08718
AC055713.1	Gene08719
CST1	Gene08720
RP11-104O19.4	Gene08721
SNORA27	Gene08722
MOV10	Gene08723
FOXM1	Gene08724
HTN3	Gene08725
AC068831.10	Gene08726
OR1J4	Gene08727
RSPRY1	Gene08728
TEX22	Gene08729
TOLLIP-AS1	Gene08730
FAM157C	Gene08731
REEP2	Gene08732
AC008591.1	Gene08733
ATG14	Gene08734
TMEM86B	Gene08735
TMX3	Gene08736
LINC02233	Gene08737
DNAJA1P3	Gene08738
NFKBIL1	Gene08739
CLEC7A	Gene08740
TRIM6	Gene08741
GPR1	Gene08742
RNY1P13	Gene08743
RHOT1P2	Gene08744
SNORA22	Gene08745
AC008079.2	Gene08746
LINC00998	Gene08747
MED8	Gene08748
PTPN11	Gene08749
TSTD3	Gene08750
TTC19	Gene08751
TMEM131	Gene08752
HMGA1P4	Gene08753
ZNF440	Gene08754
ECHDC2	Gene08755
AGPAT1	Gene08756
C4orf29	Gene08757
RP11-342M3.5	Gene08758
RBMXL2	Gene08759
RP11-498C9.2	Gene08760
RP11-660L16.2	Gene08761
AKR1C4	Gene08762
RP11-467H10.1	Gene08763
AL035078.1	Gene08764
AL121936.1	Gene08765
RN7SL473P	Gene08766
RRH	Gene08767
IQCJ	Gene08768
TBCE	Gene08769
OPRPN	Gene08770
DNAJC8	Gene08771
CTTN	Gene08772
C17orf80	Gene08773
ART5	Gene08774
INPPL1	Gene08775
PTTG1IP	Gene08776
BOK	Gene08777
LINC01707	Gene08778
GYPB	Gene08779
ALDH1A2	Gene08780
RP1-257A7.4	Gene08781
PCDHGA3	Gene08782
TMEM53	Gene08783
OR7E13P	Gene08784
AC144836.1	Gene08785
RPS15AP10	Gene08786
DLEU2_1	Gene08787
CHST1	Gene08788
RP11-759A24.1	Gene08789
ATF7IP	Gene08790
AP000763.3	Gene08791
PLEKHM1	Gene08792
AL139383.1	Gene08793
RP11-632C17__A.1	Gene08794
ZNF638-IT1	Gene08795
CCDC85C	Gene08796
AL049539.1	Gene08797
INTS6P1	Gene08798
BECN1	Gene08799
Z83826.1	Gene08800
CXorf36	Gene08801
TNC	Gene08802
CENPJ	Gene08803
RP11-310E22.5	Gene08804
RP11-680F8.3	Gene08805
CTD-2006C1.13	Gene08806
SBNO2	Gene08807
WDPCP	Gene08808
C8orf37	Gene08809
RP11-311C24.1	Gene08810
ALPPL2	Gene08811
HIST1H1A	Gene08812
RP11-608O8.2	Gene08813
CTD-3154N5.2	Gene08814
IGFBP4	Gene08815
PKHD1L1	Gene08816
AC139795.3	Gene08817
AC067750.1	Gene08818
PF4V1	Gene08819
EIF4A1P12	Gene08820
KLHDC1	Gene08821
PPBP	Gene08822
ICAM4	Gene08823
NEU1	Gene08824
RN7SL569P	Gene08825
HLF	Gene08826
LL09NC01-251B2.3	Gene08827
CHKA	Gene08828
SUMO3	Gene08829
RP11-529F4.1	Gene08830
GALNT9	Gene08831
SRPX2	Gene08832
BEX1	Gene08833
AC068533.3	Gene08834
DMP1	Gene08835
SPAG16	Gene08836
TYRO3	Gene08837
RP1-261D10.1	Gene08838
NIFK-AS1	Gene08839
SYPL2	Gene08840
AC011455.6	Gene08841
SNORD50B	Gene08842
RP11-498C9.12	Gene08843
PAPPA-AS1	Gene08844
HIST1H4K	Gene08845
AC239800.1	Gene08846
AC008622.2	Gene08847
AC105429.1	Gene08848
RP11-142L16.2	Gene08849
RNASE4	Gene08850
SORBS2	Gene08851
FAM129B	Gene08852
DPYS	Gene08853
GSTK1	Gene08854
FBXO31	Gene08855
NARFL	Gene08856
RP11-504P24.9	Gene08857
PRKCA-AS1	Gene08858
AC093110.3	Gene08859
FAM177A1	Gene08860
RP11-439M15.1	Gene08861
ZNF610	Gene08862
DAP3P2	Gene08863
COX16	Gene08864
PLK4	Gene08865
HIATL1	Gene08866
DHRSX	Gene08867
RP11-712P20.2	Gene08868
RP11-800A18.4	Gene08869
AP001596.1	Gene08870
AC138969.1	Gene08871
Xist_exon1	Gene08872
ZCCHC9	Gene08873
ZNF32-AS1	Gene08874
FDX1P1	Gene08875
C7orf57	Gene08876
RP11-16K12.2	Gene08877
CALM2P2	Gene08878
MORF4L2-AS1	Gene08879
ALOX12B	Gene08880
RP11-278C7.1	Gene08881
SCARB1	Gene08882
EEF1A1P6	Gene08883
CYP4F11	Gene08884
STARD3NL	Gene08885
RP11-611O2.2	Gene08886
YWHAG	Gene08887
HBQ1	Gene08888
OR4C12	Gene08889
RP11-286N22.8	Gene08890
DMAC2	Gene08891
CST4	Gene08892
FAM114A1	Gene08893
RP11-571F15.3	Gene08894
UBQLN4	Gene08895
PTGDR	Gene08896
RP11-242P2.1	Gene08897
DDX27	Gene08898
MRPL10	Gene08899
NPW	Gene08900
WTAP	Gene08901
B3GNTL1	Gene08902
AC004540.5	Gene08903
RP11-447L10.1	Gene08904
SCARNA12	Gene08905
CTC-338M12.4	Gene08906
FAR2P2	Gene08907
DAZ2	Gene08908
JUP	Gene08909
YIPF7	Gene08910
RPL23AP53	Gene08911
C17orf102	Gene08912
MED15P9	Gene08913
LINC02447	Gene08914
MGP	Gene08915
API5P2	Gene08916
AFTPH	Gene08917
BOD1L2	Gene08918
G2E3	Gene08919
AC004231.1	Gene08920
PCAT29	Gene08921
POLR2L	Gene08922
RP11-156P1.2	Gene08923
RP11-555J4.4	Gene08924
DCUN1D2-AS	Gene08925
RP11-1094M14.11	Gene08926
BRSK1	Gene08927
OARD1	Gene08928
RNU6-1053P	Gene08929
MT-TV	Gene08930
EDAR	Gene08931
AC239584.1	Gene08932
EREG	Gene08933
RP11-219A15.4	Gene08934
RNU6-1294P	Gene08935
UBTF	Gene08936
SP100	Gene08937
GPR148	Gene08938
POT1-AS1	Gene08939
RP11-650K20.2	Gene08940
KCTD2	Gene08941
RP11-33B1.1	Gene08942
CTA-363E19.2	Gene08943
RP13-36G14.3	Gene08944
NT5M	Gene08945
TFAP4	Gene08946
RP11-511B23.3	Gene08947
SLC18A3	Gene08948
AS3MT	Gene08949
AC241377.2	Gene08950
RP5-1061H20.3	Gene08951
RP11-802E16.3	Gene08952
AC118553.2	Gene08953
RP11-120J1.1	Gene08954
TM4SF1-AS1	Gene08955
AC091729.9	Gene08956
RP11-689E3.2	Gene08957
AMY1C	Gene08958
MC4R	Gene08959
OXT	Gene08960
CYP3A4	Gene08961
C17orf98	Gene08962
SLC35B2	Gene08963
NKPD1	Gene08964
MAGEE2	Gene08965
AL121897.1	Gene08966
ZNF488	Gene08967
OR52N3P	Gene08968
RN7SL566P	Gene08969
RBM10	Gene08970
CRISP1	Gene08971
LINC02477	Gene08972
SI	Gene08973
AC005537.1	Gene08974
VCY	Gene08975
RP13-16H11.8	Gene08976
STPG4	Gene08977
PRPS1	Gene08978
NANOGP7	Gene08979
ERBB2IP	Gene08980
RNASEH1	Gene08981
AC021224.1	Gene08982
DIRC3	Gene08983
RNU6-1016P	Gene08984
LINC02224	Gene08985
PAFAH1B1	Gene08986
SBK1	Gene08987
RP11-798M19.3	Gene08988
TAF9	Gene08989
AC138150.1	Gene08990
MAPK8	Gene08991
S100A5	Gene08992
THOC5	Gene08993
FAM174C	Gene08994
RP1-241P17.4	Gene08995
AC093916.1	Gene08996
IMP4	Gene08997
RP11-321C24.1	Gene08998
RAB42	Gene08999
BACH2	Gene09000
CRYBA2	Gene09001
FAM199X	Gene09002
ZNF644	Gene09003
CTB-33O18.3	Gene09004
LSM8	Gene09005
C1QTNF9	Gene09006
NLRP5	Gene09007
AC009704.2	Gene09008
AC007365.1	Gene09009
FLJ21408	Gene09010
HAUS1	Gene09011
MTRNR2L9	Gene09012
AC025048.1	Gene09013
COPB2	Gene09014
RP11-677M14.2	Gene09015
RP11-150O12.6	Gene09016
AL590062.1	Gene09017
AF111167.1	Gene09018
RP11-6N17.4	Gene09019
SNRNP48	Gene09020
KCTD13	Gene09021
HMBS	Gene09022
RP11-121A8.1	Gene09023
CTD-2369P2.5	Gene09024
CTD-2560C21.1	Gene09025
ST5	Gene09026
AC005154.6	Gene09027
RP11-360P21.2	Gene09028
RP11-139F4.2	Gene09029
RP1-40E16.11	Gene09030
IVD	Gene09031
AL359813.1	Gene09032
FRAS1	Gene09033
AIRE	Gene09034
AL592295.4	Gene09035
RP11-873E20.1	Gene09036
RP11-597D13.9	Gene09037
CTB-31N19.3	Gene09038
HAUS2	Gene09039
ELP1	Gene09040
DHX57	Gene09041
AL645568.1	Gene09042
OR4D9	Gene09043
LINC00910	Gene09044
NGRN	Gene09045
PCSK9	Gene09046
AC092636.2	Gene09047
VMAC	Gene09048
Z98884.1	Gene09049
SLC25A22	Gene09050
ALDOB	Gene09051
CTC-529I10.1	Gene09052
CFL2	Gene09053
RP11-108M9.5	Gene09054
BTN2A3P	Gene09055
ASB2	Gene09056
FDPSP3	Gene09057
COG2	Gene09058
RP11-522L3.4	Gene09059
LIPI	Gene09060
ANTXRL	Gene09061
LINC01151	Gene09062
PRRT3	Gene09063
NKAIN2	Gene09064
PYCR1	Gene09065
OR4Q3	Gene09066
HP	Gene09067
RP11-163E9.1	Gene09068
SNF8	Gene09069
LINC01524	Gene09070
RP11-15H20.7	Gene09071
LINS1	Gene09072
AP000347.4	Gene09073
OR7E91P	Gene09074
RP11-1000B6.2	Gene09075
RP11-455F5.6	Gene09076
RP11-5O17.1	Gene09077
RP11-732A21.3	Gene09078
CSNK1A1P1	Gene09079
DDX18P1	Gene09080
RACGAP1	Gene09081
BRD2	Gene09082
RP13-131K19.1	Gene09083
OXGR1	Gene09084
ISG15	Gene09085
RP11-1191J2.5	Gene09086
AC010887.1	Gene09087
TGFA	Gene09088
MIER2	Gene09089
RP5-1142A6.8	Gene09090
LTBP2	Gene09091
RPUSD2	Gene09092
ARHGAP32	Gene09093
ZNF614	Gene09094
RP11-553D4.2	Gene09095
SNX14	Gene09096
SLC9A3R1	Gene09097
PAQR6	Gene09098
KBTBD3	Gene09099
RP3-509L4.3	Gene09100
LINC01754	Gene09101
SLC35A5	Gene09102
AC024592.3	Gene09103
AC084809.2	Gene09104
PTCSC3	Gene09105
CORO6	Gene09106
PGRMC1	Gene09107
CLEC4C	Gene09108
CTC-435M10.10	Gene09109
MAPT	Gene09110
AC011997.1	Gene09111
RP11-727A23.5	Gene09112
AC022384.2	Gene09113
SMG8	Gene09114
AC024568.1	Gene09115
PSENEN	Gene09116
KBTBD8	Gene09117
AC048380.1	Gene09118
SNORD116-7	Gene09119
STAG3	Gene09120
RP11-131L12.2	Gene09121
CASC10	Gene09122
AP001208.1	Gene09123
AL096865.1	Gene09124
FANCA	Gene09125
MFSD14B	Gene09126
RP11-90P5.1	Gene09127
MRGPRX2	Gene09128
RP11-1143G9.5	Gene09129
CTD-2410N18.4	Gene09130
GLI1	Gene09131
BORA	Gene09132
AC105999.2	Gene09133
LZIC	Gene09134
SERBP1P1	Gene09135
SGPP2	Gene09136
RP11-493L12.4	Gene09137
CH25H	Gene09138
AC127496.1	Gene09139
RNU6-1003P	Gene09140
SNX33	Gene09141
AC092142.1	Gene09142
TCEB3CL2	Gene09143
RP11-552M6.1	Gene09144
CCDC182	Gene09145
CCDC169-SOHLH2	Gene09146
UGT2B10	Gene09147
RP11-579O24.3	Gene09148
AP000568.2	Gene09149
HES4	Gene09150
AP005262.2	Gene09151
RNLS	Gene09152
AL355388.2	Gene09153
APOA1-AS	Gene09154
AC108134.1	Gene09155
RP11-157B13.10	Gene09156
AC117386.2	Gene09157
RP11-755B10.4	Gene09158
MAGEA1	Gene09159
AP001468.58	Gene09160
SNRPN	Gene09161
AC007938.3	Gene09162
C6orf201	Gene09163
ITGB1	Gene09164
AC105180.2	Gene09165
ETFRF1	Gene09166
AC026740.1	Gene09167
GTF2IP12	Gene09168
RP11-1148L6.8	Gene09169
AC009509.4	Gene09170
TMLHE	Gene09171
AC087294.1	Gene09172
RP11-454F8.4	Gene09173
VEGFD	Gene09174
LRRTM1	Gene09175
GAS6-AS1	Gene09176
C11orf87	Gene09177
MIR3682	Gene09178
SMC1A	Gene09179
ABCC3	Gene09180
RP11-504P24.5	Gene09181
NDP	Gene09182
AC026471.4	Gene09183
PATL1	Gene09184
ZBTB4	Gene09185
SPACA7	Gene09186
GTF2F2	Gene09187
RP11-196I18.3	Gene09188
SH2B1	Gene09189
RP11-478C6.5	Gene09190
RP11-774O3.3	Gene09191
RPL23AP2	Gene09192
AC005606.2	Gene09193
CTAGE6	Gene09194
SLC25A39	Gene09195
AL391832.2	Gene09196
NFKBIA	Gene09197
LINC01183	Gene09198
CASC19	Gene09199
AP001347.6	Gene09200
CD80	Gene09201
CNKSR3	Gene09202
MYO5C	Gene09203
SCN4A	Gene09204
RPS7P1	Gene09205
WNT2	Gene09206
BMS1P4	Gene09207
RP11-785H5.2	Gene09208
SEC14L5	Gene09209
AL132989.1	Gene09210
PDPR	Gene09211
NXPE3	Gene09212
RP11-763F8.1	Gene09213
RP11-881L2.1	Gene09214
GAGE10	Gene09215
RP11-10A14.4	Gene09216
CCNDBP1	Gene09217
AMY1B	Gene09218
ARHGAP18	Gene09219
FP236383.3	Gene09220
FTH1P23	Gene09221
ROR2	Gene09222
ICMT	Gene09223
NDUFS5	Gene09224
CTD-2021H9.2	Gene09225
KIF9-AS1	Gene09226
LIPM	Gene09227
AC079950.1	Gene09228
ART1	Gene09229
TMEM163	Gene09230
BPIFA1	Gene09231
N4BP2L2	Gene09232
KLHL12	Gene09233
TIGD1	Gene09234
AL512604.2	Gene09235
RP11-687F6.4	Gene09236
LIN28A	Gene09237
AP005717.1	Gene09238
CTBP1	Gene09239
AC010729.2	Gene09240
PRDM1	Gene09241
HNRNPCL4	Gene09242
HR	Gene09243
AL359878.1	Gene09244
AGER	Gene09245
CD1D	Gene09246
NUDT21	Gene09247
PLAUR	Gene09248
AP001053.1	Gene09249
GPANK1	Gene09250
IRF2BPL	Gene09251
RP11-446N19.1	Gene09252
CXCL3	Gene09253
BST2	Gene09254
NEDD4L	Gene09255
RP11-700A24.1	Gene09256
CNRIP1	Gene09257
COMMD8	Gene09258
ZW10	Gene09259
TMEM204	Gene09260
AC010641.2	Gene09261
RP11-631M21.7	Gene09262
TCEAL4	Gene09263
RNU6-316P	Gene09264
GDI2	Gene09265
WDFY3	Gene09266
MTX2	Gene09267
AC093627.10	Gene09268
STUB1	Gene09269
SRGAP1	Gene09270
AC090503.2	Gene09271
AL161772.1	Gene09272
RGS7BP	Gene09273
POLR2A	Gene09274
RP11-14N7.2	Gene09275
AC016876.3	Gene09276
AL139234.1	Gene09277
HTATSF1	Gene09278
MIR301A	Gene09279
AC008079.1	Gene09280
ATP6V0A4	Gene09281
AC027612.6	Gene09282
RP11-307C18.1	Gene09283
NEDD9	Gene09284
AC002377.1	Gene09285
CHAMP1	Gene09286
METTL9	Gene09287
RPS3AP34	Gene09288
MCHR1	Gene09289
AL009176.1	Gene09290
RHOV	Gene09291
ERMN	Gene09292
RSPH4A	Gene09293
LINC01500	Gene09294
CD2AP	Gene09295
DUSP18	Gene09296
VAX2	Gene09297
AC025946.1	Gene09298
SNX10	Gene09299
RAB1C	Gene09300
AC010422.1	Gene09301
PARD3B	Gene09302
WNT9B	Gene09303
EIF5P1	Gene09304
AL031432.1	Gene09305
CHM	Gene09306
PEPD	Gene09307
RP11-1112C15.2	Gene09308
AC080038.2	Gene09309
EPHA2	Gene09310
CYB561D2	Gene09311
ZNF239	Gene09312
DENND6A-DT	Gene09313
ZNRD2	Gene09314
CBLL1	Gene09315
CHST15	Gene09316
AC003005.4	Gene09317
AC084125.2	Gene09318
RP11-16C1.3	Gene09319
RP5-890E16.5	Gene09320
SPSB2	Gene09321
CTB-191K22.6	Gene09322
AL392046.1	Gene09323
RP11-295P9.13	Gene09324
WNT7B	Gene09325
GS1-279B7.2	Gene09326
GHRH	Gene09327
METTL18	Gene09328
IQSEC3	Gene09329
ZBTB37	Gene09330
PCDHAC1	Gene09331
VPS13B	Gene09332
SRSF2	Gene09333
REG3G	Gene09334
RP11-677M14.6	Gene09335
AL929236.1	Gene09336
TCEAL3-AS1	Gene09337
FAAH	Gene09338
HBD	Gene09339
SRP9P1	Gene09340
LSM12P1	Gene09341
MSH5	Gene09342
ABR	Gene09343
RAD51L3-RFFL	Gene09344
AL390195.2	Gene09345
ARMC5	Gene09346
TTC28-AS1	Gene09347
AC074050.4	Gene09348
MFSD14A	Gene09349
LIX1-AS1	Gene09350
AL355312.3	Gene09351
FASTKD2	Gene09352
AC126696.3	Gene09353
BRCC3P1	Gene09354
COL4A4	Gene09355
ZNF212	Gene09356
RP5-1098D14.1	Gene09357
HCN1	Gene09358
ACOT11	Gene09359
LRFN5	Gene09360
SPTBN2	Gene09361
PSMD4	Gene09362
GNAI2	Gene09363
SFT2D2	Gene09364
DSG4	Gene09365
RP11-15A1.4	Gene09366
RP11-116B13.1	Gene09367
COX19	Gene09368
OSBP	Gene09369
SAMD8	Gene09370
ADH4	Gene09371
EXT2	Gene09372
GLIPR2	Gene09373
ORC4	Gene09374
RP11-38M8.1	Gene09375
Six3os1_1	Gene09376
ZDHHC11	Gene09377
DNASE1L2	Gene09378
AC009302.2	Gene09379
NDUFAF1	Gene09380
ZFAND3	Gene09381
FAM71E1	Gene09382
SUV420H1	Gene09383
OR7D2	Gene09384
CITF22-92A6.2	Gene09385
SPATA31A1	Gene09386
BPIFB3	Gene09387
DLG1-AS1	Gene09388
NXPH4	Gene09389
PJA2	Gene09390
ADAL	Gene09391
LOH12CR2	Gene09392
MT-TG	Gene09393
AC106886.5	Gene09394
RP11-44D5.2	Gene09395
HCRTR2	Gene09396
TRIM44	Gene09397
XRCC6	Gene09398
ZNF789	Gene09399
HBA2	Gene09400
SGOL1	Gene09401
EIF2S3L	Gene09402
EPS8L2	Gene09403
AC141928.1	Gene09404
C14orf79	Gene09405
TMEM86A	Gene09406
DYRK4	Gene09407
AC016739.3	Gene09408
AL360181.1	Gene09409
AJ003147.9	Gene09410
ARHGAP26-AS1	Gene09411
LINC00595	Gene09412
RP11-214K3.20	Gene09413
PRSS57	Gene09414
NPY4R	Gene09415
NOS1	Gene09416
RP11-522L3.11	Gene09417
AC069410.1	Gene09418
MACC1	Gene09419
AL050403.2	Gene09420
RP11-171I2.3	Gene09421
CTD-2302E22.4	Gene09422
DLEU2_4	Gene09423
RIMKLBP2	Gene09424
MRPS23	Gene09425
CTC-260E6.3	Gene09426
DTD2	Gene09427
RDH12	Gene09428
