gene	anon_id
AC016766.1	Gene00247
KIRREL	Gene00248
AL591893.1	Gene00249
RP5-857K21.7	Gene00250
AC078881.1	Gene00251
CTC-453G23.5	Gene00252
SPHAR	Gene00253
TRHDE	Gene00254
PNRC1	Gene00255
DZIP1L	Gene00256
RN7SL767P	Gene00257
DEF8	Gene00258
RETREG2	Gene00259
ZNF446	Gene00260
RP11-36B15.1	Gene00261
C2orf16	Gene00262
CCDC168	Gene00263
RP11-66D17.3	Gene00264
EI24	Gene00265
AC012178.1	Gene00266
BZW1P1	Gene00267
KDM1B	Gene00268
RP5-1024G6.2	Gene00269
DDX12P	Gene00270
PRSS50	Gene00271
TTF1	Gene00272
STAT3	Gene00273
RP11-93O14.3	Gene00274
OPHN1	Gene00275
RNASEL	Gene00276
CTD-2396E7.11	Gene00277
AP001437.1	Gene00278
AC023830.1	Gene00279
SELENOP	Gene00280
PLAGL1	Gene00281
RP11-173A16.2	Gene00282
FLJ46284	Gene00283
LINC01481	Gene00284
MIR181B1	Gene00285
SNRPEP4	Gene00286
BRIP1	Gene00287
PILRA	Gene00288
HHIPL2	Gene00289
RP11-973H7.3	Gene00290
AC007848.1	Gene00291
LOC102724279	Gene00292
RP11-33B1.4	Gene00293
PCSK2	Gene00294
RP11-380G5.2	Gene00295
NUP107	Gene00296
CPA5	Gene00297
AC025183.2	Gene00298
VPS28	Gene00299
RP11-73K9.2	Gene00300
RP11-983P16.2	Gene00301
UCP3	Gene00302
SMIM36	Gene00303
CDC42-IT1	Gene00304
LINC02763	Gene00305
FAM83D	Gene00306
JAKMIP3	Gene00307
UVSSA	Gene00308
RP11-45P15.4	Gene00309
MARC2	Gene00310
ADM2	Gene00311
DNAJC12	Gene00312
OLA1	Gene00313
KCNA7	Gene00314
CTD-2201G3.1	Gene00315
AC092162.1	Gene00316
LINC01194	Gene00317
ZNF808	Gene00318
CEBPA	Gene00319
LRP5L	Gene00320
GPT	Gene00321
MIR29B2	Gene00322
IBTK	Gene00323
KIAA1549L	Gene00324
B3GALT4	Gene00325
AL358072.1	Gene00326
DUSP14	Gene00327
ZNF790	Gene00328
ZNF774	Gene00329
AC004803.1	Gene00330
CTD-2336O2.1	Gene00331
FHP1	Gene00332
MYO15A	Gene00333
AC073332.1	Gene00334
RP11-114M1.3	Gene00335
MIR378J	Gene00336
AKNA	Gene00337
RP3-430N8.10	Gene00338
KCTD16	Gene00339
SPN	Gene00340
AC133680.1	Gene00341
ZRANB2-AS2	Gene00342
HOXB6	Gene00343
SPANXA2	Gene00344
AP003068.23	Gene00345
MSRA	Gene00346
RCAN1	Gene00347
CTD-3099C6.9	Gene00348
XDH	Gene00349
CNOT6L	Gene00350
SLC17A2	Gene00351
RP4-550H1.4	Gene00352
ZBTB33	Gene00353
AC100832.2	Gene00354
BNIP3P16	Gene00355
AVPR1A	Gene00356
AC116036.2	Gene00357
RP11-218M22.1	Gene00358
SIRT1	Gene00359
VSIG10L2	Gene00360
AL391845.1	Gene00361
UGT1A6	Gene00362
MYH7	Gene00363
CD8A	Gene00364
AC097382.3	Gene00365
ENDOG	Gene00366
SNORD110	Gene00367
TRIM13	Gene00368
RP11-490G8.1	Gene00369
TJP2	Gene00370
CLDN15	Gene00371
NRD1	Gene00372
AC093388.3	Gene00373
AP003419.16	Gene00374
F11-AS1	Gene00375
CISD2	Gene00376
APOBEC3D	Gene00377
PCBP1	Gene00378
ZNF512B	Gene00379
AC018557.3	Gene00380
ECD	Gene00381
RGS4	Gene00382
MAS1	Gene00383
SEMA3F-AS1	Gene00384
AC104781.2	Gene00385
ZXDC	Gene00386
GLB1L3	Gene00387
AC073167.1	Gene00388
ADSSL1	Gene00389
ZBTB32	Gene00390
UMPS	Gene00391
RAB11FIP4	Gene00392
AC026202.2	Gene00393
LINC02551	Gene00394
LECT2	Gene00395
RP11-91A18.4	Gene00396
C21orf140	Gene00397
LINC00957	Gene00398
AP000240.1	Gene00399
AL662801.1	Gene00400
Mar.08	Gene00401
LRIG1	Gene00402
MIR186	Gene00403
HEXDC	Gene00404
ABCC5-AS1	Gene00405
HOXA11-AS1_5	Gene00406
CTD-2506P8.6	Gene00407
PITPNC1	Gene00408
AC026401.3	Gene00409
ADRA1B	Gene00410
C9	Gene00411
RP11-561N12.8	Gene00412
FTX_4	Gene00413
HM13-IT1	Gene00414
RP11-38L15.2	Gene00415
CACNA1C	Gene00416
TSPAN10	Gene00417
ANKLE2	Gene00418
MTCH1	Gene00419
CTD-2245E15.3	Gene00420
GRPEL2-AS1	Gene00421
TXNP6	Gene00422
HMGN1P24	Gene00423
OR4C6	Gene00424
ALDH18A1	Gene00425
RP11-314N13.3	Gene00426
ZRSR1	Gene00427
RP11-201O14.1	Gene00428
RP5-1092A3.4	Gene00429
SNRPGP18	Gene00430
AL162274.2	Gene00431
RP4-647C14.2	Gene00432
SPATA12	Gene00433
RP11-490E15.2	Gene00434
CTD-2015H3.2	Gene00435
AC109460.2	Gene00436
RP11-841O20.2	Gene00437
RP4-800G7.3	Gene00438
AL110115.2	Gene00439
CTC-786C10.1	Gene00440
MYCBP2	Gene00441
ARFGAP2	Gene00442
IRX3	Gene00443
PDE11A	Gene00444
LINC00536	Gene00445
RN7SL394P	Gene00446
RASL11B	Gene00447
KLC1	Gene00448
ZNF883	Gene00449
RNPC3	Gene00450
MPP7	Gene00451
HNRNPL	Gene00452
ALS2	Gene00453
Z69733.1	Gene00454
RP1-288H2.2	Gene00455
RNF5P1	Gene00456
RPL23AP74	Gene00457
HNRNPA1P33	Gene00458
SLC36A3	Gene00459
UTP14A	Gene00460
AC234582.1	Gene00461
RRS1-AS1	Gene00462
CALML5	Gene00463
ZBTB24	Gene00464
AC244093.5	Gene00465
BCO2	Gene00466
PNLDC1	Gene00467
SIGLEC12	Gene00468
SLC25A12	Gene00469
AL359551.1	Gene00470
CROCCP2	Gene00471
HYLS1	Gene00472
AC010761.6	Gene00473
RSAD1	Gene00474
RP11-701H24.8	Gene00475
RP11-68I3.11	Gene00476
CHST13	Gene00477
TOMM7	Gene00478
UHMK1	Gene00479
RN7SL851P	Gene00480
HMGCLL1	Gene00481
LSM10	Gene00482
RP11-551L14.1	Gene00483
WNT2B	Gene00484
RPSAP15	Gene00485
IFNW1	Gene00486
TMEM52B	Gene00487
PPY	Gene00488
PPP4R1-AS1	Gene00489
LRRC4C	Gene00490
CTA-989H11.1	Gene00491
RP11-752D24.2	Gene00492
AC073050.1	Gene00493
HEATR4	Gene00494
EFCAB10	Gene00495
CTD-3222D19.8	Gene00496
AC023590.1	Gene00497
RP5-875H18.4	Gene00498
DNAJC8P1	Gene00499
RP11-481C4.2	Gene00500
RP11-88I18.2	Gene00501
CYP3A43	Gene00502
AC080112.1	Gene00503
DVL2	Gene00504
AC006333.2	Gene00505
CTB-50L17.8	Gene00506
CTD-2320J21.2	Gene00507
SART3	Gene00508
AP001267.2	Gene00509
AL606834.2	Gene00510
AC026992.1	Gene00511
AC073389.1	Gene00512
YBX1P10	Gene00513
ZNF454	Gene00514
SLC9A3R2	Gene00515
RP11-342K6.1	Gene00516
RP11-1228E12.1	Gene00517
SPATA31C1	Gene00518
ERV3-1	Gene00519
RP11-403P17.6	Gene00520
GABPB1-IT1	Gene00521
ZCCHC24	Gene00522
BBIP1	Gene00523
RP11-430B1.2	Gene00524
RP4-545K15.5	Gene00525
RP11-379H18.1	Gene00526
RP11-171I2.2	Gene00527
AC018685.2	Gene00528
LRRFIP1P1	Gene00529
AL121832.3	Gene00530
SLC43A3	Gene00531
HMGN1P15	Gene00532
PSMB6	Gene00533
LINC01132	Gene00534
TTLL5	Gene00535
AC092123.1	Gene00536
ZNF251	Gene00537
AL358113.1	Gene00538
FSCN1	Gene00539
NOBOX	Gene00540
NDUFA6-AS1	Gene00541
CCDC194	Gene00542
C17orf99	Gene00543
SINHCAF	Gene00544
TRDN	Gene00545
BMPR2	Gene00546
AC119800.1	Gene00547
CACTIN	Gene00548
AL355816.2	Gene00549
EXOC8	Gene00550
FAM173B	Gene00551
ASS1P12	Gene00552
RP11-67A1.2	Gene00553
CTC-321K16.1	Gene00554
ARHGDIA	Gene00555
TRIM67	Gene00556
MCM10	Gene00557
EVPLL	Gene00558
NUP35	Gene00559
MYO1B	Gene00560
ADCK3	Gene00561
KIAA0232	Gene00562
NUCKS1	Gene00563
VAMP7	Gene00564
AC009060.1	Gene00565
SGMS1	Gene00566
AL157400.3	Gene00567
NRIP2	Gene00568
SCAND3P1	Gene00569
UBL5	Gene00570
AL357375.1	Gene00571
C6orf58	Gene00572
RP11-61A14.4	Gene00573
LHFPL5	Gene00574
ODF3	Gene00575
TATDN1P1	Gene00576
LZTFL1	Gene00577
CENPCP1	Gene00578
CECR5	Gene00579
TMED7	Gene00580
PHF6	Gene00581
CD177	Gene00582
SEPHS1	Gene00583
RP11-521C20.3	Gene00584
AL513123.1	Gene00585
ERFL	Gene00586
CDX4	Gene00587
AC018845.3	Gene00588
AC011773.4	Gene00589
SNX21	Gene00590
RPS15AP1	Gene00591
STRA8	Gene00592
C12orf57	Gene00593
FAM193B	Gene00594
CTD-2024P10.1	Gene00595
NPEPL1	Gene00596
RNU4-38P	Gene00597
ZHX1-C8orf76	Gene00598
PLA2G4B	Gene00599
RP11-147L13.7	Gene00600
RP11-523H20.3	Gene00601
C17orf100	Gene00602
NDUFV2	Gene00603
AC068051.1	Gene00604
TMSB15A	Gene00605
CTD-2145A24.5	Gene00606
C21orf58	Gene00607
XRCC3	Gene00608
LOXL4	Gene00609
OR2W5	Gene00610
KB-1460A1.5	Gene00611
FCMR	Gene00612
IL12B	Gene00613
LY6E-DT	Gene00614
C14orf182	Gene00615
TRIM58	Gene00616
MAP3K21	Gene00617
RAB3D	Gene00618
HMHB1	Gene00619
MRPL3	Gene00620
RNY3P14	Gene00621
RP11-1072C15.4	Gene00622
RIOK2	Gene00623
HOXA11-AS	Gene00624
AC005609.1	Gene00625
LINC00867	Gene00626
GNAS	Gene00627
SLC35G1	Gene00628
SNX29P1	Gene00629
AC137894.3	Gene00630
RTL6	Gene00631
MIR550A2	Gene00632
RP1-59M18.2	Gene00633
GAPDHP40	Gene00634
FDX1	Gene00635
FAM87A	Gene00636
LINC01592	Gene00637
CCDC74B	Gene00638
FAM13A-AS1	Gene00639
ATP6V1G2	Gene00640
B2M	Gene00641
AL158151.1	Gene00642
CTD-2566J3.1	Gene00643
RUNDC3A	Gene00644
RP4-669P10.20	Gene00645
HSPA8P5	Gene00646
AC011247.3	Gene00647
RP13-554M15.5	Gene00648
RP11-46A10.6	Gene00649
PAMR1	Gene00650
AC009779.2	Gene00651
CHKB	Gene00652
TNFRSF4	Gene00653
GAGE1	Gene00654
TPT1-AS1	Gene00655
MIR761	Gene00656
RP11-430C7.5	Gene00657
AC004623.2	Gene00658
ZNF570	Gene00659
EHMT2-AS1	Gene00660
AC013470.6	Gene00661
UBFD1	Gene00662
UBXN1	Gene00663
NPPA-AS1	Gene00664
AC106820.2	Gene00665
MYOC	Gene00666
ZDHHC11B	Gene00667
STAMBP	Gene00668
EXOG	Gene00669
CLCN1	Gene00670
EPN3	Gene00671
RP11-654D12.2	Gene00672
AC009365.4	Gene00673
FURIN	Gene00674
LINC00602	Gene00675
AC007493.1	Gene00676
F9	Gene00677
NANS	Gene00678
MOB3A	Gene00679
AP003392.5	Gene00680
ZNF513	Gene00681
ST3GAL4	Gene00682
CCDC50	Gene00683
AC007255.8	Gene00684
SETD4	Gene00685
RP11-829H16.2	Gene00686
AC008440.1	Gene00687
PRSS33	Gene00688
RNF223	Gene00689
CCNYL1	Gene00690
AL359878.2	Gene00691
DUXA	Gene00692
PPIAL4C	Gene00693
AC011603.2	Gene00694
AL391244.3	Gene00695
LOC101928436	Gene00696
METTL23	Gene00697
RP11-1348G14.1	Gene00698
RP11-196G11.5	Gene00699
DPP6	Gene00700
AP4B1-AS1	Gene00701
RP11-776H12.1	Gene00702
AC087521.4	Gene00703
AC073834.3	Gene00704
ANO8	Gene00705
AP1S2	Gene00706
RP11-420K8.1	Gene00707
RP11-430C7.4	Gene00708
TINAG	Gene00709
PDPK2P	Gene00710
POGLUT3	Gene00711
KRT223P	Gene00712
SYNJ2BP	Gene00713
TDRD7	Gene00714
AC007246.3	Gene00715
SNORD100	Gene00716
RP11-504P24.3	Gene00717
RP11-732A19.8	Gene00718
AC093495.1	Gene00719
SMG1P1	Gene00720
AC093818.1	Gene00721
ST8SIA2	Gene00722
MIR548A1HG	Gene00723
CENPQ	Gene00724
GRK7	Gene00725
RP11-138J23.1	Gene00726
NKAIN1	Gene00727
SNORD107	Gene00728
LINC01885	Gene00729
ZNF286A	Gene00730
RP11-412H8.2	Gene00731
MT-TF	Gene00732
RP11-288C17.3	Gene00733
ABCA7	Gene00734
