gene	global_rank_original	global_rank_anonymized	ranks_match
VCPIP1	7647	7647	True
VCPKMT	4364	4364	True
VDAC1	8198	8198	True
VDAC2	5329	5329	True
VDAC3	8886	8886	True
VDR	8275	8275	True
VEGFA	1332	1332	True
VEGFB	2570	2570	True
VEGFC	604	604	True
VEPH1	142	142	True
VEZF1	1138	1138	True
VEZT	3464	3464	True
VGF	4591	4591	True
VGLL1	12629	12629	True
VGLL3	12258	12258	True
VGLL4	10848	10848	True
VHL	5896	5896	True
VIL1	12477	12477	True
VILL	924	924	True
VIM	11554	11554	True
VIM-AS1	11175	11175	True
VIMP	13327	13327	True
VIPAS39	7531	7531	True
VIPR1	2757	2757	True
VIPR2	2205	2205	True
VKORC1	2598	2598	True
VKORC1L1	6286	6286	True
VLDLR	6762	6762	True
VLDLR-AS1	13663	13663	True
VMA21	7454	7454	True
VMAC	10445	10445	True
VMO1	11705	11705	True
VMP1	4994	4994	True
VN1R1	14274	14274	True
VOPP1	2296	2296	True
VPRBP	14356	14356	True
VPREB3	12034	12034	True
VPS11	3669	3669	True
VPS13A	6228	6228	True
VPS13B	8660	8660	True
VPS13C	4586	4586	True
VPS13D	6402	6402	True
VPS16	9502	9502	True
VPS18	6716	6716	True
VPS25	9409	9409	True
VPS26A	4737	4737	True
VPS26B	9143	9143	True
VPS28	3862	3862	True
VPS29	4353	4353	True
VPS33A	9147	9147	True
VPS33B	4167	4167	True
VPS35	9992	9992	True
VPS36	6105	6105	True
VPS37A	10165	10165	True
VPS37B	2566	2566	True
VPS37C	2200	2200	True
VPS37D	3602	3602	True
VPS39	9593	9593	True
VPS41	9298	9298	True
VPS45	9649	9649	True
VPS4A	10400	10400	True
VPS4B	10286	10286	True
VPS50	13330	13330	True
VPS51	5388	5388	True
VPS52	8095	8095	True
VPS53	7620	7620	True
VPS54	883	883	True
VPS72	9929	9929	True
VPS8	7167	7167	True
VPS9D1	6751	6751	True
VPS9D1-AS1	11670	11670	True
VRK1	7450	7450	True
VRK2	4784	4784	True
VRK3	7185	7185	True
VSIG10	7670	7670	True
VSIG10L	2563	2563	True
VSIG2	13898	13898	True
VSIG8	13759	13759	True
VSNL1	15233	15233	True
VSTM2A	13829	13829	True
VSTM2L	14026	14026	True
VSTM4	15026	15026	True
VSTM5	14184	14184	True
VTA1	8715	8715	True
VTCN1	5064	5064	True
VTI1A	4365	4365	True
VTI1B	8956	8956	True
VTN	11097	11097	True
VWA1	4860	4860	True
VWA2	11393	11393	True
VWA3A	15046	15046	True
VWA3B	13723	13723	True
VWA5A	11278	11278	True
VWA5B2	11598	11598	True
VWA7	12456	12456	True
VWA8	6676	6676	True
VWA9	15228	15228	True
VWCE	12795	12795	True
VWDE	1295	1295	True
VWF	11405	11405	True
WAC	9864	9864	True
WAC-AS1	11776	11776	True
WAPAL	14615	14615	True
WARS	4159	4159	True
WARS2	4647	4647	True
WAS	3886	3886	True
WASF1	6910	6910	True
WASF2	5246	5246	True
WASF3	1208	1208	True
WASF3-AS1	15172	15172	True
WASH1	13708	13708	True
WASIR2	11754	11754	True
WASL	8788	8788	True
WBP1	8823	8823	True
WBP11	7782	7782	True
WBP1L	4498	4498	True
WBP2	19	19	True
