gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
TRMT10B	2	0	0.400419736266328	0.400419736266328	14218
RNF13	2	0	0.40038644884007957	0.40038644884007957	14219
AL157827.2	1	0	0.4003364627991534	0.4003364627991534	14220
HOMER2	2	0	0.4003029396228338	0.4003029396228338	14221
TSPYL2	2	0	0.40029620976589764	0.40029620976589764	14222
AL354733.3	2	0	0.4002701693702894	0.4002701693702894	14223
IL18BP	2	0	0.40025211672711875	0.40025211672711875	14224
EFHB	2	0	0.4002193061394187	0.4002193061394187	14225
TSSK3	2	0	0.4002106162816711	0.4002106162816711	14226
CHMP6	2	0	0.4001636634049401	0.4001636634049401	14227
AC005225.3	1	0	0.400119390025506	0.400119390025506	14228
MKX	1	0	0.4000889580785055	0.4000889580785055	14229
USP48	2	0	0.40007507191629765	0.40007507191629765	14230
SHANK1	1	0	0.4000651218320942	0.4000651218320942	14231
SELENOT	2	0	0.40000928367660543	0.40000928367660543	14232
UPF3B	2	0	0.39990360671689473	0.39990360671689473	14233
KRT37	1	0	0.3998665628822417	0.3998665628822417	14234
PSMD9	2	0	0.39983986811299893	0.39983986811299893	14235
C1orf123	1	0	0.3998089586438789	0.3998089586438789	14236
KCTD6	2	0	0.39979698873110403	0.39979698873110403	14237
MRPS18B	2	0	0.3997883821225404	0.3997883821225404	14238
LETM1	2	0	0.3996278442781422	0.3996278442781422	14239
CENPW	2	0	0.3995877844658664	0.3995877844658664	14240
PEX3	2	0	0.3995719828440164	0.3995719828440164	14241
FXYD7	1	0	0.399532970087846	0.399532970087846	14242
ZNF365	2	0	0.39951877012755255	0.39951877012755255	14243
MGAT4B	2	0	0.39951524725612914	0.39951524725612914	14244
EIF6	2	0	0.3995008661834559	0.3995008661834559	14245
RPL7A	2	0	0.3994981442064772	0.3994981442064772	14246
FDXR	2	0	0.39943995408153243	0.39943995408153243	14247
BLOC1S6	2	0	0.3993037179616018	0.3993037179616018	14248
NBEAL1	2	0	0.3992878688929974	0.3992878688929974	14249
PCDHAC2	1	0	0.3992549760925163	0.3992549760925163	14250
AL109824.1	1	0	0.3991968307375048	0.3991968307375048	14251
AC027307.2	2	0	0.3991812224331683	0.3991812224331683	14252
MZF1	2	0	0.3991685107639343	0.3991685107639343	14253
RPS6	2	0	0.3991493671173829	0.3991493671173829	14254
COX7A1	1	0	0.3991437784943845	0.3991437784943845	14255
CORO7	2	0	0.39908506741884503	0.39908506741884503	14256
ADAMTS4	1	0	0.3990618522882295	0.3990618522882295	14257
HERC2	2	0	0.39901660294734687	0.39901660294734687	14258
AZIN1-AS1	2	0	0.3989428282681611	0.3989428282681611	14259
C17orf82	2	0	0.39891978683033313	0.39891978683033313	14260
AP000692.2	2	0	0.3988924824473765	0.3988924824473765	14261
LRRC4B	1	0	0.3988712215770337	0.3988712215770337	14262
ALOX12	2	0	0.39886238551354336	0.39886238551354336	14263
TAF1C	2	0	0.398847266371842	0.398847266371842	14264
AC009005.1	2	0	0.39880142104001937	0.39880142104001937	14265
IQCC	2	0	0.39877740345932067	0.39877740345932067	14266
ACTR1A	2	0	0.39876796946028786	0.39876796946028786	14267
AL356804.1	1	0	0.3987626851902099	0.3987626851902099	14268
DOCK7	2	0	0.3987391986887336	0.3987391986887336	14269
FAM161B	2	0	0.398691765386801	0.398691765386801	14270
KDR	1	0	0.3986433893027911	0.3986433893027911	14271
SETD7	2	0	0.3986162792037723	0.3986162792037723	14272
AL135791.1	2	0	0.3985668053942909	0.3985668053942909	14273
ATP5MF	2	0	0.3985612744120822	0.3985612744120822	14274
AC011043.1	2	0	0.3985571724623621	0.3985571724623621	14275
PLPBP	2	0	0.3985499949026118	0.3985499949026118	14276
LETMD1	2	0	0.398497392611963	0.398497392611963	14277
CEP131	2	0	0.39837665084743196	0.39837665084743196	14278
COMMD9	2	0	0.39834657267529044	0.39834657267529044	14279
NFATC2	2	0	0.39834235072614244	0.39834235072614244	14280
HSF2	2	0	0.39833800766073724	0.39833800766073724	14281
AC068189.2	1	0	0.3983285396429152	0.3983285396429152	14282
E2F3-IT1	1	0	0.3982742714495034	0.3982742714495034	14283
AKT3	2	0	0.39823290742932327	0.39823290742932327	14284
DENND6B	2	0	0.3982041816909657	0.3982041816909657	14285
TTC31	2	0	0.39814370077993083	0.39814370077993083	14286
CCL18	1	0	0.3981430001111976	0.3981430001111976	14287
ZNF699	2	0	0.3980972710623135	0.3980972710623135	14288
CES2	2	0	0.39803670640266653	0.39803670640266653	14289
ZSCAN16-AS1	2	0	0.3980132889344683	0.3980132889344683	14290
LINC00574	1	0	0.3980029304824443	0.3980029304824443	14291
