gene	crispr_effect	crispr_p	crispr_fdr	crispr_testable	crispr_direction	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_testable	gse118713_direction	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	gse245601_testable	gse245601_track_direction_agreement	gse240112_tumor_log2fc	gse240112_tumor_p	gse240112_tumor_fdr	gse240112_epi_log2fc	gse240112_epi_p	gse240112_epi_fdr	gse240112_testable	gse240112_track_direction_agreement	gse240112_outlier_fragility	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_testable	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_track_a_percentile	gse245601_track_b_percentile	gse245601_evidence_percentile	gse245601_one_track_only	gse240112_tumor_percentile	gse240112_epi_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile	n_datasets_testable	coverage_tier	n_datasets_fdr05	n_datasets_nominal_p05	n_datasets_top10pct	n_datasets_top20pct	median_evidence_percentile	equal_dataset_mean_percentile	min_evidence_percentile	max_evidence_percentile	_tier_sort	global_rank	evidence_category
CUX1	1.2655384098421134	4.945480305157648e-05	0.044987385842584	True	tolerance_associated_KO	-0.899390794469496	7.34075335107767e-05	0.0007915850161576	True	down_in_TAMR	-0.0635570551072721	0.491953793044081	0.80228969354788	-0.253893522732994	0.15024954813718	0.600089163303291	True	True	-0.977593527385808	0.0080710346236776	0.0325811667130628	-0.841084624454655	0.0290456382698598	0.0846718793407622	True	True	False	-0.473959264701485	0.0325238713726489	0.353075674922462	True	0.9989529892157888	0.9071428571428573	0.3870788390970755	0.7496753715192612	0.5683771053081683	False	0.7523199652683562	0.6569948186528498	0.7523199652683562	0.9077128349579332	5	A	3	4	3	3	0.9071428571428573	0.8269011503786208	0.5683771053081683	0.9989529892157888	5	10	MULTIMODAL_STRONG
SOX2	1.5125795984924384	4.4820586915723774e-06	0.012231538169301	True	tolerance_associated_KO	0.689938479322989	0.0017000936290111	0.009274260760025	True	up_in_TAMR	-0.334393694467966	0.325538393566868	0.694290309090563	-0.36606170929984	0.28660778883357	0.685540154621828	True	True	7.44086437435914	1.00172235696804e-06	5.59971704623335e-05	8.83830234730668	4.51761055517279e-08	7.56643764554808e-06	True	True	False	0.885804950531392	0.212743715920636	0.631863307812325	True	0.9996858967647366	0.8161224489795919	0.5311909262759924	0.5820227961333141	0.5566068612046533	False	0.9822543007543278	0.994078460399704	0.9822543007543278	0.6630962529187205	5	A	3	3	2	3	0.8161224489795919	0.803553152124406	0.5566068612046533	0.9996858967647366	5	16	MULTIMODAL_STRONG
TFAP2C	1.5406554782432211	5.552676879419332e-05	0.0482149029216125	True	tolerance_associated_KO	-1.09359983284206	9.30568358421875e-05	0.0009588641192333	True	down_in_TAMR	-0.420914341193197	0.0054231292608551	0.161767538996686	-0.194606069003982	0.250542431238718	0.663978154131591	True	True	-0.231167140057674	0.316849193739134	0.460880649003454	-0.302529087346468	0.246662569508665	0.388563049643421	True	True	False	-0.541646684135955	0.0390840962961491	0.376029940461807	True	0.9989006386765784	0.9027891156462584	0.966529522962304	0.6227095657192324	0.7946195443407682	False	0.3125305258587941	0.3652109548482605	0.3125305258587941	0.8959267632778622	5	A	2	4	2	3	0.8959267632778622	0.7809533175600523	0.3125305258587941	0.9989006386765784	5	272	MULTIMODAL_STRONG
USP34	-1.3912980676838431	3.927829380312541e-05	0.0416851803622835	True	sensitising_KO	0.590437436807219	0.0012547294526722	0.0073136129571408	True	up_in_TAMR	-0.0334650201061386	0.697302371273304	0.900549578140749	-0.180624008897835	0.315863817029613	0.703086078272564	True	True	0.400106644327525	0.118318499553175	0.22750138874853	0.456520297738209	0.0938092188181128	0.195590291004925	True	True	False	0.161522475648414	0.213154321288622	0.632236473760328	True	0.9991100408334206	0.8279591836734694	0.2258979206049149	0.5507863223200116	0.3883421214624633	False	0.4799479025343246	0.5204046385393536	0.4799479025343246	0.6626885586153219	5	A	2	2	1	2	0.6626885586153219	0.6716095614238	0.3883421214624633	0.9991100408334206	5	994	MULTIMODAL_STRONG
DPP9	1.3751072314321586	3.712159796876289e-05	0.0416851803622835	True	tolerance_associated_KO	-1.04265717095817	0.0002526278697883	0.0021070783203592	True	down_in_TAMR	-0.0106261465606046	0.896451481668324	0.971353783178804	0.148474471764936	0.404850898915782	0.755226786100859	True	False	0.109543831770581	0.705189268990129	0.801863890967389	0.259616241395649	0.352358979227488	0.502420817070589	True	True	False	0.0421912603365501	0.830870980509648	0.953611308284714	True	0.9991623913726312	0.8797959183673469	0.077115534304459	0.4640744481315827	0.2705949912180209	False	0.1205839257611114	0.2986923266716013	0.1205839257611114	0.1284237055705867	5	A	2	2	1	2	0.2705949912180209	0.4797121864579393	0.1205839257611114	0.9991623913726312	5	1090	MULTIMODAL_STRONG
VEZF1	-1.602445388833546	2.497000741678817e-05	0.0372575660229722	True	sensitising_KO	0.426552278550176	0.122286724868769	0.237500391027449	True	up_in_TAMR	-0.0505827437413172	0.667974993574959	0.890005371824952	-0.436025202244726	0.0215208679721136	0.51885876990854	True	True	1.14940832913316	0.0040105194402939	0.0194899399382215	1.17150133098914	0.00111338412719	0.0074101289726214	True	True	False	-0.238235372712826	0.187611288174084	0.607594477564463	True	0.9994764946078945	0.4842176870748299	0.2495274102079395	0.9585918337902178	0.6040596219990787	False	0.7942692787757095	0.8497902788058228	0.7942692787757095	0.6911159704977576	5	A	2	2	1	1	0.6911159704977576	0.7146278105910541	0.4842176870748299	0.9994764946078945	5	1138	MULTIMODAL_STRONG
LZTR1	1.4583532397139498	5.201626345221791e-06	0.0124208335090964	True	tolerance_associated_KO	1.11048033871916	0.0031528845375511	0.0151008717779807	True	up_in_TAMR	0.0414554130824415	0.733327635841814	0.913396869045545	-0.0214265805026217	0.929560186392181	0.976693410940943	True	False	0.217133315001067	0.469003520538008	0.607834367851074	0.193111730613412	0.472986168531053	0.613906602500982	True	True	False	0.195307961266389	0.313997212862677	0.716808182530627	True	0.999633546225526	0.7905442176870748	0.1971533414878238	0.0482614341364882	0.122707387812156	False	0.2284148260704401	0.2295583518381445	0.2284148260704401	0.5613950557799934	5	A	2	2	1	1	0.5613950557799934	0.5405390067150382	0.122707387812156	0.999633546225526	5	1173	MULTIMODAL_STRONG
