gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
RP11-972P1.11	2	0	0.16831153164723878	0.16831153164723878	18515
GMDS	4	0	0.16829492927775536	0.34124655581569185	18516
MAPKBP1	4	0	0.16812367592350624	0.19197836690719886	18517
PPP3CB-AS1	3	0	0.1681183054742225	0.2268867167092142	18518
RNF141	4	0	0.1680844484452132	0.2590550703011283	18519
AC093001.1	2	0	0.16807253098142586	0.16807253098142586	18520
UBAP2L	4	0	0.1679154911499691	0.31965877025343475	18521
XXbac-B135H6.18	2	0	0.16777977422761844	0.16777977422761844	18522
ANP32B	4	0	0.16775236660747356	0.2791962321564567	18523
SH2B1	4	0	0.1677374978716664	0.1847989927474917	18524
FAM96B	3	0	0.1674511693413883	0.29174421302023246	18525
AKNAD1	3	0	0.1674173766755304	0.19378937770109372	18526
LINC01347	2	0	0.16740680957902593	0.16740680957902593	18527
WDR59	4	0	0.1670340541983815	0.23799090172496948	18528
MRPL37	4	0	0.1668088161079811	0.23281435625111013	18529
CCR2	2	0	0.16675072304597305	0.16675072304597305	18530
RP11-1035H13.3	2	0	0.1665158676791201	0.1665158676791201	18531
LNPK	2	0	0.16635110721789964	0.16635110721789964	18532
SNRPB	4	0	0.16631089747218225	0.19680855105778033	18533
CYB561D2.1	2	0	0.16630471577928313	0.16630471577928313	18534
RP11-1415C14.3	2	0	0.16624798453535072	0.16624798453535072	18535
TNKS2	4	0	0.1659055817871043	0.26780411584229186	18536
RAB21	4	0	0.1659014020759983	0.16458104691147202	18537
AL031846.2	2	0	0.1658982670451444	0.1658982670451444	18538
PWP1	4	0	0.16582714661667636	0.19036348901644426	18539
C6orf47	4	0	0.16581674179234054	0.18674759362058863	18540
AC108479.3	2	0	0.16563550823270645	0.16563550823270645	18541
SPOP	4	0	0.1655216617375036	0.16805932223449635	18542
NANP	4	0	0.16550512342886667	0.1704921170253513	18543
RPL24P4	2	0	0.16509738019220882	0.16509738019220882	18544
