gene	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus
AMPH	3	3	0	2	3	2	3	0.9628998183907194	all_up
CP	3	3	0	2	2	2	3	0.9626092147392412	all_up
LINC00992	3	0	3	2	3	2	3	0.9624489795918368	all_down
RNF145	3	3	0	2	2	2	3	0.961740923644652	all_up
SPRY1	3	3	0	2	3	2	3	0.9614285714285714	all_up
ACBD7	3	0	3	2	3	2	3	0.9608183643566506	all_down
SNHG18	3	3	0	2	3	2	3	0.9606389681627812	all_up
SFXN2	3	0	3	2	3	2	3	0.9574144768540824	all_down
GOLM1	3	3	0	2	3	2	3	0.9564226406902914	all_up
CXCL12	3	0	3	2	2	2	3	0.956205567916644	all_down
PRICKLE2	3	3	0	2	2	2	3	0.9555102040816328	all_up
F2R	3	3	0	2	2	2	3	0.9545775221142888	all_up
ADAMTS19-AS1	3	0	3	2	2	2	3	0.9541496598639456	all_down
LYN	3	3	0	2	2	2	3	0.9535374149659864	all_up
MATN3	3	3	0	2	3	2	3	0.9531292517006804	all_up
ACP6	3	3	0	2	3	2	3	0.9516326303695192	all_up
S100A2	3	3	0	2	3	2	3	0.9515927714766376	all_up
PROS1	3	3	0	2	3	2	3	0.9508913679997036	all_up
CASP4	3	3	0	2	3	2	3	0.9496312219710168	all_up
ATP8A2	3	0	3	2	3	2	3	0.949223527667618	all_down
XKR6	3	3	0	2	2	2	3	0.9491156462585034	all_up
IGF2BP2	3	3	0	2	2	2	3	0.9463830249091008	all_up
MARCKS	3	3	0	2	2	2	3	0.9447619047619048	all_up
FBLIM1	3	3	0	2	3	2	3	0.9443682591453244	all_up
ALCAM	3	3	0	2	3	2	3	0.943940956205568	all_up
FRMD4A	3	0	3	2	2	2	3	0.9438095238095238	all_down
ASPHD2	3	3	0	2	3	2	3	0.9428571428571428	all_up
WNT4	3	3	0	2	3	2	3	0.9424757149834482	all_up
ACOT2	3	0	3	2	3	2	3	0.9420958376295652	all_down
ZC3H12C	3	3	0	2	3	2	3	0.9420332826804048	all_up
PTPRU	3	3	0	2	3	2	3	0.9415646258503402	all_up
ID4	3	3	0	2	3	2	3	0.9413360829217996	all_up
BRINP2	3	0	3	2	3	2	3	0.940921389125681	all_down
BCAR3	3	3	0	2	3	2	3	0.9408472628886996	all_up
SGK3	3	0	3	2	3	2	3	0.9402721088435374	all_down
ABCC3	3	3	0	2	3	2	3	0.9398639455782312	all_up
ISM1	3	3	0	2	3	2	3	0.9394557823129251	all_up
CHSY3	3	3	0	2	3	2	3	0.9385684050577956	all_up
CYP4F22	3	0	3	2	3	2	3	0.9383640339498164	all_down
GPR161	3	3	0	2	2	2	3	0.9380799913170892	all_up
TUSC3	3	3	0	2	3	2	3	0.9359092635806154	all_up
AGAP2	3	0	3	2	2	2	3	0.9355293862267324	all_down
DNMT3B	3	0	3	2	2	2	3	0.9337414965986396	all_down
ZCCHC24	3	3	0	2	2	2	3	0.9326530612244898	all_up
SMPD1	3	3	0	2	3	2	3	0.931904761904762	all_up
EXPH5	3	3	0	2	3	2	3	0.9301568350789602	all_up
LINC01213	3	0	3	2	2	2	3	0.9298312259184892	all_down
TLE2	3	3	0	2	3	2	3	0.928843537414966	all_up
LINC00052	3	0	3	2	3	2	3	0.9281632653061224	all_down
NFATC4	3	0	3	2	2	2	3	0.9262585034013604	all_down
PLCH1	3	0	3	2	3	2	3	0.92578231292517	all_down
TUBA3D	3	0	3	2	2	2	3	0.9227763607749498	all_down
ACVR1	3	3	0	2	3	2	3	0.9224489795918368	all_up
UXS1	3	3	0	2	3	2	3	0.9222448979591836	all_up
CHN1	3	0	3	2	2	2	3	0.9221768707482992	all_down
PTGES	3	0	3	2	3	2	3	0.9218338831029242	all_down
UBE2E3	3	3	0	2	3	2	3	0.9185714285714286	all_up
