RankWithinTherapeuticShortlist	Gene	CRISPR_Effect	CRISPR_FDR	CRISPR_Direction	GSE118713_log2FC	GSE118713_FDR	GSE240112_log2FC	GSE240112_FDR	GSE111151_log2FC	GSE111151_FDR	GSE245601_epi_log2FC	GSE245601_epi_FDR	GSE245601_malignant_log2FC	GSE245601_malignant_FDR	ResistanceDirection	ResistanceSignificantDatasets	HumanSupport	Stability	CandidateArchetype	MainStrength	MainLimitation
	GFRA1	0.626	0.7893	tolerance_associated_KO	-5.165	0.0	-6.512	0.0	-6.407	0.0648	-0.233	0.4591	-0.175	0.8368	all_down	2	significant	DATASET_DEPENDENT	D_RESISTANCE_BIOMARKER_PATHWAY	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	GREB1	-0.353	0.8164	sensitising_KO	-7.145	0.0	-8.12	0.0	-4.641	0.2371	-1.168	0.0402	-1.273	0.4214	all_down	2	significant	MODERATELY_STABLE	D_RESISTANCE_BIOMARKER_PATHWAY	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance
	HLA-DQB1	0.316	0.9204	tolerance_associated_KO	1.42	0.0016	1.878	0.0028	1.959	0.0391	0.048	0.8931	0.367	0.5601	all_up	3	significant	DATASET_DEPENDENT	D_RESISTANCE_BIOMARKER_PATHWAY	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	HMGB1	-1.474	0.0373	sensitising_KO	-0.079	0.7318	-0.155	0.8209	-0.131	0.8027	-0.07	0.8004	0.165	0.764	all_down	0	not_significant	DATASET_DEPENDENT	C_FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	ICK	-1.225	0.0373	sensitising_KO	0.107	0.6633	0.358	0.4406	-0.168	0.6977	-0.089	0.6994	-0.173	0.7177	majority_up	0	not_significant	DATASET_DEPENDENT	C_FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	KDM1A	-2.167	0.0004	sensitising_KO	0.147	0.4938	0.192	0.5916	0.071	0.9059	-0.215	0.3694	-0.362	0.5463	all_up	0	not_significant	DATASET_DEPENDENT	C_FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	LAMB3	0.426	0.7676	tolerance_associated_KO	1.986	0.0001	3.678	0.0036	1.737	0.0215	-0.161	0.4559	-0.058	0.9144	all_up	3	significant	MODERATELY_STABLE	D_RESISTANCE_BIOMARKER_PATHWAY	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	LZTR1	1.458	0.0124	tolerance_associated_KO	1.11	0.0151	0.217	0.6078	0.195	0.7168	0.041	0.9134	-0.021	0.9767	all_up	1	not_significant	DATASET_DEPENDENT	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	CRISPR direction is tolerance-associated, not sensitising
	MBTPS2	1.161	0.1128	tolerance_associated_KO	-0.025	0.9691	-1.259	0.0049	-0.252	0.6861	-0.134	0.6534	-0.109	0.8642	all_down	1	significant	DATASET_DEPENDENT	D_RESISTANCE_BIOMARKER_PATHWAY	1/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	SLC4A10	-0.081	0.9717	sensitising_KO	-1.797	0.0	-4.527	0.0148	-2.313	0.0464					all_down	3	significant	DATASET_DEPENDENT	D_RESISTANCE_BIOMARKER_PATHWAY	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance
	SOX2	1.513	0.0122	tolerance_associated_KO	0.69	0.0093	7.441	0.0001	0.886	0.6319	-0.334	0.6943	-0.366	0.6855	all_up	2	significant	MODERATELY_STABLE	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	CRISPR FDR<0.05; 2/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising
	SPRED2	1.687	0.0783	tolerance_associated_KO	0.405	0.1234	1.085	0.0368	-0.021	0.9779	-0.111	0.5931	0.097	0.8814	majority_up	1	significant	DATASET_DEPENDENT	D_RESISTANCE_BIOMARKER_PATHWAY	CRISPR FDR<0.10; 1/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising
	SPRY4	0.382	0.791	tolerance_associated_KO	5.072	0.0	7.05	0.0	1.803	0.203	-0.15	0.6372	-0.064	0.9295	all_up	2	significant	DATASET_DEPENDENT	D_RESISTANCE_BIOMARKER_PATHWAY	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	SUPT4H1	-1.684	0.0373	sensitising_KO	0.037	0.8935	1.003	0.0765	0.018	0.978	0.07	0.8031	0.278	0.5984	all_up	0	not_significant	DATASET_DEPENDENT	C_FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	SUSD3	0.443	0.7898	tolerance_associated_KO	-3.496	0.0	-15.468	0.0	-3.061	0.0676	-1.018	0.0979	-0.49	0.526	all_down	2	significant	DATASET_DEPENDENT	D_RESISTANCE_BIOMARKER_PATHWAY	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	TADA2B	-2.064	0.0146	sensitising_KO	0.007	0.9846	0.428	0.3801	0.056	0.922	0.07	0.7899	-0.154	0.7845	all_up	0	not_significant	DATASET_DEPENDENT	C_FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	TFAP2C	1.541	0.0482	tolerance_associated_KO	-1.094	0.001	-0.231	0.4609	-0.542	0.376	-0.421	0.1618	-0.195	0.664	all_down	1	not_significant	DATASET_DEPENDENT	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	CRISPR direction is tolerance-associated, not sensitising
	TIPARP	1.126	0.1013	tolerance_associated_KO	-1.001	0.0021	-0.418	0.39	0.186	0.6849	0.026	0.9423	-0.044	0.9435	majority_down	1	not_significant	DATASET_DEPENDENT	D_RESISTANCE_BIOMARKER_PATHWAY	1/3 resistance datasets FDR<0.05	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	TLK2	-1.848	0.0017	sensitising_KO	-0.152	0.6749	0.057	0.8826	0.073	0.8397	-0.036	0.8822	-0.222	0.628	majority_up	0	not_significant	DATASET_DEPENDENT	C_FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	USP17L29	-2.145	0.028	sensitising_KO											insufficient	0	not_significant		C_FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
