gene	candidate_archetype	crispr_effect	crispr_fdr	crispr_sensitising	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	resistance_consensus	gse245601_acute_summary	human_tumor_summary	global_rank	resistance_rank	crispr_screen_rank	leave_one_out_stability	coverage_tier	evidence_category	main_strength	main_weakness
DPP9	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	1.3751072314321586	0.0416851803622835	False	-1.04265717095817	0.0021070783203592	0.109543831770581	0.801863890967389	0.0421912603365501	0.953611308284714	majority_up	epi_fdr=0.971, malig_fdr=0.755	not_significant	1090.0	6836	17	DATASET_DEPENDENT	A	MULTIMODAL_STRONG	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	CRISPR direction is tolerance-associated, not sensitising
VEZF1	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	-1.602445388833546	0.0372575660229722	True	0.426552278550176	0.237500391027449	1.14940832913316	0.0194899399382215	-0.238235372712826	0.607594477564463	majority_up	epi_fdr=0.89, malig_fdr=0.519	significant	1138.0	6962	11	DATASET_DEPENDENT	A	MULTIMODAL_STRONG	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05; human-tumor support	none
LZTR1	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	1.4583532397139498	0.0124208335090964	False	1.11048033871916	0.0151008717779807	0.217133315001067	0.607834367851074	0.195307961266389	0.716808182530627	all_up	epi_fdr=0.913, malig_fdr=0.977	not_significant	1173.0	5309	8	DATASET_DEPENDENT	A	MULTIMODAL_STRONG	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	CRISPR direction is tolerance-associated, not sensitising
CITED2	D_RESISTANCE_BIOMARKER_PATHWAY	-1.4953555271062804	0.109955077591718	True	-0.0712402035096886	0.895048558224723	1.55383256440471	0.0087275396535076	0.692687178856127	0.662311130855006	majority_up	epi_fdr=0.403, malig_fdr=0.937	significant	2073.0	6448	34	DATASET_DEPENDENT	A	RNA_RESISTANCE_CONSENSUS	1/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance
TIPARP	D_RESISTANCE_BIOMARKER_PATHWAY	1.1260406665820897	0.1013040488730637	False	-1.00128783960677	0.0021357317303724	-0.418224626050513	0.389971155523338	0.186273859516678	0.684931769056408	majority_down	epi_fdr=0.942, malig_fdr=0.944	not_significant	2102.0	6483	30	DATASET_DEPENDENT	A	RNA_RESISTANCE_CONSENSUS	1/3 resistance datasets FDR<0.05	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
MBTPS2	D_RESISTANCE_BIOMARKER_PATHWAY	1.1614302745015106	0.1127753613387858	False	-0.0247886094132084	0.969085263589001	-1.25922997831224	0.0048832900213165	-0.251565486522998	0.686053835066969	all_down	epi_fdr=0.653, malig_fdr=0.864	significant	2104.0	4142	38	DATASET_DEPENDENT	A	RNA_RESISTANCE_CONSENSUS	1/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
KDM1A	C_FUNCTIONAL_ONLY	-2.167335634799461	0.0003849877126404	True	0.146667919066447	0.493845720601604	0.191941386609262	0.59163963287314	0.0713993613378379	0.905930650706976	all_up	epi_fdr=0.369, malig_fdr=0.546	not_significant	2241.0	21543	4	DATASET_DEPENDENT	A	FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
SPRED2	D_RESISTANCE_BIOMARKER_PATHWAY	1.6872268467811598	0.0783442627744789	False	0.405154932775937	0.123396149990115	1.0847479479782	0.0367968372932099	-0.0205601860884027	0.977942795685794	majority_up	epi_fdr=0.593, malig_fdr=0.881	significant	2484.0	7120	26	DATASET_DEPENDENT	A	HUMAN_TUMOR_SUPPORTED	CRISPR FDR<0.10; 1/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising
SUPT4H1	C_FUNCTIONAL_ONLY	-1.6837884606622353	0.0372575660229722	True	0.037335300465398	0.893464168113868	1.00349742270902	0.0765239610374908	0.0183645827810597	0.977955507540752	all_up	epi_fdr=0.803, malig_fdr=0.598	not_significant	2518.0	24761	14	DATASET_DEPENDENT	A	FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
EIF4ENIF1	C_FUNCTIONAL_ONLY	-1.5506541534723943	0.0372575660229722	True	0.53145903933498	0.0529761966227399	0.0629475872692003	0.863278728164698	-0.128950200396878	0.72170580070892	majority_up	epi_fdr=0.839, malig_fdr=0.648	not_significant	2536.0	27255	13	DATASET_DEPENDENT	A	FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
ICK	C_FUNCTIONAL_ONLY	-1.2245539921905229	0.0372575660229722	True	0.106733026979587	0.663325990388584	0.358028755494179	0.44062569101796	-0.168093978284892	0.697681709271967	majority_up	epi_fdr=0.699, malig_fdr=0.718	not_significant	2584.0	28826	15	DATASET_DEPENDENT	A	FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
HMGB1	C_FUNCTIONAL_ONLY	-1.4740651006700034	0.0372575660229722	True	-0.0794061555047207	0.731817935481995	-0.154623744509501	0.820887420028315	-0.130515412318803	0.80271652586053	all_down	epi_fdr=0.8, malig_fdr=0.764	not_significant	2690.0	23022	12	DATASET_DEPENDENT	A	FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
TLK2	C_FUNCTIONAL_ONLY	-1.848198303730188	0.0016758310698192	True	-0.151752544851276	0.674943903042664	0.0570763695102118	0.882577720157556	0.0727893622757189	0.839733945674166	majority_up	epi_fdr=0.882, malig_fdr=0.628	not_significant	2726.0	29732	5	DATASET_DEPENDENT	A	FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
TADA2B	C_FUNCTIONAL_ONLY	-2.0643649381530107	0.0145874633758381	True	0.0065434913994528	0.984583852830181	0.427658434315663	0.380115251679473	0.0560617398417958	0.922008042963833	all_up	epi_fdr=0.79, malig_fdr=0.784	not_significant	2729.0	22244	9	DATASET_DEPENDENT	A	FUNCTIONAL_ONLY	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
GABBR2	D_RESISTANCE_BIOMARKER_PATHWAY	0.1842574992020509	0.9285299753064464	False	1.73433298110773	4.61442797506191e-06	4.27267482332268	9.6134739832737e-05	2.8974768927314	0.0390633924740031	all_up	not_testable	significant	11094.0	2	12237	DATASET_DEPENDENT	B	RNA_RESISTANCE_CONSENSUS	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
SLC4A10	D_RESISTANCE_BIOMARKER_PATHWAY	-0.0811186226936495	0.9717213996819616	True	-1.79650886544087	3.17578637831859e-06	-4.52693826974416	0.0148115705577018	-2.31322351738801	0.0463666318039153	all_down	not_testable	significant	11095.0	3	15884	DATASET_DEPENDENT	B	RNA_RESISTANCE_CONSENSUS	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance
USP17L29	C_FUNCTIONAL_ONLY	-2.1448239489713394	0.0280336431249791	True							insufficient	not_testable	not_significant		37490	10		E	LOW_COVERAGE	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
