gene	n_datasets_testable	coverage_tier	max_evidence_percentile	max_percentile_dataset	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_evidence_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile
SPINK13	2	D	0.998776917089804	gse111151_evidence_percentile	0.919275468537326				0.998776917089804
NPAP1	2	D	0.9910677884437196	gse111151_evidence_percentile	0.9757617003455136				0.9910677884437196
