gene	global_rank	coverage_tier	n_datasets_testable	n_datasets_fdr05	n_datasets_nominal_p05	n_datasets_top10pct	n_datasets_top20pct	equal_dataset_mean_percentile	median_evidence_percentile	global_stability_class	global_top20_leave_one_out_appearances	evidence_category	crispr_effect	crispr_p	crispr_fdr	crispr_rank_full_screen	crispr_evidence_percentile	crispr_direction_class	crispr_fdr_lt_005	crispr_fdr_lt_010	crispr_nominal_p_lt_005	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_rank	gse118713_evidence_percentile	gse118713_direction	gse118713_testable	gse118713_secondary_tamr_vs_fasr_log2fc	gse118713_secondary_tamr_vs_fasr_p	gse118713_secondary_tamr_vs_fasr_fdr	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_evidence_percentile	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	gse245601_track_direction_agreement	gse245601_testable	gse245601_one_track_only	gse240112_tumor_log2fc	gse240112_tumor_p	gse240112_tumor_fdr	gse240112_rank	gse240112_evidence_percentile	gse240112_direction	gse240112_testable	gse240112_epi_log2fc	gse240112_track_direction_agreement	gse240112_outlier_fragility	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_rank	gse111151_evidence_percentile	gse111151_direction	gse111151_testable	gse111151_consistent_cell_lines_n	gse111151_consistent_cell_lines_total	resistance_datasets_testable	resistance_fdr05_count	resistance_nominal_p05_count	resistance_up_count	resistance_down_count	resistance_direction_pattern	resistance_direction_consensus	human_tumor_datasets_testable	human_tumor_support_summary	human_tumor_direction_pattern
CUX1	10	A	5	3	4	3	3	0.8269011503786208	0.9071428571428573	MODERATELY_STABLE	6	MULTIMODAL_STRONG	1.2655384098421134	4.945480305157648e-05	0.044987385842584	21	0.9989529892157888	tolerance_associated_KO	True	True	True	-0.899390794469496	7.34075335107767e-05	0.0007915850161576	1366.0	0.9071428571428573	down	True	-0.580034589771422	0.0020312950836269	0.005540506700525	-0.0635570551072721	0.491953793044081	0.80228969354788	0.5683771053081683	-0.253893522732994	0.15024954813718	0.600089163303291	True	True	False	-0.977593527385808	0.0080710346236776	0.0325811667130628	4565.0	0.7523199652683562	down	True	-0.841084624454655	True	False	-0.473959264701485	0.0325238713726489	0.353075674922462	2491.0	0.9077128349579332	down	True	3	4	3	2	3	0	3	DOWN_DOWN_DOWN	all_down	2	GSE245601_epi:down(not_significant); GSE240112_tumor:down(FDR<0.05)	DOWN_DOWN
DPP9	1090	A	5	2	2	1	2	0.4797121864579393	0.2705949912180209	DATASET_DEPENDENT	0	MULTIMODAL_STRONG	1.3751072314321586	3.712159796876289e-05	0.0416851803622835	17	0.9991623913726312	tolerance_associated_KO	True	True	True	-1.04265717095817	0.0002526278697883	0.0021070783203592	1768.0	0.8797959183673469	down	True	0.676227309284662	0.0051463600419648	0.011976425706191	-0.0106261465606046	0.896451481668324	0.971353783178804	0.2705949912180209	0.148474471764936	0.404850898915782	0.755226786100859	False	True	False	0.109543831770581	0.705189268990129	0.801863890967389	16206.0	0.1205839257611114	up	True	0.259616241395649	True	False	0.0421912603365501	0.830870980509648	0.953611308284714	23517.0	0.1284237055705867	up	True	3	4	3	1	1	2	1	DOWN_UP_UP	majority_up	2	GSE245601_epi:down(not_significant); GSE240112_tumor:up(not_significant)	DOWN_UP
LZTR1	1173	A	5	2	2	1	1	0.5405390067150382	0.5613950557799934	DATASET_DEPENDENT	0	MULTIMODAL_STRONG	1.4583532397139498	5.201626345221791e-06	0.0124208335090964	8	0.999633546225526	tolerance_associated_KO	True	True	True	1.11048033871916	0.0031528845375511	0.0151008717779807	3080.0	0.7905442176870748	up	True	-0.116106183698546	0.696984972181785	0.752902083374587	0.0414554130824415	0.733327635841814	0.913396869045545	0.122707387812156	-0.0214265805026217	0.929560186392181	0.976693410940943	False	True	False	0.217133315001067	0.469003520538008	0.607834367851074	14219.0	0.2284148260704401	up	True	0.193111730613412	True	False	0.195307961266389	0.313997212862677	0.716808182530627	11835.0	0.5613950557799934	up	True	3	4	3	1	1	3	0	UP_UP_UP	all_up	2	GSE245601_epi:up(not_significant); GSE240112_tumor:up(not_significant)	UP_UP
SOX2	16	A	5	3	3	2	3	0.803553152124406	0.8161224489795919	MODERATELY_STABLE	4	MULTIMODAL_STRONG	1.5125795984924384	4.4820586915723774e-06	0.012231538169301	7	0.9996858967647366	tolerance_associated_KO	True	True	True	0.689938479322989	0.0017000936290111	0.009274260760025	2704.0	0.8161224489795919	up	True	-1.39377691575381	5.7448054633083e-06	5.3882062872673e-05	-0.334393694467966	0.325538393566868	0.694290309090563	0.5566068612046533	-0.36606170929984	0.28660778883357	0.685540154621828	True	True	False	7.44086437435914	1.00172235696804e-06	5.59971704623335e-05	328.0	0.9822543007543278	up	True	8.83830234730668	True	False	0.885804950531392	0.212743715920636	0.631863307812325	9091.0	0.6630962529187205	up	True	3	4	3	2	2	3	0	UP_UP_UP	all_up	2	GSE245601_epi:down(not_significant); GSE240112_tumor:up(FDR<0.05)	DOWN_UP
TFAP2C	272	A	5	2	4	2	3	0.7809533175600523	0.8959267632778622	DATASET_DEPENDENT	1	MULTIMODAL_STRONG	1.5406554782432211	5.552676879419332e-05	0.0482149029216125	22	0.9989006386765784	tolerance_associated_KO	True	True	True	-1.09359983284206	9.30568358421875e-05	0.0009588641192333	1430.0	0.9027891156462584	down	True	-0.463199077740875	0.0252560878149947	0.0454848684305003	-0.420914341193197	0.0054231292608551	0.161767538996686	0.7946195443407682	-0.194606069003982	0.250542431238718	0.663978154131591	True	True	False	-0.231167140057674	0.316849193739134	0.460880649003454	12669.0	0.3125305258587941	down	True	-0.302529087346468	True	False	-0.541646684135955	0.0390840962961491	0.376029940461807	2809.0	0.8959267632778622	down	True	2	4	3	1	2	0	3	DOWN_DOWN_DOWN	all_down	2	GSE245601_epi:down(not_significant); GSE240112_tumor:down(not_significant)	DOWN_DOWN
USP34	994	A	5	2	2	1	2	0.6716095614238	0.6626885586153219	DATASET_DEPENDENT	0	MULTIMODAL_STRONG	-1.3912980676838431	3.927829380312541e-05	0.0416851803622835	18	0.9991100408334206	sensitising_KO	True	True	True	0.590437436807219	0.0012547294526722	0.0073136129571408	2530.0	0.8279591836734694	up	True	0.0195025681205152	0.887328008643015	0.911804815437693	-0.0334650201061386	0.697302371273304	0.900549578140749	0.3883421214624633	-0.180624008897835	0.315863817029613	0.703086078272564	True	True	False	0.400106644327525	0.118318499553175	0.22750138874853	9584.0	0.4799479025343246	up	True	0.456520297738209	True	False	0.161522475648414	0.213154321288622	0.632236473760328	9102.0	0.6626885586153219	up	True	3	4	3	1	1	3	0	UP_UP_UP	all_up	2	GSE245601_epi:down(not_significant); GSE240112_tumor:up(not_significant)	DOWN_UP
VEZF1	1138	A	5	2	2	1	1	0.7146278105910541	0.6911159704977576	DATASET_DEPENDENT	0	MULTIMODAL_STRONG	-1.602445388833546	2.497000741678817e-05	0.0372575660229722	11	0.9994764946078945	sensitising_KO	True	True	True	0.426552278550176	0.122286724868769	0.237500391027449	7583.0	0.4842176870748299	up	True	1.74439416761153	3.71156119389759e-05	0.0002282310194573	-0.0505827437413172	0.667974993574959	0.890005371824952	0.6040596219990787	-0.436025202244726	0.0215208679721136	0.51885876990854	True	True	False	1.14940832913316	0.0040105194402939	0.0194899399382215	3792.0	0.7942692787757095	up	True	1.17150133098914	True	False	-0.238235372712826	0.187611288174084	0.607594477564463	8335.0	0.6911159704977576	down	True	2	4	3	1	1	2	1	UP_UP_DOWN	majority_up	2	GSE245601_epi:down(not_significant); GSE240112_tumor:up(FDR<0.05)	DOWN_UP
