shortlist_rank	gene	n_datasets_fdr05	gse245601_epi_fdr	gse240112_tumor_fdr	crispr_fdr	human_only_rank
1	GREB1	2	0.0401574753686743	3.02304606892318e-06	0.8163859673702398	1
2	SYTL5	2	0.0157437089245742	4.96960525835713e-06	0.8608009788920408	2
3	MYBL1	2	0.0060870349086419	2.44068810405883e-05	0.9379254633841388	3
4	LARP6	2	0.045806833023983	2.15258880852754e-05	0.8391932743393512	4
5	FGD3	2	0.0159989004639993	3.0244617864617e-05	0.695200490910434	5
