figure_name	variant	scientific_question	analysis_status	post_freeze	render_module	wrapper_script	gse118713_contrast	significance_threshold_fdr	n_significant_candidate_points	shared_xlim	shared_ylim	zoom_xlim	zoom_ylim	coincidence_tol	coincidence_step	n_points_offset	colour_USP34	colour_KDM1A	colour_TLK2	colour_VEZF1	source_gse118713	source_gse111151	source_gse240112	source_gse245601	n_genes_gse118713	n_genes_gse111151	n_genes_gse240112	n_genes_gse245601	sha256_png	sha256_pdf	sha256_svg	sha256_png_deuteranopia_simulation	sha256_png_protanopia_simulation
poster_candidate_volcano_v2_variant_a_genomewide	variant_a_genomewide	How many of the 16 candidate gene-dataset combinations are actually significant?	post_freeze_exploratory	yes	src/poster_candidate_volcano_v2.py	scripts/poster/02b_candidate_volcano_v2.py	TAMR_vs_MCF7	0.05	2	-16.530,16.530	0.000,8.729	-1.5,1.5	0.0,2.5	0.06	0.14	5	#6A3D9A	#D55E00	#009E73	#56B4E9	results/tables/gse118713_differential_expression_unredacted.tsv.gz	results/tables/gse111151/genomewide_de.tsv.gz	results/tables/gse240112_pseudobulk/tumor_cell_genomewide_de.tsv.gz	results/tables/gse245601_pseudobulk/track_a_genomewide_de.tsv.gz	14838	27418	18428	17987	881de2b97017a33aabd7c6517612be8b218c0763d7873089d954dbecef4cac5c	d9d2a714886a80b7dd81f93f4d9cea378b6673d2971c061e128d666cb7c4d317	4dbc68d9be0f90608d06655c826174169c676a7c948587bb7ba93b74b9b8d3de	6b11d6d9d2a77ce254a258494c07a9ed3a82756747d71f2b9cf7f2fe13413bee	101cb176a0aba411fe43d4b549edb92421f79588dfce0da5b7dbf5c9b9c4398b
poster_candidate_volcano_v2_variant_b_candidates_only	variant_b_candidates_only	How many of the 16 candidate gene-dataset combinations are actually significant?	post_freeze_exploratory	yes	src/poster_candidate_volcano_v2.py	scripts/poster/02b_candidate_volcano_v2.py	TAMR_vs_MCF7	0.05	2	-1.500,1.500	0.000,2.500			0.06	0.14	0	#6A3D9A	#D55E00	#009E73	#56B4E9	results/tables/gse118713_differential_expression_unredacted.tsv.gz	results/tables/gse111151/genomewide_de.tsv.gz	results/tables/gse240112_pseudobulk/tumor_cell_genomewide_de.tsv.gz	results/tables/gse245601_pseudobulk/track_a_genomewide_de.tsv.gz	14838	27418	18428	17987	3d7c99fa7f043c5d4e126bcfb43f8c7058da075e4e7d1ba3587497e4dabf59c6	083ebefd2fd1648522a262f6ac3bfcb5ca7bc8236feda42ca5a3a29cf844f0e8	4ef5d60ef13412201c3ea227ffca9480a1c8952d68602397c4b5038366d10aa3	ca2d5c797b5b166f0ce49fa1f46b97218bba83232c90017674395926825df409	c030ee469fbcc9eebea6b7975a3c571af2672182a0b876a062096a4c332f6518
