gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
USP34	all_breast_lines	1021	Axitinib	PDGFR, KIT, VEGFR	RTK signaling	GDSC1	LN_IC50	43	-0.4630021141649049	0.001769368359774021	higher_expression_more_sensitive	0.06959515548444482
USP34	all_breast_lines	1463	AZD1332	NTRK1, NTRK2, NTRK3	RTK signaling	GDSC1	AUC	44	-0.45764622973925295	0.0017873062509346945	higher_expression_more_sensitive	0.12654128256617636
USP34	all_breast_lines	281	Alectinib	ALK	RTK signaling	GDSC1	AUC	44	0.4436927413671599	0.002555092649542361	higher_expression_more_resistant	0.1507504663229993
USP34	all_breast_lines	1613	VE-822	ATR	Genome integrity	GDSC2	AUC	40	-0.4547842401500939	0.003195467035032515	higher_expression_more_sensitive	0.3244497884568459
USP34	all_breast_lines	345	KIN001-270	CDK9	Other	GDSC1	AUC	45	0.4297760210803689	0.0032151152952095466	higher_expression_more_resistant	0.16259297350059707
USP34	all_breast_lines	312	Tivozanib	VEGFR1, VEGFR2, VEGFR3, PDGFR, KIT	RTK signaling	GDSC1	LN_IC50	44	-0.433121916842847	0.0033171008535323983	higher_expression_more_sensitive	0.1174253702150469
USP34	all_breast_lines	1451	PLK_6522	PLK1, PLK2, PLK3	Cell cycle	GDSC1	LN_IC50	42	-0.4371606838991978	0.003793380464631142	higher_expression_more_sensitive	0.11878243772052768
USP34	all_breast_lines	1248	Daporinad	NAMPT	Metabolism	GDSC2	LN_IC50	24	-0.5660869565217391	0.003932855685640969	higher_expression_more_sensitive	0.2798730647995826
USP34	all_breast_lines	1072	Avagacestat	Amyloid beta20, Amyloid beta40	Other	GDSC1	LN_IC50	43	-0.42917547568710357	0.004081556514979443	higher_expression_more_sensitive	0.11878243772052768
USP34	all_breast_lines	1739	JAK_8517	JAK1, JAK2	Other, kinases	GDSC2	AUC	37	-0.4599336178283546	0.004182339309233644	higher_expression_more_sensitive	0.3244497884568459
USP34	all_breast_lines	1128	FS106	CHEK1	Cell cycle	GDSC1	LN_IC50	42	-0.4311644113118872	0.004362066921940282	higher_expression_more_sensitive	0.11878243772052768
USP34	all_breast_lines	1430	IGFR_3801	IGFR1	IGF1R signaling	GDSC1	LN_IC50	44	-0.41818181818181815	0.004731483749014582	higher_expression_more_sensitive	0.11958060808599384
USP34	all_breast_lines	435	C-75	FAS	Apoptosis regulation	GDSC1	LN_IC50	44	-0.41522198731501053	0.005066974918898044	higher_expression_more_sensitive	0.11958060808599384
USP34	all_breast_lines	1051	Alisertib	AURKA	Mitosis	GDSC2	LN_IC50	43	-0.419057686499547	0.005158166515946378	higher_expression_more_sensitive	0.2798730647995826
USP34	all_breast_lines	1786	AZD4547	FGFR1, FGFR2, FGFR3	RTK signaling	GDSC2	LN_IC50	45	-0.4094861660079051	0.005218079638357005	higher_expression_more_sensitive	0.2798730647995826
USP34	all_breast_lines	1096	Tozasertib	AURKA, AURKB, AURKC, others	Mitosis	GDSC2	LN_IC50	43	-0.4143763213530655	0.005734734688921853	higher_expression_more_sensitive	0.2798730647995826
USP34	all_breast_lines	1422	FGFR_3831	FGFR1, FGFR2, FGFR3, FGFR4	RTK signaling	GDSC1	AUC	44	-0.40803382663847776	0.005969267972289899	higher_expression_more_sensitive	0.21318846871808145
USP34	all_breast_lines	206	Ruxolitinib	JAK1, JAK2	Other, kinases	GDSC1	LN_IC50	45	-0.403425559947299	0.0059965766936411705	higher_expression_more_sensitive	0.13076521577117076
USP34	all_breast_lines	1777	GSK2276186C	JAK1, JAK2, JAK3	Other, kinases	GDSC2	LN_IC50	37	-0.44310099573257467	0.006022058014650461	higher_expression_more_sensitive	0.2798730647995826
USP34	all_breast_lines	1061	SB590885	BRAF	ERK MAPK signaling	GDSC1	AUC	42	0.4165788833968074	0.006065072452789661	higher_expression_more_resistant	0.21318846871808145
USP34	all_breast_lines	266	Zibotentan	Endothelin-1 receptor (EDNRA)	Other	GDSC1	AUC	45	0.40237154150197624	0.006141797634296931	higher_expression_more_resistant	0.21318846871808145
USP34	all_breast_lines	406	LIMK1 inhibitor BMS4	LIMK1	Cytoskeleton	GDSC1	LN_IC50	44	-0.4057787174066243	0.006279685503135319	higher_expression_more_sensitive	0.13076521577117076
USP34	all_breast_lines	1179	MK-1775	WEE1, PLK1	Cell cycle	GDSC2	LN_IC50	45	-0.39736495388669296	0.006874075275779222	higher_expression_more_sensitive	0.2798730647995826
USP34	all_breast_lines	263	FR-180204	ERK1, ERK2	ERK MAPK signaling	GDSC1	AUC	45	0.3971014492753623	0.006914627217434286	higher_expression_more_resistant	0.21318846871808145
USP34	all_breast_lines	1030	KU-55933	ATM	Genome integrity	GDSC1	LN_IC50	42	-0.4104205493882182	0.006941339329863743	higher_expression_more_sensitive	0.1365130068206536
USP34	all_breast_lines	366	TWS119	GSK3	WNT signaling	GDSC1	LN_IC50	44	-0.39732205778717405	0.0075717785786998506	higher_expression_more_sensitive	0.13918545930461979
USP34	all_breast_lines	1248	Daporinad	NAMPT	Metabolism	GDSC2	AUC	24	-0.5304347826086956	0.007665625679948606	higher_expression_more_sensitive	0.3244497884568459
USP34	all_breast_lines	271	VNLG/124	HDAC,RAR	Chromatin histone acetylation	GDSC1	AUC	45	0.39183135704874833	0.007770319976774185	higher_expression_more_resistant	0.21318846871808145
USP34	all_breast_lines	1179	MK-1775	WEE1, PLK1	Cell cycle	GDSC2	AUC	45	-0.3914361001317523	0.007838033651150027	higher_expression_more_sensitive	0.3244497884568459
USP34	all_breast_lines	1049	PD173074	FGFR1, FGFR2, FGFR3	RTK signaling	GDSC1	LN_IC50	43	-0.4000302023557838	0.007863585271447445	higher_expression_more_sensitive	0.13918545930461979
USP34	all_breast_lines	2171	BMS-754807	IGF1R, IR	IGF1R signaling	GDSC2	LN_IC50	45	-0.39117259552042155	0.00788345877780766	higher_expression_more_sensitive	0.2808482189593979
