TherapeuticRank	Gene	CRISPR_Effect	CRISPR_FDR	CRISPR_Direction	GSE118713_log2FC	GSE118713_FDR	GSE240112_log2FC	GSE240112_FDR	GSE111151_log2FC	GSE111151_FDR	GSE245601_Acute_log2FC	GSE245601_Acute_FDR	ResistancePattern	FullRNAPattern	ResistanceSigCount	HumanSupport	SampleRobustness	Stability	CandidateClass	FreezeStatus	MainStrength	MainLimitation
	HMGB1	-1.474	0.0373	sensitising_KO	-0.079	0.7318	-0.155	0.8209	-0.131	0.8027	-0.07	0.8004	↓ | ↓ | ↓	↓ | ↓ | ↓ || ↓	0	not_significant	epithelial_track_direction_disagrees; GSE111151 2/4	DATASET_DEPENDENT	FUNCTIONAL_ONLY	sensitising_functional_only_no_rna_support	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	ICK	-1.225	0.0373	sensitising_KO	0.107	0.6633	0.358	0.4406	-0.168	0.6977	-0.089	0.6994	↑ | ↑ | ↓	↑ | ↑ | ↓ || ↓	0	not_significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	FUNCTIONAL_ONLY	sensitising_functional_only_no_rna_support	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	KDM1A	-2.167	0.0004	sensitising_KO	0.147	0.4938	0.192	0.5916	0.071	0.9059	-0.215	0.3694	↑ | ↑ | ↑	↑ | ↑ | ↑ || ↓	0	not_significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	FUNCTIONAL_ONLY	sensitising_functional_only_no_rna_support	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	LAMB3	0.426	0.7676	tolerance_associated_KO	1.986	0.0001	3.678	0.0036	1.737	0.0215	-0.161	0.4559	↑* | ↑* | ↑*	↑* | ↑* | ↑* || ↓	3	significant	epithelial_track_direction_agrees; GSE111151 4/4	MODERATELY_STABLE	RNA_RESISTANCE_CONSENSUS	not_eligible_wrong_crispr_direction	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	LZTR1	1.458	0.0124	tolerance_associated_KO	1.11	0.0151	0.217	0.6078	0.195	0.7168	0.041	0.9134	↑* | ↑ | ↑	↑* | ↑ | ↑ || ↑	1	not_significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	MULTIMODAL_STRONG	not_eligible_wrong_crispr_direction	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	CRISPR direction is tolerance-associated, not sensitising
	MBTPS2	1.161	0.1128	tolerance_associated_KO	-0.025	0.9691	-1.259	0.0049	-0.252	0.6861	-0.134	0.6534	↓ | ↓* | ↓	↓ | ↓* | ↓ || ↓	1	significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	not_eligible_wrong_crispr_direction	1/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	SLC4A10	-0.081	0.9717	sensitising_KO	-1.797	0.0	-4.527	0.0148	-2.313	0.0464			↓* | ↓* | ↓*	↓* | ↓* | ↓* || NA	3	significant	epithelial_track_direction_agrees; GSE111151 4/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	sensitising_sign_but_no_real_crispr_evidence	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance
	SOX2	1.513	0.0122	tolerance_associated_KO	0.69	0.0093	7.441	0.0001	0.886	0.6319	-0.334	0.6943	↑* | ↑* | ↑	↑* | ↑* | ↑ || ↓	2	significant	epithelial_track_direction_agrees; GSE111151 3/4	MODERATELY_STABLE	MULTIMODAL_STRONG	not_eligible_wrong_crispr_direction	CRISPR FDR<0.05; 2/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising
	SPRED2	1.687	0.0783	tolerance_associated_KO	0.405	0.1234	1.085	0.0368	-0.021	0.9779	-0.111	0.5931	↑ | ↑* | ↓	↑ | ↑* | ↓ || ↓	1	significant	epithelial_track_direction_agrees; GSE111151 2/4	DATASET_DEPENDENT	HUMAN_TUMOR_SUPPORTED	not_eligible_wrong_crispr_direction	CRISPR FDR<0.10; 1/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising
	SPRY4	0.382	0.791	tolerance_associated_KO	5.072	0.0	7.05	0.0	1.803	0.203	-0.15	0.6372	↑* | ↑* | ↑	↑* | ↑* | ↑ || ↓	2	significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	not_eligible_wrong_crispr_direction	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	SUPT4H1	-1.684	0.0373	sensitising_KO	0.037	0.8935	1.003	0.0765	0.018	0.978	0.07	0.8031	↑ | ↑ | ↑	↑ | ↑ | ↑ || ↑	0	not_significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	FUNCTIONAL_ONLY	sensitising_functional_only_no_rna_support	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	SUSD3	0.443	0.7898	tolerance_associated_KO	-3.496	0.0	-15.468	0.0	-3.061	0.0676	-1.018	0.0979	↓* | ↓* | ↓	↓* | ↓* | ↓ || ↓	2	significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	not_eligible_wrong_crispr_direction	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	TADA2B	-2.064	0.0146	sensitising_KO	0.007	0.9846	0.428	0.3801	0.056	0.922	0.07	0.7899	↑ | ↑ | ↑	↑ | ↑ | ↑ || ↑	0	not_significant	epithelial_track_direction_agrees; GSE111151 2/4	DATASET_DEPENDENT	FUNCTIONAL_ONLY	sensitising_functional_only_no_rna_support	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	TFAP2C	1.541	0.0482	tolerance_associated_KO	-1.094	0.001	-0.231	0.4609	-0.542	0.376	-0.421	0.1618	↓* | ↓ | ↓	↓* | ↓ | ↓ || ↓	1	not_significant	epithelial_track_direction_agrees; GSE111151 2/4	DATASET_DEPENDENT	MULTIMODAL_STRONG	not_eligible_wrong_crispr_direction	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	CRISPR direction is tolerance-associated, not sensitising
	TIPARP	1.126	0.1013	tolerance_associated_KO	-1.001	0.0021	-0.418	0.39	0.186	0.6849	0.026	0.9423	↓* | ↓ | ↑	↓* | ↓ | ↑ || ↑	1	not_significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	not_eligible_wrong_crispr_direction	1/3 resistance datasets FDR<0.05	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	TLK2	-1.848	0.0017	sensitising_KO	-0.152	0.6749	0.057	0.8826	0.073	0.8397	-0.036	0.8822	↓ | ↑ | ↑	↓ | ↑ | ↑ || ↓	0	not_significant	epithelial_track_direction_agrees; GSE111151 4/4	DATASET_DEPENDENT	FUNCTIONAL_ONLY	sensitising_functional_only_no_rna_support	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	USP17L29	-2.145	0.028	sensitising_KO									NA | NA | NA	NA | NA | NA || NA	0	not_significant	epithelial_track_direction_agrees; GSE111151 not_computed		LOW_COVERAGE	sensitising_functional_only_no_rna_support	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
