gene	candidate_class	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_sensitising_yes_no	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_direction	gse118713_significant	gse240112_log2fc	gse240112_p	gse240112_fdr	gse240112_direction	gse240112_significant	gse240112_sample_robustness	gse240112_outlier_warning	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_direction	gse111151_significant	gse111151_cell_line_consistency	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	acute_summary_direction	acute_significance_summary	resistance_pattern_3	full_rna_pattern_4	resistance_fdr05_count	resistance_nominal_p05_count	resistance_direction_consistency	human_tumor_support	global_rank	resistance_rank	crispr_rank	ranking_stability	crispr_direction_supports_inhibition_strategy	main_strength	main_limitation	eligible_for_freeze	ineligibility_reason	freeze_shortlisted	freeze_shortlist_rank
HLA-DQB1	RNA_RESISTANCE_CONSENSUS	0.3161325155560064	0.5523489878220377	0.92039532339481	tolerance_associated_KO	False	1.42040464062219	0.0001724145099827	0.0015561353400998	up	True	1.87792948687874	0.0002801767529543	0.0027713887297057	up	True	epithelial_track_direction_agrees	False	1.95897568565374	4.29419240447451e-05	0.0390633924740031	up	True	4/4	0.048426387187672	0.677880307128062	0.893122827972608	0.366800396438443	0.0794633136516907	0.560098840484709	↑	track_A_not_significant, track_B_not_significant	↑* | ↑* | ↑*	↑* | ↑* | ↑* || ↑	3	3	all_up	significant	20.0	6	11464	DATASET_DEPENDENT	False	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
SUSD3	RNA_RESISTANCE_CONSENSUS	0.4434842670516028	0.1594380581654697	0.7898456056467551	tolerance_associated_KO	False	-3.49583799597967	2.23972235544394e-07	9.68892137320034e-06	down	True	-15.4681824314526	1.59456635877779e-08	5.64890743493613e-06	down	True	epithelial_track_direction_agrees	False	-3.06066943455664	0.0001677160224886	0.0676240868322766	down	False	3/4	-1.01808681520583	0.0016438445299628	0.0979067270213299	-0.489780252569253	0.0295409761574511	0.525968044185068	↓	track_A_not_significant, track_B_not_significant	↓* | ↓* | ↓	↓* | ↓* | ↓ || ↓	2	3	all_down	significant	31.0	10	3854	DATASET_DEPENDENT	False	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
GFRA1	RNA_RESISTANCE_CONSENSUS	0.6260486171656119	0.1545930775281771	0.7893096654426276	tolerance_associated_KO	False	-5.16472990661696	6.37237052514868e-12	1.05059148724618e-08	down	True	-6.51163795906791	1.92733277859046e-07	2.17061711993829e-05	down	True	epithelial_track_direction_agrees	False	-6.40699623334473	0.0001535743562726	0.0647800261582162	down	False	4/4	-0.232692036062798	0.103312655202453	0.459121539555547	-0.174709120626048	0.553837669799295	0.836821780079378	↓	track_A_not_significant, track_B_not_significant	↓* | ↓* | ↓	↓* | ↓* | ↓ || ↓	2	3	all_down	significant	49.0	9	3733	DATASET_DEPENDENT	False	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
SPRY4	RNA_RESISTANCE_CONSENSUS	0.3824885303119218	0.1665548019922584	0.7909727675032434	tolerance_associated_KO	False	5.07151582384541	6.798552811071579e-11	4.06453741983047e-08	up	True	7.05023058575436	6.45962587666287e-09	3.67892643880068e-06	up	True	epithelial_track_direction_agrees	False	1.80310779729195	0.0053532277983257	0.202998506987195	up	False	3/4	-0.149855038616583	0.259015305580603	0.637236043754366	-0.0643749201672236	0.790016328541764	0.929474358191842	↓	track_A_not_significant, track_B_not_significant	↑* | ↑* | ↑	↑* | ↑* | ↑ || ↓	2	3	all_up	significant	99.0	8	4010	DATASET_DEPENDENT	False	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
TFAP2C	MULTIMODAL_STRONG	1.5406554782432211	5.552676879419332e-05	0.0482149029216125	tolerance_associated_KO	False	-1.09359983284206	9.30568358421875e-05	0.0009588641192333	down	True	-0.231167140057674	0.316849193739134	0.460880649003454	down	False	epithelial_track_direction_agrees	False	-0.541646684135955	0.0390840962961491	0.376029940461807	down	False	2/4	-0.420914341193197	0.0054231292608551	0.161767538996686	-0.194606069003982	0.250542431238718	0.663978154131591	↓	track_A_not_significant, track_B_not_significant	↓* | ↓ | ↓	↓* | ↓ | ↓ || ↓	1	2	all_down	not_significant	272.0	1892	22	DATASET_DEPENDENT	False	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
DPP9	MULTIMODAL_STRONG	1.3751072314321586	3.712159796876289e-05	0.0416851803622835	tolerance_associated_KO	False	-1.04265717095817	0.0002526278697883	0.0021070783203592	down	True	0.109543831770581	0.705189268990129	0.801863890967389	up	False	epithelial_track_direction_agrees	False	0.0421912603365501	0.830870980509648	0.953611308284714	up	False	3/4	-0.0106261465606046	0.896451481668324	0.971353783178804	0.148474471764936	0.404850898915782	0.755226786100859	↓	track_A_not_significant, track_B_not_significant	↓* | ↑ | ↑	↓* | ↑ | ↑ || ↓	1	1	majority_up	not_significant	1090.0	6836	17	DATASET_DEPENDENT	False	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
LZTR1	MULTIMODAL_STRONG	1.4583532397139498	5.201626345221791e-06	0.0124208335090964	tolerance_associated_KO	False	1.11048033871916	0.0031528845375511	0.0151008717779807	up	True	0.217133315001067	0.469003520538008	0.607834367851074	up	False	epithelial_track_direction_agrees	False	0.195307961266389	0.313997212862677	0.716808182530627	up	False	3/4	0.0414554130824415	0.733327635841814	0.913396869045545	-0.0214265805026217	0.929560186392181	0.976693410940943	↑	track_A_not_significant, track_B_not_significant	↑* | ↑ | ↑	↑* | ↑ | ↑ || ↑	1	1	all_up	not_significant	1173.0	5309	8	DATASET_DEPENDENT	False	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
TIPARP	RNA_RESISTANCE_CONSENSUS	1.1260406665820897	0.0001590913189651	0.1013040488730637	tolerance_associated_KO	False	-1.00128783960677	0.0002575026328101	0.0021357317303724	down	True	-0.418224626050513	0.250747135977645	0.389971155523338	down	False	epithelial_track_direction_agrees	False	0.186273859516678	0.269887652292744	0.684931769056408	up	False	3/4	0.0264469268236269	0.814959293242919	0.942316328590922	-0.0444727951333042	0.826527882294449	0.943524047451248	↑	track_A_not_significant, track_B_not_significant	↓* | ↓ | ↑	↓* | ↓ | ↑ || ↑	1	1	majority_down	not_significant	2102.0	6483	30	DATASET_DEPENDENT	False	1/3 resistance datasets FDR<0.05	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
MBTPS2	RNA_RESISTANCE_CONSENSUS	1.1614302745015106	0.0002243345930416	0.1127753613387858	tolerance_associated_KO	False	-0.0247886094132084	0.940805581749532	0.969085263589001	down	False	-1.25922997831224	0.0006174335657514	0.0048832900213165	down	True	epithelial_track_direction_agrees	False	-0.251565486522998	0.271338820755205	0.686053835066969	down	False	3/4	-0.133590615173607	0.275777829314446	0.653387607599525	-0.109000625015115	0.615224575529128	0.864206939969632	↓	track_A_not_significant, track_B_not_significant	↓ | ↓* | ↓	↓ | ↓* | ↓ || ↓	1	1	all_down	significant	2104.0	4142	38	DATASET_DEPENDENT	False	1/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
KDM1A	FUNCTIONAL_ONLY	-2.167335634799461	8.061303724868798e-08	0.0003849877126404	sensitising_KO	True	0.146667919066447	0.340762443520025	0.493845720601604	up	False	0.191941386609262	0.451435037867876	0.59163963287314	up	False	epithelial_track_direction_agrees	False	0.0713993613378379	0.68504690338252	0.905930650706976	up	False	3/4	-0.215079883472444	0.0543061699862238	0.369442163215661	-0.362291502794021	0.0504392838528707	0.546271051771107	↓	track_A_not_significant, track_B_not_significant	↑ | ↑ | ↑	↑ | ↑ | ↑ || ↓	0	0	all_up	not_significant	2241.0	21543	4	DATASET_DEPENDENT	True	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05	False	no resistance-RNA dataset FDR<0.05 and no significant human-tumor support (functional-only -- see List C instead)	False	
