gene	dataset	metric	freeze_value	source_file	source_value	match
EML5	gse245601_track_b	log2fc		gse245601_pseudobulk/track_b_genomewide_de.tsv.gz (gene not in filterByExpr-tested set)		True
CITED2	crispr	effect	-1.4953555271062804	data/processed/labels.parquet	-1.4953555271062804	True
CITED2	crispr	p_value	0.0001957008133862	data/processed/labels.parquet	0.00019570081338629602	True
CITED2	crispr	fdr	0.109955077591718	data/processed/labels.parquet	0.10995507759171802	True
CITED2	gse118713	log2fc	-0.0712402035096886	gse118713_differential_expression_unredacted.tsv.gz[TAMR_vs_MCF7]	-0.0712402035096886	True
CITED2	gse118713	p_value	0.827083171330202	gse118713_differential_expression_unredacted.tsv.gz[TAMR_vs_MCF7]	0.827083171330202	True
CITED2	gse118713	fdr	0.895048558224723	gse118713_differential_expression_unredacted.tsv.gz[TAMR_vs_MCF7]	0.895048558224723	True
CITED2	gse240112_tumor	log2fc	1.55383256440471	gse240112_pseudobulk/tumor_cell_genomewide_de.tsv.gz	1.55383256440471	True
CITED2	gse240112_tumor	p_value	0.0013388731604333	gse240112_pseudobulk/tumor_cell_genomewide_de.tsv.gz	0.0013388731604333	True
CITED2	gse240112_tumor	fdr	0.0087275396535076	gse240112_pseudobulk/tumor_cell_genomewide_de.tsv.gz	0.0087275396535076	True
CITED2	gse111151	log2fc	0.692687178856127	gse111151/genomewide_de.tsv.gz	0.692687178856127	True
CITED2	gse111151	p_value	0.244471168774896	gse111151/genomewide_de.tsv.gz	0.244471168774896	True
CITED2	gse111151	fdr	0.662311130855006	gse111151/genomewide_de.tsv.gz	0.662311130855006	True
CITED2	gse245601_track_a	log2fc	0.19690414713124	gse245601_pseudobulk/track_a_genomewide_de.tsv.gz	0.19690414713124	True
CITED2	gse245601_track_a	p_value	0.070506161673923	gse245601_pseudobulk/track_a_genomewide_de.tsv.gz	0.070506161673923	True
CITED2	gse245601_track_a	fdr	0.402857156934197	gse245601_pseudobulk/track_a_genomewide_de.tsv.gz	0.402857156934197	True
CITED2	gse245601_track_b	log2fc	0.046714761965582	gse245601_pseudobulk/track_b_genomewide_de.tsv.gz	0.046714761965582	True
CITED2	gse245601_track_b	p_value	0.806113319999418	gse245601_pseudobulk/track_b_genomewide_de.tsv.gz	0.806113319999418	True
CITED2	gse245601_track_b	fdr	0.936726651731093	gse245601_pseudobulk/track_b_genomewide_de.tsv.gz	0.936726651731093	True
