analysis_status	vision	gene_a	gene_b	delta_e76	delta_L
post_freeze_exploratory	normal	KDM1A	TLK2	102.40895594653645	3.549125462154066
post_freeze_exploratory	normal	KDM1A	USP34	108.59881212913184	18.723442239434902
post_freeze_exploratory	normal	KDM1A	VEZF1	113.63956014013147	15.632623246868604
post_freeze_exploratory	normal	TLK2	USP34	103.91041901589723	22.27256770158897
post_freeze_exploratory	normal	TLK2	VEZF1	59.51033207133067	12.083497784714538
post_freeze_exploratory	normal	USP34	VEZF1	61.87226486749996	34.35606548630351
post_freeze_exploratory	protanopia	KDM1A	TLK2	37.18041319339114	12.8675523108382
post_freeze_exploratory	protanopia	KDM1A	USP34	101.27119803384055	12.229712714127231
post_freeze_exploratory	protanopia	KDM1A	VEZF1	88.70538054847881	25.52548005009826
post_freeze_exploratory	protanopia	TLK2	USP34	70.45967747091203	25.09726502496543
post_freeze_exploratory	protanopia	TLK2	VEZF1	51.73261915350216	12.65792773926006
post_freeze_exploratory	protanopia	USP34	VEZF1	40.93409517917607	37.75519276422549
post_freeze_exploratory	deuteranopia	KDM1A	TLK2	53.34671705452805	2.15316575651687
post_freeze_exploratory	deuteranopia	KDM1A	USP34	107.78684778466297	22.201792064448014
post_freeze_exploratory	deuteranopia	KDM1A	VEZF1	101.05865869116823	9.68279424946978
post_freeze_exploratory	deuteranopia	TLK2	USP34	56.08386352514226	20.048626307931144
post_freeze_exploratory	deuteranopia	TLK2	VEZF1	48.86435840576499	11.83596000598665
post_freeze_exploratory	deuteranopia	USP34	VEZF1	32.29851279419929	31.884586313917794
