source_gene	target_gene	interaction_type	database_source	confidence	pathway	evidence_notes
EPAS1	CITED2	functional_association	STRING	0.79		combined_score=0.790; escore=0.000; dscore=0.400; STRING network_type=physical membership=False
EPAS1	SMAD3	functional_association	STRING	0.801		combined_score=0.801; escore=0.598; dscore=0.000; STRING network_type=physical membership=False
EPAS1	SOX2	functional_association	STRING	0.874		combined_score=0.874; escore=0.095; dscore=0.750; STRING network_type=physical membership=False
EPAS1	HIF1A	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.331; dscore=0.900; STRING network_type=physical membership=True
LEF1	MSX1	functional_association	STRING	0.829		combined_score=0.829; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
LEF1	SMAD3	physical_PPI	STRING	0.978		combined_score=0.978; escore=0.540; dscore=0.000; STRING network_type=physical membership=True
LEF1	CTNNB1	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.996; dscore=0.900; STRING network_type=physical membership=True
TP53	HEY1	functional_association	STRING	0.703		combined_score=0.703; escore=0.510; dscore=0.000; STRING network_type=physical membership=False
TP53	KDM6A	functional_association	STRING	0.71		combined_score=0.710; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
TP53	CITED2	functional_association	STRING	0.723		combined_score=0.723; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	BUB1B	functional_association	STRING	0.745		combined_score=0.745; escore=0.164; dscore=0.000; STRING network_type=physical membership=False
TP53	NF2	functional_association	STRING	0.773		combined_score=0.773; escore=0.185; dscore=0.000; STRING network_type=physical membership=False
TP53	NF1	functional_association	STRING	0.88		combined_score=0.880; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	SOX2	functional_association	STRING	0.883		combined_score=0.883; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	SRC	functional_association	STRING	0.884		combined_score=0.884; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
TP53	FOXO1	functional_association	STRING	0.886		combined_score=0.886; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	PSMC5	physical_PPI	STRING	0.903		combined_score=0.903; escore=0.510; dscore=0.400; STRING network_type=physical membership=True
TP53	TFAP2A	physical_PPI	STRING	0.913		combined_score=0.913; escore=0.510; dscore=0.000; STRING network_type=physical membership=True
TP53	UBC	functional_association	STRING	0.921		combined_score=0.921; escore=0.653; dscore=0.500; STRING network_type=physical membership=False
TP53	CTNNB1	functional_association	STRING	0.927		combined_score=0.927; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	BIRC5	functional_association	STRING	0.93		combined_score=0.930; escore=0.000; dscore=0.750; STRING network_type=physical membership=False
TP53	ERBB2	functional_association	STRING	0.935		combined_score=0.935; escore=0.172; dscore=0.000; STRING network_type=physical membership=False
TP53	KDM1A	functional_association	STRING	0.941		combined_score=0.941; escore=0.726; dscore=0.500; STRING network_type=physical membership=False
TP53	PPARG	functional_association	STRING	0.949		combined_score=0.949; escore=0.305; dscore=0.500; STRING network_type=physical membership=False
TP53	SMAD3	physical_PPI	STRING	0.963		combined_score=0.963; escore=0.469; dscore=0.000; STRING network_type=physical membership=True
TP53	RPS27A	functional_association	STRING	0.971		combined_score=0.971; escore=0.923; dscore=0.500; STRING network_type=physical membership=False
TP53	PLK1	physical_PPI	STRING	0.981		combined_score=0.981; escore=0.737; dscore=0.000; STRING network_type=physical membership=True
TP53	WT1	physical_PPI	STRING	0.983		combined_score=0.983; escore=0.626; dscore=0.000; STRING network_type=physical membership=True
TP53	FOXO3	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.776; dscore=0.000; STRING network_type=physical membership=True
TP53	HIF1A	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.847; dscore=0.000; STRING network_type=physical membership=True
TP53	PTEN	functional_association	STRING	0.999		combined_score=0.999; escore=0.748; dscore=0.900; STRING network_type=physical membership=False
ERBB2	BIRC5	functional_association	STRING	0.7		combined_score=0.700; escore=0.130; dscore=0.000; STRING network_type=physical membership=False
ERBB2	FN1	functional_association	STRING	0.724		combined_score=0.724; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
ERBB2	NF2	functional_association	STRING	0.734		combined_score=0.734; escore=0.199; dscore=0.000; STRING network_type=physical membership=False
ERBB2	FGFR1	functional_association	STRING	0.737		combined_score=0.737; escore=0.621; dscore=0.000; STRING network_type=physical membership=False
ERBB2	RPS27A	functional_association	STRING	0.743		combined_score=0.743; escore=0.311; dscore=0.500; STRING network_type=physical membership=False
ERBB2	EFNA1	functional_association	STRING	0.754		combined_score=0.754; escore=0.000; dscore=0.650; STRING network_type=physical membership=False
ERBB2	NF1	functional_association	STRING	0.771		combined_score=0.771; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
ERBB2	PTEN	functional_association	STRING	0.868		combined_score=0.868; escore=0.070; dscore=0.000; STRING network_type=physical membership=False
ERBB2	CTNNB1	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.662; dscore=0.900; STRING network_type=physical membership=True
ERBB2	SRC	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.850; dscore=0.900; STRING network_type=physical membership=True
RPS27A	CTNNB1	functional_association	STRING	0.735		combined_score=0.735; escore=0.381; dscore=0.500; STRING network_type=physical membership=False
RPS27A	PTEN	functional_association	STRING	0.752		combined_score=0.752; escore=0.467; dscore=0.500; STRING network_type=physical membership=False
RPS27A	PSMC5	physical_PPI	STRING	0.975		combined_score=0.975; escore=0.915; dscore=0.500; STRING network_type=physical membership=True
RPS27A	PSMC3	physical_PPI	STRING	0.975		combined_score=0.975; escore=0.935; dscore=0.500; STRING network_type=physical membership=True
RPS27A	UBC	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.986; dscore=0.900; STRING network_type=physical membership=True
BUB1B	PCGF2	physical_PPI	STRING	0.729		combined_score=0.729; escore=0.000; dscore=0.720; STRING network_type=physical membership=True
BUB1B	BIRC5	functional_association	STRING	0.987		combined_score=0.987; escore=0.095; dscore=0.500; STRING network_type=physical membership=False
BUB1B	CCNB2	physical_PPI	STRING	0.993		combined_score=0.993; escore=0.279; dscore=0.400; STRING network_type=physical membership=True
BUB1B	PLK1	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.845; dscore=0.720; STRING network_type=physical membership=True
PPARG	SRC	functional_association	STRING	0.736		combined_score=0.736; escore=0.071; dscore=0.000; STRING network_type=physical membership=False
PPARG	PTEN	functional_association	STRING	0.83		combined_score=0.830; escore=0.046; dscore=0.000; STRING network_type=physical membership=False
PPARG	HIF1A	functional_association	STRING	0.854		combined_score=0.854; escore=0.071; dscore=0.000; STRING network_type=physical membership=False
PPARG	FOXO1	functional_association	STRING	0.856		combined_score=0.856; escore=0.054; dscore=0.000; STRING network_type=physical membership=False
PPARG	SMAD3	physical_PPI	STRING	0.95		combined_score=0.950; escore=0.512; dscore=0.000; STRING network_type=physical membership=True
PPARG	CTNNB1	physical_PPI	STRING	0.994		combined_score=0.994; escore=0.735; dscore=0.000; STRING network_type=physical membership=True
CCNB2	BIRC5	functional_association	STRING	0.993		combined_score=0.993; escore=0.098; dscore=0.400; STRING network_type=physical membership=False
CCNB2	PLK1	functional_association	STRING	0.995		combined_score=0.995; escore=0.278; dscore=0.900; STRING network_type=physical membership=False
PLK1	FOXO3	functional_association	STRING	0.727		combined_score=0.727; escore=0.372; dscore=0.000; STRING network_type=physical membership=False
PLK1	CTNNB1	functional_association	STRING	0.759		combined_score=0.759; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
PLK1	PTEN	functional_association	STRING	0.87		combined_score=0.870; escore=0.571; dscore=0.000; STRING network_type=physical membership=False
PLK1	SMC3	functional_association	STRING	0.915		combined_score=0.915; escore=0.641; dscore=0.500; STRING network_type=physical membership=False
PLK1	BIRC5	functional_association	STRING	0.98		combined_score=0.980; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
PSMC5	UBC	physical_PPI	STRING	0.967		combined_score=0.967; escore=0.920; dscore=0.500; STRING network_type=physical membership=True
PSMC5	PSMC3	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.998; dscore=0.720; STRING network_type=physical membership=True
SOX2	KDM1A	functional_association	STRING	0.727		combined_score=0.727; escore=0.420; dscore=0.000; STRING network_type=physical membership=False
SOX2	PTEN	functional_association	STRING	0.743		combined_score=0.743; escore=0.045; dscore=0.000; STRING network_type=physical membership=False
SOX2	HIF1A	functional_association	STRING	0.758		combined_score=0.758; escore=0.095; dscore=0.400; STRING network_type=physical membership=False
SOX2	KDM6A	functional_association	STRING	0.79		combined_score=0.790; escore=0.430; dscore=0.000; STRING network_type=physical membership=False
SOX2	SMAD3	physical_PPI	STRING	0.929		combined_score=0.929; escore=0.059; dscore=0.800; STRING network_type=physical membership=True
SOX2	CTNNB1	physical_PPI	STRING	0.991		combined_score=0.991; escore=0.627; dscore=0.500; STRING network_type=physical membership=True
