population	condition	n_cells	pct_expressing	mean_expression	median_expression
all_epithelial	Control	14987	62.27397077467138	0.4422677221529673	0.435999366516417
all_epithelial	Tamoxifen	14188	64.06117846067099	0.445252738482219	0.4535438186963975
malignant	Control	648	84.25925925925925	0.5779294474147216	0.5822211482752805
malignant	Tamoxifen	1091	79.10174152153986	0.4538442178827763	0.425345922105796
nonmalignant	Control	14339	61.28042401841133	0.4361369739857578	0.425505157452609
nonmalignant	Tamoxifen	13097	62.80827670458884	0.4445370551939844	0.456625284080901
