gene	node_class	node_category_raw	crispr_effect	crispr_fdr	crispr_direction	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	resistance_pattern	pathways_supported	number_consensus_pathways	human_tumor_support	candidate_connection_count	subnetwork_role
EP300	candidate_partner	candidate_string_partner	-0.5643086933317267	0.6009826181172715	nonsignificant_sensitising_direction	0.102286244397691	0.78425803932485	0.65590510190885	0.0421615383852104	0.0844410079597948	0.857510120715073	-0.059754915740188	0.842311852421359	consistent_up_(1/3_significant)	go_bp:GOBP_BODY_MORPHOGENESIS;go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_FACE_MORPHOGENESIS;go_bp:GOBP_FAT_CELL_DIFFERENTIATION	17	True	1	direct_partner
EPAS1	candidate_partner	candidate_string_partner	0.149728728535667	0.9243328570351124	nonsignificant_tolerance_direction	5.9473037686576	6.14437686554197e-08	7.49755691339593	5.33238730658102e-05	1.54018987568339	0.0163651497737581	0.0142550208886947	0.967437750215697	consistent_up_(3/3_significant)	go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BLOOD_VESSEL_REMODELING;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CIRCULATORY_SYSTEM_PROCESS;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT	14	True	1	direct_partner
ERBB2	leading_edge	resistance_leading_edge	-0.2668258270894617	0.9069837166072832	nonsignificant_sensitising_direction	0.848569376307428	0.0216689648544955	1.33757496221895	0.0220418683575731	0.414408403398424	0.372124837275554	-0.123307570459658	0.555235564647763	consistent_up_(2/3_significant)	go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_ENSHEATHMENT_OF_NEURONS	30	True	1	direct_partner
FGFR1	leading_edge	resistance_leading_edge	0.4890075673028571	0.8634975052990252	nonsignificant_tolerance_direction	0.923530201505312	0.102101741763769	0.402079194208412	0.174582324289311	0.617165079407847	0.219031968694951	0.111897531232975	0.655296506431637	no_significant_resistance_dataset	go_bp:GOBP_ALCOHOL_METABOLIC_PROCESS;go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_CHEMOTAXIS	65	False	0	second_degree_connector
FN1	leading_edge	resistance_leading_edge	-0.7221835494319304	0.7616616496167914	nonsignificant_sensitising_direction	5.25040565096158	2.96121328551601e-07	5.21105140386651	8.35030397451841e-06	0.867910688913234	0.538708656009892	0.0302756372233592	0.970847895494758	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CELL_MATRIX_ADHESION	38	True	0	second_degree_connector
FOXO1	candidate_partner	candidate_string_partner	-0.1272209624010969	0.9442246511467666	nonsignificant_sensitising_direction	2.66715717981243	2.76217969499909e-06	3.58381371558774	0.00045299099974	0.525394470250876	0.505978551961213	-0.041849684263119	0.9299719940764	consistent_up_(2/3_significant)	go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_FAT_CELL_DIFFERENTIATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION	17	True	1	direct_partner
FOXO3	candidate_partner	candidate_string_partner	-0.4099075350920937	0.8014286065646663	nonsignificant_sensitising_direction	-0.504411965808942	0.019673508616579	0.298670506441298	0.587058967979126	0.0369764389258673	0.959085529096633	0.318858535986811	0.202572901985618	consistent_down_(1/3_significant)	reactome:REACTOME_ESR_MEDIATED_SIGNALING	1	False	1	direct_partner
HEY1	leading_edge	resistance_leading_edge	0.2248013370832087	0.8952454886459621	nonsignificant_tolerance_direction	4.36847814689592	2.65154115887905e-08	4.63545496334256	4.22359275294786e-05	0.830183239552148	0.600108469138044	0.157756249638227	0.68133661153299	consistent_up_(2/3_significant)	go_bp:GOBP_AORTA_DEVELOPMENT;go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT	34	True	0	second_degree_connector
HIF1A	multiple	candidate_string_partner,resistance_leading_edge	0.0887308591190914	0.9654441649938414	nonsignificant_tolerance_direction	0.828242331087186	0.0366703143013568	0.967752553503101	0.0293158774857775	0.441257026094293	0.416092518520692	-0.202331711216874	0.400954661301576	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT	67	True	1	direct_partner
ID2	leading_edge	resistance_leading_edge	-0.5492622333985482	0.7302457007496828	nonsignificant_sensitising_direction	1.09628033173117	0.0067148185153037	2.06423851082505	0.0006480490044291	0.377934436914111	0.70410226237633	0.149562878694826	0.429992853241014	consistent_up_(2/3_significant)	go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CIRCULATORY_SYSTEM_PROCESS;go_bp:GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT	34	True	0	second_degree_connector
JAG1	leading_edge	resistance_leading_edge	-0.0391026032930152	0.986290543790328	nonsignificant_sensitising_direction	2.12356836073787	0.0002542741156055	5.83759530365689	3.67882575298203e-05	1.83248048017823	0.243370597154944	-0.173627754190477	0.510963851300167	consistent_up_(2/3_significant)	go_bp:GOBP_AORTA_DEVELOPMENT;go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BLOOD_VESSEL_REMODELING;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT	49	True	0	second_degree_connector
KDM1A	crispr_sensitiser	crispr_sensitiser	-2.167335634799461	0.0003849877126404	sensitising_KO	0.146667919066447	0.493845720601604	0.191941386609262	0.59163963287314	0.0713993613378379	0.905930650706976	-0.215079883472444	0.369442163215661	no_significant_resistance_dataset		0	False	0	second_degree_connector
KDM6A	crispr_tolerance_associated	crispr_tolerance	2.259563025014412	0.0416851803622835	tolerance_associated_KO	0.146645780508053	0.562375182137919	-0.765218640697598	0.0653450874850723	-0.0596763294180115	0.93337430929085	0.0690162504334836	0.879460304344877	no_significant_resistance_dataset		0	False	0	second_degree_connector
KMT2C	crispr_tolerance_associated	crispr_tolerance	1.683754395316134	0.0052539443921356	tolerance_associated_KO	0.0353127981755366	0.925860041774026	-0.539610144682292	0.185781857435356	-0.146890307562346	0.802049984655759	0.0048690635820431	0.989334782494376	no_significant_resistance_dataset		0	False	0	second_degree_connector
LEF1	leading_edge	resistance_leading_edge	0.2106001627157754	0.8913286382355223	nonsignificant_tolerance_direction	1.46028447588646	3.39143291956104e-05	5.7625925776954	2.15249326405769e-05	0.912386794052305	0.557758736798268	-0.464764417707927	0.259861700035894	consistent_up_(2/3_significant)	go_bp:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BODY_MORPHOGENESIS;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	52	True	0	second_degree_connector
