gene	node_class	node_category_raw	crispr_effect	crispr_fdr	crispr_direction	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	resistance_pattern	pathways_supported	number_consensus_pathways	human_tumor_support	candidate_connection_count
CCNB2	resistance_gene	multimodal_pathway_driver	0.2543927245492963	0.8440858568440535	nonsignificant_tolerance_direction	-0.459045002456817	0.0792542144114215	-1.60607877628004	0.076905873133373	-0.451310864839405	0.58495973894617	0.0843209864939565	0.934146449539965	no_significant_resistance_dataset	go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;hallmark:HALLMARK_E2F_TARGETS;hallmark:HALLMARK_G2M_CHECKPOINT;reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC	8	False	0
CDC16	resistance_gene	multimodal_pathway_driver	-0.4073282051914919	0.8393569308112855	nonsignificant_sensitising_direction	-0.521239448668727	0.0097261877037704	-0.868479909063579	0.019418083270538	-0.102160057970067	0.800613411728549	0.0423453794865887	0.882497972608256	consistent_down_(2/3_significant)	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	11	True	0
CDC20	resistance_gene	multimodal_pathway_driver	0.1386653955068588	0.9285299753064464	nonsignificant_tolerance_direction	-0.386934596992572	0.18035633185603	-2.01231312626851	0.0150713802797691	-0.462550096834671	0.645235333584333	0.0488852112417013	0.951958108276562	consistent_down_(1/3_significant)	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	16	True	0
CDCA5	resistance_gene	multimodal_pathway_driver	0.4608192045073256	0.7616616496167914	nonsignificant_tolerance_direction	-0.982331697507385	0.0188093187158721	-0.761793392895676	0.377880099424636	-0.560050592108164	0.436384240831266	-0.341536185356676	0.374545458091593	consistent_down_(1/3_significant)	go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_SISTER_CHROMATID_SEGREGATION;reactome:REACTOME_CELL_CYCLE_MITOTIC	8	False	0
CDCA8	resistance_gene	multimodal_pathway_driver	-0.2152280824295633	0.9443139829144374	nonsignificant_sensitising_direction	-0.524786682700202	0.028251991785043	-0.91291860064054	0.360654722294512	-0.257451278369796	0.77266152607165	-0.0512732264065787	0.925467126458117	consistent_down_(1/3_significant)	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	15	False	0
CENPE	resistance_gene	multimodal_pathway_driver	-0.0314027557154297	0.9877326438744686	nonsignificant_sensitising_direction	-0.308136020717986	0.140738509099403	-1.11216712225221	0.337632909332583	-0.162744348383037	0.854325791327372	0.144042629713133	0.770566394354017	no_significant_resistance_dataset	go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	15	False	0
CENPF	resistance_gene	multimodal_pathway_driver	0.3870945645492334	0.8396116111731495	nonsignificant_tolerance_direction	-0.344149474682109	0.191172400153431	-1.04553186696369	0.286296422439761	-0.145488373579717	0.849578561411116	-0.0132623524107088	0.986184435015393	no_significant_resistance_dataset	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	15	False	0
CITED2	candidate	candidate	-1.4953555271062804	0.109955077591718	nonsignificant_sensitising_direction	-0.0712402035096886	0.895048558224723	1.55383256440471	0.0087275396535076	0.692687178856127	0.662311130855006	0.19690414713124	0.402857156934197	consistent_up_(1/3_significant)	go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT	49	True	0
COL1A1	leading_edge	resistance_leading_edge	-0.2716037675446916	0.8247485940043205	nonsignificant_sensitising_direction	1.88086665320433	0.0016086491433943	1.31928671340013	0.0334404515879427	0.714392009195883	0.304384090528369	0.205427272911124	0.793677023752535	consistent_up_(2/3_significant)	go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BODY_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	42	True	1
CREBBP	candidate_partner	candidate_string_partner	-0.1072981257283913	0.957815716818056	nonsignificant_sensitising_direction	-0.313638920865462	0.319352989531893	-0.0173784828691921	0.963081916881724	0.108607173210642	0.83133779654177	-0.0428092674679337	0.886987488614421	no_significant_resistance_dataset		0	False	1
