gene	node_class	node_category_raw	crispr_effect	crispr_fdr	crispr_direction	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	resistance_pattern	pathways_supported	number_consensus_pathways	human_tumor_support	candidate_connection_count	subnetwork_role
PSMC5	resistance_gene	multimodal_pathway_driver	-0.2481315955117793	0.907095381656094	nonsignificant_sensitising_direction	-0.310001671283045	0.109221330961253	0.485837412273738	0.425599508675059	-0.41245650679422	0.428866061937622	-0.121455694398398	0.555611069787337	no_significant_resistance_dataset	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	3	False	0	second_degree_connector
PTEN	crispr_tolerance_associated	crispr_tolerance	3.3317870701317656	2.2317000159876773e-07	tolerance_associated_KO	-0.39072867283774	0.0738932933249503	-0.381673919910069	0.20760000996125	0.243969577554325	0.515664085755769	-0.154170795215578	0.460201654467793	no_significant_resistance_dataset	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	43	False	0	second_degree_connector
RPS27A	candidate_partner	candidate_string_partner	-0.7450982898956067	0.8270560220965696	nonsignificant_sensitising_direction	0.323544562467569	0.144254073101191	0.644670935235638	0.310491715201749	-0.0903867295363118	0.823113332890811	0.0058003693585594	0.98740754078825	no_significant_resistance_dataset	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	3	False	1	direct_partner
SMG1	candidate_partner	candidate_string_partner	-0.173479535516686	0.9497871458388842	nonsignificant_sensitising_direction	-0.0334665854382545	0.918752009740474	-0.27437457426969	0.386863882630748	0.0951895903494545	0.826742030290986	0.0207478125911485	0.964160046712821	no_significant_resistance_dataset		0	False	1	direct_partner
TP53	candidate_partner	candidate_string_partner	0.462313385551977	0.8121550190740409	nonsignificant_tolerance_direction	-0.764390437265734	0.0046845528907465	-0.804493516183301	0.02635706452798	-0.400699043887594	0.640743280574782	0.118523832145241	0.698127176476088	consistent_down_(2/3_significant)	go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;hallmark:HALLMARK_E2F_TARGETS;reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC	4	True	1	second_degree_connector
TRIP12	candidate_partner	candidate_string_partner	-0.1387072964783797	0.944780200722219	nonsignificant_sensitising_direction	0.785515614753253	0.0600453120630539	0.565034299680481	0.0945463229209014	0.132458921553805	0.683457956669649	-0.0752635077794774	0.80228969354788	no_significant_resistance_dataset		0	False	1	direct_partner
UBA52	candidate_partner	candidate_string_partner	0.1158690044895704	0.9736757370835524	nonsignificant_tolerance_direction	-0.305293291028249	0.172835200095331	0.22259934634579	0.712956410387438	-0.117227107707745	0.840431792153778	-0.0263155210372511	0.934947694317784	no_significant_resistance_dataset	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	3	False	1	direct_partner
UBB	candidate_partner	candidate_string_partner	1.1700339231670442	0.5850133063510367	nonsignificant_tolerance_direction	0.104573123623551	0.674217024306139	-0.624491856307978	0.191723589170161	-0.176655498061126	0.744843685120876	0.327814895579253	0.312976985737832	no_significant_resistance_dataset	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	3	False	1	direct_partner
UBC	candidate_partner	candidate_string_partner	0.5829411177645234	0.7616616496167914	nonsignificant_tolerance_direction	0.238027514085486	0.196764330667508	0.351455348330551	0.513723850358758	0.0662392763160752	0.910936153178264	0.331808606019197	0.207964763232786	no_significant_resistance_dataset		0	False	1	direct_partner
UBE2C	resistance_gene	multimodal_pathway_driver	0.2313181910935737	0.9185365089165376	nonsignificant_tolerance_direction	-0.768630389722032	0.0089549913745588	-1.034706546447	0.181770954000605	-0.302410421986156	0.726711759662125	0.0727323308296475	0.925467126458117	consistent_down_(1/3_significant)	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	12	False	0	second_degree_connector
USP34	multiple	candidate,crispr_sensitiser	-1.3912980676838431	0.0416851803622835	sensitising_KO	0.590437436807219	0.0073136129571408	0.400106644327525	0.22750138874853	0.161522475648414	0.632236473760328	-0.0334650201061386	0.900549578140749	consistent_up_(1/3_significant)	go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY;go_bp:GOBP_WNT_SIGNALING_PATHWAY	4	False	0	candidate
USP9X	candidate_partner	candidate_string_partner	-0.1876216761628777	0.9135531170853076	nonsignificant_sensitising_direction	0.543309336115212	0.105910555797239	-0.173988170576846	0.558818196293536	-0.118948974014152	0.822687722196707	-0.176041890731658	0.371312193206053	no_significant_resistance_dataset		0	False	1	direct_partner
